exp,metodo,coefficienti_aggiornati,etichette_target,mean,std,count
bot->ton,gain_per_edge_128_etichette,13,128,0.9136,0.0073,3
bot->ton,gain_per_edge_32_etichette,13,32,0.9001,0.0287,3
bot->ton,gain_per_edge_512_etichette,13,512,0.9337,0.0089,3
bot->ton,gain_per_edge_8_etichette,13,8,0.7595,0.0943,3
bot->ton,qt_target,10,0,0.5264,0.0394,3
bot->ton,qt_target+soglia_oracolo,11,211043,0.5882,0.0175,3
bot->ton,qt_target+soglia_prior,11,0,0.5264,0.0393,3
bot->ton,rifit_completo_128_etichette,101,128,0.9428,0.011,3
bot->ton,rifit_completo_32_etichette,101,32,0.8691,0.0158,3
bot->ton,rifit_completo_512_etichette,101,512,0.9666,0.0086,3
bot->ton,rifit_completo_8_etichette,101,8,0.6272,0.0968,3
bot->ton,soglia_da_128_etichette,1,128,0.8159,0.0095,3
bot->ton,soglia_da_32_etichette,1,32,0.8095,0.0183,3
bot->ton,soglia_da_512_etichette,1,512,0.8163,0.01,3
bot->ton,soglia_da_8_etichette,1,8,0.7878,0.0489,3
bot->ton,source,0,0,0.5989,0.1077,3
bot->ton,source+soglia_oracolo,1,211043,0.8279,0.0076,3
bot->ton,source+soglia_prior,1,0,0.5525,0.0158,3
ton->bot,gain_per_edge_128_etichette,13,128,0.9416,0.0114,3
ton->bot,gain_per_edge_32_etichette,13,32,0.9251,0.0094,3
ton->bot,gain_per_edge_512_etichette,13,512,0.9713,0.0025,3
ton->bot,gain_per_edge_8_etichette,13,8,0.9206,0.0105,3
ton->bot,qt_target,10,0,0.5081,0.0037,3
ton->bot,qt_target+soglia_oracolo,11,3668522,0.5796,0.0162,3
ton->bot,qt_target+soglia_prior,11,0,0.524,0.0409,3
ton->bot,rifit_completo_128_etichette,101,128,0.9652,0.0071,3
ton->bot,rifit_completo_32_etichette,101,32,0.9368,0.0121,3
ton->bot,rifit_completo_512_etichette,101,512,0.9844,0.004,3
ton->bot,rifit_completo_8_etichette,101,8,0.8467,0.03,3
ton->bot,soglia_da_128_etichette,1,128,0.5355,0.0055,3
ton->bot,soglia_da_32_etichette,1,32,0.5418,0.0053,3
ton->bot,soglia_da_512_etichette,1,512,0.5293,0.0107,3
ton->bot,soglia_da_8_etichette,1,8,0.5474,0.0078,3
ton->bot,source,0,0,0.5632,0.0061,3
ton->bot,source+soglia_oracolo,1,3668522,0.6235,0.0082,3
ton->bot,source+soglia_prior,1,0,0.4814,0.0211,3
