exp,model,n_parametri,8,32,128,512
bot->ton,DecisionTree(d=5),13,0.723,0.8075,0.6937,0.693
bot->ton,DecisionTree(d=5),14,0.7904,0.7597,0.6751,0.678
bot->ton,DecisionTree(d=5),15,0.7666,0.831,0.8186,0.8315
bot->ton,DecisionTree(d=5),16,,0.8234,0.8245,0.8246
bot->ton,"KAN(cat,1L)",13,0.7437,0.8538,0.8787,0.9137
bot->ton,LightGBM,401,0.6625,0.8364,0.8484,0.8749
bot->ton,MLP(16),17,0.7237,0.8455,0.8787,0.9292
bot->ton,XGBoost,301,0.6793,0.7711,0.8346,0.8471
ton->bot,DecisionTree(d=5),15,0.5253,0.5044,0.9293,0.6835
ton->bot,DecisionTree(d=5),16,0.5266,0.5061,0.9293,0.7538
ton->bot,DecisionTree(d=5),17,,0.5109,0.9311,0.7202
ton->bot,"KAN(cat,1L)",13,0.7838,0.8546,0.8841,0.8848
ton->bot,LightGBM,401,0.5597,0.5593,0.67,0.6195
ton->bot,MLP(16),17,0.6081,0.6354,0.7099,0.6945
ton->bot,XGBoost,301,,0.594,0.7241,0.6866
