exp,model,8,32,128,512
bot->ton,DecisionTree(d=5),0.7527,0.8781,0.9126,0.9718
bot->ton,"KAN(cat,1L)",0.6004,0.8271,0.9527,0.9666
bot->ton,LightGBM,0.5,0.5,0.9371,0.9739
bot->ton,MLP(16),,0.5684,0.6175,0.7339
bot->ton,XGBoost,0.5,0.765,0.9525,0.9753
bot->unsw,DecisionTree(d=5),0.6626,0.7434,0.792,0.821
bot->unsw,"KAN(cat,1L)",0.6451,0.7545,0.7956,0.8213
bot->unsw,LightGBM,0.5,0.5,0.8186,0.8684
bot->unsw,MLP(16),,0.4621,0.5823,0.6707
bot->unsw,XGBoost,0.5,0.7116,0.8115,0.8676
ton->bot,DecisionTree(d=5),0.6151,0.5882,0.917,0.7837
ton->bot,"KAN(cat,1L)",0.758,0.7831,0.7604,0.7508
ton->bot,LightGBM,,0.5,0.6632,0.7822
ton->bot,MLP(16),,0.4632,0.427,0.5158
ton->bot,XGBoost,0.5,0.5,0.5,0.5203
ton->unsw,DecisionTree(d=5),0.6809,0.7443,0.79,0.8223
ton->unsw,"KAN(cat,1L)",0.7306,0.7336,0.7923,0.813
ton->unsw,LightGBM,0.5,0.5,0.822,0.872
ton->unsw,MLP(16),,0.5685,0.5694,0.7354
ton->unsw,XGBoost,0.5,0.7024,0.8175,0.8708
unsw->bot,DecisionTree(d=5),,0.5211,0.5128,0.5128
unsw->bot,MLP(16),,0.5,0.5033,0.6331
unsw->ton,DecisionTree(d=5),0.7543,0.879,0.9235,0.9709
unsw->ton,"KAN(cat,1L)",0.6313,0.8672,0.9572,0.9661
unsw->ton,LightGBM,0.5,0.5,0.935,0.9726
unsw->ton,MLP(16),,0.5447,0.5624,0.8035
unsw->ton,XGBoost,0.5,0.7673,0.9506,0.9741
