exp,model,bal_soglia_attuale,bal_prior,bal_mediana,bal_quantile,bal_soglia_oracolo,roc_auc_target,roc_auc_source,rec_normal_attuale,rec_attack_attuale
bot->ton,DecisionTree(d=5),0.4597,0.4986,0.5,0.5,0.728,0.6604,0.9997,0.826,0.0935
bot->ton,"KAN(cat,1L)",0.6112,0.5479,0.5118,0.5304,0.8284,0.8265,0.9993,0.9013,0.3211
bot->ton,"KAN(cat,ML)",0.6855,0.5397,0.5053,0.5,0.7647,0.7635,1.0,0.7978,0.5733
bot->ton,LightGBM,0.6964,0.5311,0.604,0.5,0.8066,0.768,1.0,0.803,0.5898
bot->ton,MLP(16),0.7343,0.506,0.733,0.5,0.7411,0.6046,0.9995,0.5541,0.9145
bot->ton,XGBoost,0.6487,0.5188,0.6762,0.5,0.7165,0.6959,1.0,0.5124,0.7851
ton->bot,DecisionTree(d=5),0.5494,0.5555,0.5,0.5494,0.6064,0.4338,0.9916,0.643,0.4558
ton->bot,"KAN(cat,1L)",0.5573,0.4723,0.5057,0.5746,0.6186,0.5171,0.9931,0.674,0.4407
ton->bot,"KAN(cat,ML)",0.4588,0.4686,0.5007,0.4399,0.5674,0.4185,0.9997,0.6572,0.2605
ton->bot,LightGBM,0.4779,0.6017,0.5,0.4777,0.6337,0.5516,1.0,0.6677,0.288
ton->bot,MLP(16),0.4369,0.4701,0.4984,0.4435,0.5753,0.3817,0.9986,0.4526,0.4211
ton->bot,XGBoost,0.5528,0.4791,0.5,0.5539,0.5704,0.4582,0.9999,0.6918,0.4137
