exp,seed,model,bal_soglia_attuale,bal_soglia_oracolo,roc_auc_target,roc_auc_source,rec_normal_attuale,rec_attack_attuale,thr_oracolo,thr_attuale,fit_seconds,bal_prior,bal_mediana,bal_quantile
ton->bot,42,"KAN(cat,1L)",0.5562738430061795,0.6294031974995746,0.5450986724993054,0.9930455177809654,0.6708595387840671,0.4416881472282919,0.3018599509095722,0.0,83.2,0.495634070866551,0.5052410901467506,0.6171871532580235
ton->bot,42,"KAN(cat,ML)",0.38761926552292336,0.5605985837919424,0.3101069511340038,0.9997478564731159,0.5786163522012578,0.19662217884458888,-9.438837051391602,0.0,358.5,0.4491365617098087,0.5,0.28237255513324144
ton->bot,42,DecisionTree(d=5),0.5465708337946023,0.6073226327188562,0.4339282683539432,0.9913467526685419,0.6373165618448637,0.45582510574434065,0.9818701074963683,0.5,3.7,0.5555413790664449,0.5,0.5465708337946023
ton->bot,42,LightGBM,0.4797322277592203,0.6269231643577733,0.5414211286778924,0.9999723307439627,0.6729559748427673,0.2865084806756733,0.00149432354376121,0.5,100.4,0.6193444678041595,0.5,0.47973522663191676
ton->bot,42,XGBoost,0.5691757046285628,0.5732894069640082,0.511987436352292,0.9999326689766088,0.6918238993710691,0.4465275098860565,0.003062985837459564,0.5,63.1,0.5399952084335548,0.5,0.5691765225029346
ton->bot,42,MLP(16),0.38606264655350697,0.5821626460468364,0.3484262135274575,0.9986152609551486,0.39622641509433965,0.37589887801267435,0.003002027975772162,0.5,88.6,0.47359962825637986,0.5,0.44407951930179657
ton->bot,43,"KAN(cat,1L)",0.5677390840040797,0.6147859226834436,0.5148655508408326,0.992946568804605,0.6939203354297694,0.4415578325783899,0.3381504336916189,0.0,74.8,0.457155343546058,0.5052410901467506,0.5835608180027397
ton->bot,43,"KAN(cat,ML)",0.44111591808057127,0.6389786823216852,0.5055713690793757,0.9997109856373761,0.6226415094339622,0.2595903267271803,-6.14699649810791,0.0,340.5,0.5278152086757164,0.5073365720186837,0.48918887846427705
ton->bot,43,DecisionTree(d=5),0.5465708337946023,0.6073226327188562,0.4339282683539432,0.9913467526685419,0.6373165618448637,0.45582510574434065,0.9818701074962923,0.5,2.7,0.5555413790664449,0.5,0.5465708337946023
ton->bot,43,LightGBM,0.49171977870537076,0.7217177166160349,0.6169061828339069,0.999971258794235,0.6876310272536688,0.29580853015707276,0.002007137869405867,0.5,96.8,0.6352951518999177,0.5,0.49172100551692843
ton->bot,43,XGBoost,0.5555836744879661,0.5687133815646596,0.47010231314047524,0.9999314090025645,0.6960167714884696,0.41515057748746265,0.4508841633796692,0.5,52.8,0.4908716801319737,0.5,0.5631442414930057
ton->bot,43,MLP(16),0.5085734012514272,0.6144585008814853,0.4782583644164888,0.9987235175698416,0.5618448637316562,0.4553019387711983,0.028231078075666216,0.5,73.8,0.5214917346693342,0.5,0.5085728560018461
ton->bot,44,"KAN(cat,1L)",0.5656426479453794,0.6283557973445962,0.5411704561841195,0.9929835741385841,0.689727463312369,0.4415578325783899,0.17015459414686174,0.0,78.8,0.4913662026412695,0.5031446540880503,0.539957433039615
ton->bot,44,"KAN(cat,ML)",0.378930982070825,0.49975122987858656,0.3042536908788601,0.9997664511341693,0.6142557651991615,0.14360619894248844,-10.796768188476562,0.0,351.9,0.38211290259605185,0.5,0.3660140163491944
ton->bot,44,DecisionTree(d=5),0.5465708337946023,0.6073226327188562,0.4339282683539432,0.9913467526685419,0.6373165618448637,0.45582510574434065,0.9818701074963848,0.5,2.7,0.5555413790664449,0.5,0.5465708337946023
ton->bot,44,LightGBM,0.472917868526912,0.6482189732491439,0.5454432279406186,0.999971456940072,0.6582809224318659,0.28755481462195803,0.001957013036197839,0.5,106.3,0.6280908757760766,0.5,0.472918822713679
ton->bot,44,XGBoost,0.5771067835840658,0.5771039210237645,0.46939531189894934,0.9999294862862713,0.7023060796645703,0.45190748750356113,0.5087218284606934,0.5,49.0,0.4836645171573626,0.5,0.5771107366435293
ton->bot,44,MLP(16),0.5385055328529691,0.5821627823592317,0.4261003461611842,0.9985484372496787,0.5052410901467506,0.5717699755591875,0.0011179780106619686,0.5,74.3,0.4729387857639895,0.48379165232778865,0.5354628404365994
ton->bot,45,"KAN(cat,1L)",0.5451814798504003,0.6101968338699941,0.4049055924783541,0.9934211102624765,0.6540880503144654,0.43627490938633523,4.148716361468426,0.0,73.5,0.38383651482320286,0.5,0.5401015932567121
ton->bot,45,"KAN(cat,ML)",0.46668493024147445,0.5304205600608802,0.3796526890479104,0.9997166690262849,0.639412997903564,0.2939568625793849,-1.7659375667572021,0.0,327.2,0.4104530931715826,0.5,0.47261898802575053
