exp,politica,bal_media,adattamenti,etichette
bot->ton,martingala,0.8906,18,576
bot->ton,ogni_batch,0.8881,19,608
bot->ton,oracolo,0.9252,19,608
bot->ton,stat_13x13,0.7434,19,608
bot->ton,stat_13x13_adaptive,0.7192,19,608
bot->ton,statico,0.8179,0,0
bot->ton,su_innesco,0.8982,16,512
bot->unsw,martingala,0.8311,18,576
bot->unsw,ogni_batch,0.8207,19,608
bot->unsw,oracolo,0.8636,19,608
bot->unsw,stat_13x13,0.7099,19,608
bot->unsw,stat_13x13_adaptive,0.6839,19,608
bot->unsw,statico,0.7177,0,0
bot->unsw,su_innesco,0.7976,14,448
ton->bot,martingala,0.9451,19,608
ton->bot,ogni_batch,0.9459,19,608
ton->bot,oracolo,0.9475,19,608
ton->bot,stat_13x13,0.9247,19,608
ton->bot,stat_13x13_adaptive,0.9124,19,608
ton->bot,statico,0.8184,0,0
ton->bot,su_innesco,0.8497,6,192
ton->unsw,martingala,0.5985,14,448
ton->unsw,ogni_batch,0.7235,19,608
ton->unsw,oracolo,0.722,19,608
ton->unsw,stat_13x13,0.697,19,608
ton->unsw,stat_13x13_adaptive,0.7004,19,608
ton->unsw,statico,0.5766,0,0
ton->unsw,su_innesco,0.5766,0,0
unsw->bot,martingala,0.7751,0,0
unsw->bot,ogni_batch,0.8594,19,608
unsw->bot,oracolo,0.8675,19,608
unsw->bot,stat_13x13,0.8188,19,608
unsw->bot,stat_13x13_adaptive,0.8168,19,608
unsw->bot,statico,0.7751,0,0
unsw->bot,su_innesco,0.7751,0,0
unsw->ton,martingala,0.7099,18,576
unsw->ton,ogni_batch,0.7083,19,608
unsw->ton,oracolo,0.7092,19,608
unsw->ton,stat_13x13,0.6939,19,608
unsw->ton,stat_13x13_adaptive,0.6937,19,608
unsw->ton,statico,0.5626,0,0
unsw->ton,su_innesco,0.5626,0,0
