exp,frazione_target,martingala,ogni_batch,oracolo,stat_13x13,stat_13x13_adaptive,statico,su_innesco
bot->ton,0.0,0.9865,0.9865,0.9865,0.9865,0.9865,0.9865,0.9865
bot->ton,0.053,0.9408,0.9408,0.9408,0.5091,0.5087,0.9408,0.9408
bot->ton,0.105,0.9057,0.8913,0.9207,0.643,0.6207,0.9315,0.9315
bot->ton,0.158,0.8394,0.8164,0.918,0.6775,0.669,0.9181,0.9181
bot->ton,0.211,0.8044,0.8007,0.9111,0.6766,0.689,0.9053,0.8647
bot->ton,0.263,0.8452,0.8413,0.9116,0.6861,0.6912,0.8908,0.8323
bot->ton,0.316,0.8592,0.8512,0.9087,0.7118,0.6976,0.8765,0.8333
bot->ton,0.368,0.8664,0.856,0.9095,0.7228,0.7175,0.8622,0.8094
bot->ton,0.421,0.8722,0.8722,0.9022,0.7177,0.6951,0.8475,0.8748
bot->ton,0.474,0.8715,0.8822,0.9224,0.7574,0.7247,0.8312,0.8614
bot->ton,0.526,0.8881,0.8952,0.9204,0.7699,0.7122,0.8165,0.8827
bot->ton,0.579,0.8848,0.8989,0.9226,0.7646,0.7064,0.8007,0.8915
bot->ton,0.632,0.8777,0.8985,0.9268,0.7522,0.7076,0.7834,0.8985
bot->ton,0.684,0.8954,0.911,0.9299,0.7694,0.7322,0.7653,0.9062
bot->ton,0.737,0.9121,0.8952,0.9363,0.771,0.7216,0.7485,0.914
bot->ton,0.789,0.9196,0.9085,0.9328,0.7744,0.7415,0.7292,0.931
bot->ton,0.842,0.9099,0.9031,0.9281,0.7931,0.7408,0.7108,0.9326
bot->ton,0.895,0.9216,0.908,0.9272,0.81,0.7689,0.6914,0.9249
bot->ton,0.947,0.9016,0.9011,0.9242,0.7727,0.7558,0.672,0.9137
bot->ton,1.0,0.9108,0.9046,0.9246,0.8028,0.7963,0.65,0.9157
bot->unsw,0.0,0.9865,0.9865,0.9865,0.9865,0.9865,0.9865,0.9865
bot->unsw,0.053,0.8936,0.8936,0.8936,0.5083,0.515,0.8936,0.8936
bot->unsw,0.105,0.8148,0.7527,0.9405,0.5746,0.5882,0.8817,0.8817
bot->unsw,0.158,0.8218,0.7871,0.932,0.6399,0.6361,0.8619,0.8619
bot->unsw,0.211,0.8414,0.8624,0.9194,0.6609,0.673,0.841,0.841
bot->unsw,0.263,0.8443,0.8476,0.907,0.6856,0.6763,0.8227,0.8227
bot->unsw,0.316,0.8652,0.8559,0.8909,0.677,0.6551,0.8044,0.8103
bot->unsw,0.368,0.8537,0.8381,0.877,0.7043,0.6638,0.7881,0.8012
bot->unsw,0.421,0.8478,0.8248,0.8657,0.7137,0.6617,0.7658,0.7834
bot->unsw,0.474,0.8362,0.8213,0.8601,0.7088,0.6506,0.745,0.77
bot->unsw,0.526,0.8271,0.8123,0.8537,0.7193,0.6557,0.7202,0.7874
bot->unsw,0.579,0.8152,0.7936,0.8505,0.7228,0.6796,0.6988,0.7713
bot->unsw,0.632,0.8168,0.7966,0.8354,0.7265,0.6943,0.6707,0.7575
bot->unsw,0.684,0.805,0.7903,0.8343,0.7368,0.6922,0.6455,0.744
bot->unsw,0.737,0.8221,0.8149,0.8311,0.7263,0.6898,0.6166,0.7295
bot->unsw,0.789,0.8073,0.803,0.8243,0.7364,0.6913,0.589,0.7242
