exp,frazione_target,martingala,ogni_batch,oracolo,stat_13x13,stat_13x13_adaptive,statico,su_innesco
bot->ton,0.0,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885
bot->ton,0.053,0.945,0.945,0.945,0.5071,0.5092,0.945,0.945
bot->ton,0.105,0.9339,0.919,0.9359,0.6049,0.5922,0.9348,0.9348
bot->ton,0.158,0.7753,0.7683,0.9312,0.6516,0.6759,0.9199,0.9199
bot->ton,0.211,0.765,0.7504,0.9334,0.6862,0.7041,0.9066,0.8589
bot->ton,0.263,0.8558,0.8507,0.9236,0.7422,0.7309,0.8925,0.8817
bot->ton,0.316,0.8798,0.9002,0.9258,0.7648,0.7257,0.8782,0.8533
bot->ton,0.368,0.8869,0.9087,0.9311,0.7384,0.7552,0.8652,0.885
bot->ton,0.421,0.9018,0.9166,0.9321,0.7769,0.7457,0.8525,0.9181
bot->ton,0.474,0.9131,0.9241,0.9359,0.7612,0.7656,0.837,0.916
bot->ton,0.526,0.9214,0.9252,0.9378,0.7655,0.7613,0.8219,0.9174
bot->ton,0.579,0.8974,0.92,0.9401,0.7742,0.7683,0.8046,0.9212
bot->ton,0.632,0.9012,0.9172,0.9391,0.7796,0.7558,0.7876,0.9197
bot->ton,0.684,0.9086,0.9163,0.9393,0.7794,0.7629,0.7707,0.9142
bot->ton,0.737,0.9101,0.9211,0.9402,0.7804,0.7527,0.7523,0.9207
bot->ton,0.789,0.928,0.9253,0.9388,0.8047,0.7626,0.7356,0.9238
bot->ton,0.842,0.9268,0.9234,0.9333,0.7844,0.8012,0.7162,0.9177
bot->ton,0.895,0.9221,0.9146,0.9349,0.799,0.8042,0.6987,0.9164
bot->ton,0.947,0.9168,0.9122,0.9318,0.8281,0.8347,0.6771,0.9116
bot->ton,1.0,0.9144,0.9073,0.9299,0.8216,0.8215,0.6586,0.9089
bot->unsw,0.0,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885
bot->unsw,0.053,0.9013,0.9013,0.9013,0.52,0.5318,0.9013,0.9013
bot->unsw,0.105,0.8189,0.8248,0.9304,0.5956,0.5598,0.8808,0.8808
bot->unsw,0.158,0.7845,0.7779,0.9254,0.5747,0.571,0.8687,0.8687
bot->unsw,0.211,0.8297,0.8463,0.9085,0.6081,0.5874,0.8496,0.8496
bot->unsw,0.263,0.8312,0.8441,0.8948,0.6322,0.5999,0.8284,0.8266
bot->unsw,0.316,0.8381,0.8466,0.8849,0.6499,0.6368,0.8102,0.78
bot->unsw,0.368,0.819,0.8405,0.8773,0.6502,0.645,0.7911,0.754
bot->unsw,0.421,0.8207,0.833,0.8524,0.6436,0.6372,0.7705,0.7867
bot->unsw,0.474,0.8079,0.8375,0.8593,0.6551,0.6524,0.7489,0.7792
bot->unsw,0.526,0.798,0.8283,0.8526,0.6792,0.6435,0.7258,0.7828
bot->unsw,0.579,0.8103,0.8356,0.8527,0.6891,0.6652,0.7023,0.786
bot->unsw,0.632,0.8038,0.8054,0.8568,0.7018,0.6655,0.6764,0.7775
bot->unsw,0.684,0.782,0.799,0.8433,0.7139,0.6755,0.6517,0.7869
bot->unsw,0.737,0.8107,0.8064,0.8309,0.7052,0.6808,0.624,0.7782
bot->unsw,0.789,0.8069,0.8085,0.8172,0.7137,0.6862,0.5959,0.7733
bot->unsw,0.842,0.8035,0.802,0.8039,0.7269,0.674,0.5636,0.7653
bot->unsw,0.895,0.793,0.7888,0.7917,0.7231,0.7069,0.5323,0.7866
bot->unsw,0.947,0.7823,0.7785,0.7759,0.7496,0.7308,0.4972,0.7859
bot->unsw,1.0,0.7683,0.767,0.7679,0.7198,0.7142,0.4598,0.7659
