exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette
ton->bot,42,statico,0,0.0,0.9162341577357187,0,0
ton->bot,42,ogni_batch_int,0,0.0,0.9162341577357187,0,0
ton->bot,42,martingala_int,0,0.0,0.9162341577357187,0,0
ton->bot,42,statico,1,0.053,0.8979090456269083,0,0
ton->bot,42,ogni_batch_int,1,0.053,0.9450900862945397,1,32
ton->bot,42,martingala_int,1,0.053,0.8979090456269083,0,0
ton->bot,42,statico,2,0.105,0.8795505305652791,0,0
ton->bot,42,ogni_batch_int,2,0.105,0.923535803696061,2,64
ton->bot,42,martingala_int,2,0.105,0.8795505305652791,0,0
ton->bot,42,statico,3,0.158,0.8646399996800702,0,0
ton->bot,42,ogni_batch_int,3,0.158,0.9467717942998273,3,96
ton->bot,42,martingala_int,3,0.158,0.8646399996800702,0,0
ton->bot,42,statico,4,0.211,0.8438268404694689,0,0
ton->bot,42,ogni_batch_int,4,0.211,0.958489159340631,4,128
ton->bot,42,martingala_int,4,0.211,0.8438268404694689,0,0
ton->bot,42,statico,5,0.263,0.8351371586553203,0,0
ton->bot,42,ogni_batch_int,5,0.263,0.9600188805957515,5,160
ton->bot,42,martingala_int,5,0.263,0.8351371586553203,0,0
ton->bot,42,statico,6,0.316,0.8232522925968495,0,0
ton->bot,42,ogni_batch_int,6,0.316,0.9592729141374867,6,192
ton->bot,42,martingala_int,6,0.316,0.8232522925968495,0,0
ton->bot,42,statico,7,0.368,0.8025442308629509,0,0
ton->bot,42,ogni_batch_int,7,0.368,0.9624129745774261,7,224
ton->bot,42,martingala_int,7,0.368,0.8025442308629509,0,0
ton->bot,42,statico,8,0.421,0.7932513599163998,0,0
ton->bot,42,ogni_batch_int,8,0.421,0.9672873603992311,8,256
ton->bot,42,martingala_int,8,0.421,0.7932513599163998,0,0
ton->bot,42,statico,9,0.474,0.782318690906501,0,0
ton->bot,42,ogni_batch_int,9,0.474,0.9778459509555191,9,288
ton->bot,42,martingala_int,9,0.474,0.782318690906501,0,0
ton->bot,42,statico,10,0.526,0.7597913075824032,0,0
ton->bot,42,ogni_batch_int,10,0.526,0.977008460090498,10,320
ton->bot,42,martingala_int,10,0.526,0.7597913075824032,0,0
ton->bot,42,statico,11,0.579,0.7504008197018156,0,0
ton->bot,42,ogni_batch_int,11,0.579,0.9736825241707452,11,352
ton->bot,42,martingala_int,11,0.579,0.7504008197018156,0,0
ton->bot,42,statico,12,0.632,0.730971665459923,0,0
ton->bot,42,ogni_batch_int,12,0.632,0.9449914890516296,12,384
ton->bot,42,martingala_int,12,0.632,0.730971665459923,0,0
ton->bot,42,statico,13,0.684,0.7257108647326629,0,0
ton->bot,42,ogni_batch_int,13,0.684,0.9792237271584001,13,416
ton->bot,42,martingala_int,13,0.684,0.7257108647326629,0,0
ton->bot,42,statico,14,0.737,0.708517336335802,0,0
ton->bot,42,ogni_batch_int,14,0.737,0.9783343933145502,14,448
ton->bot,42,martingala_int,14,0.737,0.708517336335802,0,0
ton->bot,42,statico,15,0.789,0.7050571537216832,0,0
ton->bot,42,ogni_batch_int,15,0.789,0.9777536116834085,15,480
ton->bot,42,martingala_int,15,0.789,0.7050571537216832,0,0
ton->bot,42,statico,16,0.842,0.6898771243106927,0,0
ton->bot,42,ogni_batch_int,16,0.842,0.971047286387047,16,512
ton->bot,42,martingala_int,16,0.842,0.6898771243106927,0,0
ton->bot,42,statico,17,0.895,0.677234793461402,0,0
ton->bot,42,ogni_batch_int,17,0.895,0.9798803207672728,17,544
ton->bot,42,martingala_int,17,0.895,0.677234793461402,0,0
ton->bot,42,statico,18,0.947,0.6740710240406842,0,0
ton->bot,42,ogni_batch_int,18,0.947,0.9732467926490984,18,576
ton->bot,42,martingala_int,18,0.947,0.6740710240406842,0,0
ton->bot,42,statico,19,1.0,0.47114711471147114,0,0
ton->bot,42,ogni_batch_int,19,1.0,0.7468246824682468,19,608
ton->bot,42,martingala_int,19,1.0,0.47114711471147114,0,0
ton->bot,43,statico,0,0.0,0.9279439028662634,0,0
ton->bot,43,ogni_batch_int,0,0.0,0.9279439028662634,0,0
ton->bot,43,martingala_int,0,0.0,0.9279439028662634,0,0
ton->bot,43,statico,1,0.053,0.906116843734202,0,0
ton->bot,43,ogni_batch_int,1,0.053,0.9477822776526639,1,32
ton->bot,43,martingala_int,1,0.053,0.906116843734202,0,0
ton->bot,43,statico,2,0.105,0.8906671964128615,0,0
ton->bot,43,ogni_batch_int,2,0.105,0.9417924340891677,2,64
ton->bot,43,martingala_int,2,0.105,0.8906671964128615,0,0
ton->bot,43,statico,3,0.158,0.8700382200944842,0,0
ton->bot,43,ogni_batch_int,3,0.158,0.9203411617140049,3,96
ton->bot,43,martingala_int,3,0.158,0.8700382200944842,0,0
ton->bot,43,statico,4,0.211,0.8609729643330136,0,0
ton->bot,43,ogni_batch_int,4,0.211,0.8931688293895446,4,128
ton->bot,43,martingala_int,4,0.211,0.8609729643330136,0,0
ton->bot,43,statico,5,0.263,0.8406139804610794,0,0
ton->bot,43,ogni_batch_int,5,0.263,0.8924775217747594,5,160
ton->bot,43,martingala_int,5,0.263,0.8406139804610794,0,0
ton->bot,43,statico,6,0.316,0.827925030553966,0,0
ton->bot,43,ogni_batch_int,6,0.316,0.8749887091383934,6,192
ton->bot,43,martingala_int,6,0.316,0.827925030553966,0,0
ton->bot,43,statico,7,0.368,0.8156523601065855,0,0
ton->bot,43,ogni_batch_int,7,0.368,0.9416666666666667,7,224
ton->bot,43,martingala_int,7,0.368,0.8156523601065855,0,0
ton->bot,43,statico,8,0.421,0.793986422949595,0,0
ton->bot,43,ogni_batch_int,8,0.421,0.9733459571562907,8,256
ton->bot,43,martingala_int,8,0.421,0.793986422949595,0,0
ton->bot,43,statico,9,0.474,0.7853433691137733,0,0
ton->bot,43,ogni_batch_int,9,0.474,0.971918805172276,9,288
ton->bot,43,martingala_int,9,0.474,0.7853433691137733,0,0
ton->bot,43,statico,10,0.526,0.767448147155992,0,0
ton->bot,43,ogni_batch_int,10,0.526,0.9741541462288394,10,320
ton->bot,43,martingala_int,10,0.526,0.767448147155992,0,0
ton->bot,43,statico,11,0.579,0.7508330449288718,0,0
ton->bot,43,ogni_batch_int,11,0.579,0.9733868482759986,11,352
ton->bot,43,martingala_int,11,0.579,0.7508330449288718,0,0
ton->bot,43,statico,12,0.632,0.7434615902895858,0,0
ton->bot,43,ogni_batch_int,12,0.632,0.9719500046271338,12,384
ton->bot,43,martingala_int,12,0.632,0.7317426331436183,1,32
ton->bot,43,statico,13,0.684,0.7365704143046454,0,0
ton->bot,43,ogni_batch_int,13,0.684,0.9098603263270264,13,416
ton->bot,43,martingala_int,13,0.684,0.7955578664507105,2,64
ton->bot,43,statico,14,0.737,0.7170567159627992,0,0
ton->bot,43,ogni_batch_int,14,0.737,0.9045713269299182,14,448
ton->bot,43,martingala_int,14,0.737,0.9206666836069184,3,96
ton->bot,43,statico,15,0.789,0.7040823519166765,0,0
ton->bot,43,ogni_batch_int,15,0.789,0.9079905388257581,15,480
ton->bot,43,martingala_int,15,0.789,0.8521055395693573,4,128
ton->bot,43,statico,16,0.842,0.7028741238828624,0,0
ton->bot,43,ogni_batch_int,16,0.842,0.9055614420418336,16,512
ton->bot,43,martingala_int,16,0.842,0.8745348213041033,5,160
ton->bot,43,statico,17,0.895,0.6920829612659876,0,0
ton->bot,43,ogni_batch_int,17,0.895,0.9097262058081514,17,544
ton->bot,43,martingala_int,17,0.895,0.8804268536009617,6,192
ton->bot,43,statico,18,0.947,0.6712483571016201,0,0
ton->bot,43,ogni_batch_int,18,0.947,0.8851414428025697,18,576
ton->bot,43,martingala_int,18,0.947,0.9191003058554741,7,224
ton->bot,43,statico,19,1.0,0.4713942788557711,0,0
ton->bot,43,ogni_batch_int,19,1.0,0.9985747149429887,19,608
ton->bot,43,martingala_int,19,1.0,0.7301460292058412,8,256
ton->bot,44,statico,0,0.0,0.9283128516298583,0,0
ton->bot,44,ogni_batch_int,0,0.0,0.9283128516298583,0,0
ton->bot,44,martingala_int,0,0.0,0.9283128516298583,0,0
ton->bot,44,statico,1,0.053,0.9095081749497865,0,0
ton->bot,44,ogni_batch_int,1,0.053,0.9287287503471269,1,32
ton->bot,44,martingala_int,1,0.053,0.9095081749497865,0,0
ton->bot,44,statico,2,0.105,0.8923639798326701,0,0
ton->bot,44,ogni_batch_int,2,0.105,0.91468884112101,2,64
ton->bot,44,martingala_int,2,0.105,0.8923639798326701,0,0
ton->bot,44,statico,3,0.158,0.8801880596706693,0,0
ton->bot,44,ogni_batch_int,3,0.158,0.9105690585412909,3,96
ton->bot,44,martingala_int,3,0.158,0.8801880596706693,0,0
ton->bot,44,statico,4,0.211,0.8582595187018631,0,0
ton->bot,44,ogni_batch_int,4,0.211,0.8944871439890084,4,128
ton->bot,44,martingala_int,4,0.211,0.8582595187018631,0,0
ton->bot,44,statico,5,0.263,0.8477270606355102,0,0
ton->bot,44,ogni_batch_int,5,0.263,0.8820029385937974,5,160
ton->bot,44,martingala_int,5,0.263,0.8477270606355102,0,0
ton->bot,44,statico,6,0.316,0.8302524441155563,0,0
ton->bot,44,ogni_batch_int,6,0.316,0.8658132863947633,6,192
ton->bot,44,martingala_int,6,0.316,0.8302524441155563,0,0
ton->bot,44,statico,7,0.368,0.8127544687189673,0,0
ton->bot,44,ogni_batch_int,7,0.368,0.8480542452830189,7,224
ton->bot,44,martingala_int,7,0.368,0.8127544687189673,0,0
ton->bot,44,statico,8,0.421,0.8039914224819885,0,0
ton->bot,44,ogni_batch_int,8,0.421,0.9251820761254723,8,256
ton->bot,44,martingala_int,8,0.421,0.8039914224819885,0,0
ton->bot,44,statico,9,0.474,0.7845269026017355,0,0
ton->bot,44,ogni_batch_int,9,0.474,0.9326492508381954,9,288
ton->bot,44,martingala_int,9,0.474,0.7845269026017355,0,0
ton->bot,44,statico,10,0.526,0.7792471436021429,0,0
ton->bot,44,ogni_batch_int,10,0.526,0.9550365840168145,10,320
ton->bot,44,martingala_int,10,0.526,0.8091101313231878,1,32
ton->bot,44,statico,11,0.579,0.7637356109433477,0,0
ton->bot,44,ogni_batch_int,11,0.579,0.9497353939842124,11,352
ton->bot,44,martingala_int,11,0.579,0.7995954797755298,2,64
ton->bot,44,statico,12,0.632,0.7443148459184563,0,0
ton->bot,44,ogni_batch_int,12,0.632,0.9455712217601542,12,384
ton->bot,44,martingala_int,12,0.632,0.8660211860126256,3,96
ton->bot,44,statico,13,0.684,0.7370413982273298,0,0
ton->bot,44,ogni_batch_int,13,0.684,0.9447495641331247,13,416
ton->bot,44,martingala_int,13,0.684,0.8853399240151785,4,128
ton->bot,44,statico,14,0.737,0.7296004138548505,0,0
ton->bot,44,ogni_batch_int,14,0.737,0.9494844874677371,14,448
ton->bot,44,martingala_int,14,0.737,0.9065578065081714,5,160
ton->bot,44,statico,15,0.789,0.7168339663591969,0,0
ton->bot,44,ogni_batch_int,15,0.789,0.9156996305763843,15,480
ton->bot,44,martingala_int,15,0.789,0.9022546808280472,6,192
ton->bot,44,statico,16,0.842,0.7002557344137573,0,0
ton->bot,44,ogni_batch_int,16,0.842,0.9501299741845409,16,512
ton->bot,44,martingala_int,16,0.842,0.9640053118615226,7,224
ton->bot,44,statico,17,0.895,0.6891704682892434,0,0
ton->bot,44,ogni_batch_int,17,0.895,0.8767566631885351,17,544
ton->bot,44,martingala_int,17,0.895,0.9745830080974212,8,256
ton->bot,44,statico,18,0.947,0.6840245128884869,0,0
ton->bot,44,ogni_batch_int,18,0.947,0.9008085760018375,18,576
ton->bot,44,martingala_int,18,0.947,0.9739217590964302,9,288
ton->bot,44,statico,19,1.0,0.5904930986197239,0,0
ton->bot,44,ogni_batch_int,19,1.0,0.9978245649129827,19,608
ton->bot,44,martingala_int,19,1.0,0.8728495699139828,10,320
ton->bot,45,statico,0,0.0,0.9446367558239861,0,0
ton->bot,45,ogni_batch_int,0,0.0,0.9446367558239861,0,0
ton->bot,45,martingala_int,0,0.0,0.9446367558239861,0,0
ton->bot,45,statico,1,0.053,0.9275097250953523,0,0
ton->bot,45,ogni_batch_int,1,0.053,0.661027053486072,1,32
ton->bot,45,martingala_int,1,0.053,0.9275097250953523,0,0
ton->bot,45,statico,2,0.105,0.9090124157779368,0,0
ton->bot,45,ogni_batch_int,2,0.105,0.7408655595857563,2,64
ton->bot,45,martingala_int,2,0.105,0.9090124157779368,0,0
ton->bot,45,statico,3,0.158,0.8876569333642566,0,0
ton->bot,45,ogni_batch_int,3,0.158,0.8500828371485707,3,96
ton->bot,45,martingala_int,3,0.158,0.8390691678932118,1,32
ton->bot,45,statico,4,0.211,0.8793160933138338,0,0
ton->bot,45,ogni_batch_int,4,0.211,0.8683826846876141,4,128
ton->bot,45,martingala_int,4,0.211,0.8658264135816612,2,64
ton->bot,45,statico,5,0.263,0.8614090637352734,0,0
ton->bot,45,ogni_batch_int,5,0.263,0.8302903516800335,5,160
ton->bot,45,martingala_int,5,0.263,0.8266173729130639,3,96
ton->bot,45,statico,6,0.316,0.8401309734209379,0,0
ton->bot,45,ogni_batch_int,6,0.316,0.8391362033241876,6,192
ton->bot,45,martingala_int,6,0.316,0.8586079421194455,4,128
ton->bot,45,statico,7,0.368,0.8306717109287469,0,0
ton->bot,45,ogni_batch_int,7,0.368,0.8384711460324364,7,224
