exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,ratio
bot->ton,42,statico,0,0.0,0.97715,0,0,20.0
bot->ton,42,ogni_batch_int,0,0.0,0.97715,0,0,20.0
bot->ton,42,martingala_int,0,0.0,0.97715,0,0,20.0
bot->ton,42,statico,1,0.053,0.9288279520955549,0,0,20.0
bot->ton,42,ogni_batch_int,1,0.053,0.9288279520955549,1,32,20.0
bot->ton,42,martingala_int,1,0.053,0.9288279520955549,0,0,20.0
bot->ton,42,statico,2,0.105,0.906584469652278,0,0,20.0
bot->ton,42,ogni_batch_int,2,0.105,0.6350292004904421,2,64,20.0
bot->ton,42,martingala_int,2,0.105,0.906584469652278,0,0,20.0
bot->ton,42,statico,3,0.158,0.8856867200381514,0,0,20.0
bot->ton,42,ogni_batch_int,3,0.158,0.862793411286283,3,96,20.0
bot->ton,42,martingala_int,3,0.158,0.8856867200381514,1,32,20.0
bot->ton,42,statico,4,0.211,0.879736257443718,0,0,20.0
bot->ton,42,ogni_batch_int,4,0.211,0.7881653584256312,4,128,20.0
bot->ton,42,martingala_int,4,0.211,0.7825296268339321,2,64,20.0
bot->ton,42,statico,5,0.263,0.8615126809906227,0,0,20.0
bot->ton,42,ogni_batch_int,5,0.263,0.8972280850009029,5,160,20.0
bot->ton,42,martingala_int,5,0.263,0.8945689914286732,3,96,20.0
bot->ton,42,statico,6,0.316,0.848956631054886,0,0,20.0
bot->ton,42,ogni_batch_int,6,0.316,0.7984600351031202,6,192,20.0
bot->ton,42,martingala_int,6,0.316,0.8844877890971683,4,128,20.0
bot->ton,42,statico,7,0.368,0.8493821600438785,0,0,20.0
bot->ton,42,ogni_batch_int,7,0.368,0.7959741196695163,7,224,20.0
bot->ton,42,martingala_int,7,0.368,0.8843953923767034,5,160,20.0
bot->ton,42,statico,8,0.421,0.8150786825418141,0,0,20.0
bot->ton,42,ogni_batch_int,8,0.421,0.8018220506196343,8,256,20.0
bot->ton,42,martingala_int,8,0.421,0.8887587120235112,6,192,20.0
bot->ton,42,statico,9,0.474,0.810498434317332,0,0,20.0
bot->ton,42,ogni_batch_int,9,0.474,0.7864241631958167,9,288,20.0
bot->ton,42,martingala_int,9,0.474,0.8764412894334155,7,224,20.0
bot->ton,42,statico,10,0.526,0.7891650398339219,0,0,20.0
bot->ton,42,ogni_batch_int,10,0.526,0.8088698160841875,10,320,20.0
bot->ton,42,martingala_int,10,0.526,0.8881433271635741,8,256,20.0
bot->ton,42,statico,11,0.579,0.7748021104396697,0,0,20.0
bot->ton,42,ogni_batch_int,11,0.579,0.7991939575314115,11,352,20.0
bot->ton,42,martingala_int,11,0.579,0.8804097872017645,9,288,20.0
bot->ton,42,statico,12,0.632,0.7587302375623427,0,0,20.0
bot->ton,42,ogni_batch_int,12,0.632,0.8006055481707586,12,384,20.0
bot->ton,42,martingala_int,12,0.632,0.8707711710414123,10,320,20.0
bot->ton,42,statico,13,0.684,0.7489624779078421,0,0,20.0
bot->ton,42,ogni_batch_int,13,0.684,0.7889779150159377,13,416,20.0
bot->ton,42,martingala_int,13,0.684,0.8681221714991627,11,352,20.0
bot->ton,42,statico,14,0.737,0.7314957530402901,0,0,20.0
bot->ton,42,ogni_batch_int,14,0.737,0.885150347677772,14,448,20.0
bot->ton,42,martingala_int,14,0.737,0.8729620533043088,12,384,20.0
bot->ton,42,statico,15,0.789,0.7101472739968333,0,0,20.0
bot->ton,42,ogni_batch_int,15,0.789,0.8781562991703589,15,480,20.0
bot->ton,42,martingala_int,15,0.789,0.8663437146879649,13,416,20.0
bot->ton,42,statico,16,0.842,0.695682619900784,0,0,20.0
bot->ton,42,ogni_batch_int,16,0.842,0.7850243402439017,16,512,20.0
bot->ton,42,martingala_int,16,0.842,0.86120570683703,14,448,20.0
bot->ton,42,statico,17,0.895,0.6782827845971173,0,0,20.0
bot->ton,42,ogni_batch_int,17,0.895,0.8675855269489038,17,544,20.0
bot->ton,42,martingala_int,17,0.895,0.8543717476768251,15,480,20.0
bot->ton,42,statico,18,0.947,0.6563245542402814,0,0,20.0
bot->ton,42,ogni_batch_int,18,0.947,0.8536508685564523,18,576,20.0
bot->ton,42,martingala_int,18,0.947,0.8480472679283663,16,512,20.0
bot->ton,42,statico,19,1.0,0.6401525017732923,0,0,20.0
bot->ton,42,ogni_batch_int,19,1.0,0.8452585977632825,19,608,20.0
bot->ton,42,martingala_int,19,1.0,0.8418192267782512,17,544,20.0
bot->unsw,42,statico,0,0.0,0.97715,0,0,20.0
bot->unsw,42,ogni_batch_int,0,0.0,0.97715,0,0,20.0
bot->unsw,42,martingala_int,0,0.0,0.97715,0,0,20.0
bot->unsw,42,statico,1,0.053,0.879581838480817,0,0,20.0
bot->unsw,42,ogni_batch_int,1,0.053,0.879581838480817,1,32,20.0
bot->unsw,42,martingala_int,1,0.053,0.879581838480817,0,0,20.0
bot->unsw,42,statico,2,0.105,0.8622748178517307,0,0,20.0
bot->unsw,42,ogni_batch_int,2,0.105,0.6775095395864352,2,64,20.0
bot->unsw,42,martingala_int,2,0.105,0.8622748178517307,0,0,20.0
bot->unsw,42,statico,3,0.158,0.833414779924351,0,0,20.0
bot->unsw,42,ogni_batch_int,3,0.158,0.7765028105987873,3,96,20.0
bot->unsw,42,martingala_int,3,0.158,0.6453632206830645,1,32,20.0
bot->unsw,42,statico,4,0.211,0.8201866423974198,0,0,20.0
bot->unsw,42,ogni_batch_int,4,0.211,0.8249093217379024,4,128,20.0
bot->unsw,42,martingala_int,4,0.211,0.8376874806995158,2,64,20.0
bot->unsw,42,statico,5,0.263,0.8069254830958609,0,0,20.0
bot->unsw,42,ogni_batch_int,5,0.263,0.8065903861139765,5,160,20.0
bot->unsw,42,martingala_int,5,0.263,0.8234292659533634,3,96,20.0
bot->unsw,42,statico,6,0.316,0.7842930249178812,0,0,20.0
bot->unsw,42,ogni_batch_int,6,0.316,0.7858507525993286,6,192,20.0
bot->unsw,42,martingala_int,6,0.316,0.821529789840997,4,128,20.0
bot->unsw,42,statico,7,0.368,0.7719280893695475,0,0,20.0
bot->unsw,42,ogni_batch_int,7,0.368,0.7928370276154009,7,224,20.0
bot->unsw,42,martingala_int,7,0.368,0.8149158765702902,5,160,20.0
bot->unsw,42,statico,8,0.421,0.7540360455415727,0,0,20.0
bot->unsw,42,ogni_batch_int,8,0.421,0.7782199789979546,8,256,20.0
bot->unsw,42,martingala_int,8,0.421,0.7970837188326925,6,192,20.0
bot->unsw,42,statico,9,0.474,0.7277056632741662,0,0,20.0
bot->unsw,42,ogni_batch_int,9,0.474,0.7542972535065224,9,288,20.0
bot->unsw,42,martingala_int,9,0.474,0.792701665299615,7,224,20.0
bot->unsw,42,statico,10,0.526,0.7075770059957497,0,0,20.0
bot->unsw,42,ogni_batch_int,10,0.526,0.7372804711824542,10,320,20.0
bot->unsw,42,martingala_int,10,0.526,0.7964782215400693,8,256,20.0
bot->unsw,42,statico,11,0.579,0.6846078694676242,0,0,20.0
bot->unsw,42,ogni_batch_int,11,0.579,0.716780162831931,11,352,20.0
bot->unsw,42,martingala_int,11,0.579,0.7789744073106133,9,288,20.0
bot->unsw,42,statico,12,0.632,0.658725811781437,0,0,20.0
bot->unsw,42,ogni_batch_int,12,0.632,0.7349835719352633,12,384,20.0
bot->unsw,42,martingala_int,12,0.632,0.7573845223859841,10,320,20.0
bot->unsw,42,statico,13,0.684,0.6303812162172746,0,0,20.0
bot->unsw,42,ogni_batch_int,13,0.684,0.7215670400505428,13,416,20.0
bot->unsw,42,martingala_int,13,0.684,0.7319000606051709,11,352,20.0
bot->unsw,42,statico,14,0.737,0.6172250829480488,0,0,20.0
bot->unsw,42,ogni_batch_int,14,0.737,0.8118290876084113,14,448,20.0
bot->unsw,42,martingala_int,14,0.737,0.821533301147602,12,384,20.0
bot->unsw,42,statico,15,0.789,0.5868293124029571,0,0,20.0
bot->unsw,42,ogni_batch_int,15,0.789,0.7900932489844081,15,480,20.0
bot->unsw,42,martingala_int,15,0.789,0.8192307092616409,13,416,20.0
bot->unsw,42,statico,16,0.842,0.5558903437960145,0,0,20.0
bot->unsw,42,ogni_batch_int,16,0.842,0.775976859461412,16,512,20.0
bot->unsw,42,martingala_int,16,0.842,0.8063135267282693,14,448,20.0
bot->unsw,42,statico,17,0.895,0.5249028032542148,0,0,20.0
bot->unsw,42,ogni_batch_int,17,0.895,0.752913832987884,17,544,20.0
bot->unsw,42,martingala_int,17,0.895,0.7713766160522523,15,480,20.0
bot->unsw,42,statico,18,0.947,0.4929789336939438,0,0,20.0
bot->unsw,42,ogni_batch_int,18,0.947,0.7697875000263602,18,576,20.0
bot->unsw,42,martingala_int,18,0.947,0.7724333794834937,16,512,20.0
bot->unsw,42,statico,19,1.0,0.4622981517711044,0,0,20.0
bot->unsw,42,ogni_batch_int,19,1.0,0.7303409241420415,19,608,20.0
bot->unsw,42,martingala_int,19,1.0,0.7413920456897194,17,544,20.0
bot->ton,43,statico,0,0.0,0.98215,0,0,20.0
bot->ton,43,ogni_batch_int,0,0.0,0.98215,0,0,20.0
bot->ton,43,martingala_int,0,0.0,0.98215,0,0,20.0
bot->ton,43,statico,1,0.053,0.9221672791890162,0,0,20.0
bot->ton,43,ogni_batch_int,1,0.053,0.9221672791890162,1,32,20.0
bot->ton,43,martingala_int,1,0.053,0.9221672791890162,0,0,20.0
bot->ton,43,statico,2,0.105,0.9028168578332715,0,0,20.0
bot->ton,43,ogni_batch_int,2,0.105,0.8109779132553034,2,64,20.0
bot->ton,43,martingala_int,2,0.105,0.9028168578332715,0,0,20.0
bot->ton,43,statico,3,0.158,0.8863009008893004,0,0,20.0
bot->ton,43,ogni_batch_int,3,0.158,0.8099361654301822,3,96,20.0
bot->ton,43,martingala_int,3,0.158,0.8164670040161137,1,32,20.0
bot->ton,43,statico,4,0.211,0.864551341113841,0,0,20.0
bot->ton,43,ogni_batch_int,4,0.211,0.8405899685196561,4,128,20.0
bot->ton,43,martingala_int,4,0.211,0.8645937308046683,2,64,20.0
bot->ton,43,statico,5,0.263,0.8626981997633698,0,0,20.0
bot->ton,43,ogni_batch_int,5,0.263,0.7855442274112747,5,160,20.0
bot->ton,43,martingala_int,5,0.263,0.8765579985837376,3,96,20.0
bot->ton,43,statico,6,0.316,0.8487885757623672,0,0,20.0
bot->ton,43,ogni_batch_int,6,0.316,0.8827520345162005,6,192,20.0
bot->ton,43,martingala_int,6,0.316,0.8644534845068639,4,128,20.0
bot->ton,43,statico,7,0.368,0.8335192070985731,0,0,20.0
bot->ton,43,ogni_batch_int,7,0.368,0.8897530938271088,7,224,20.0
bot->ton,43,martingala_int,7,0.368,0.8774441814175444,5,160,20.0
bot->ton,43,statico,8,0.421,0.8186233137403812,0,0,20.0
bot->ton,43,ogni_batch_int,8,0.421,0.8745081352361004,8,256,20.0
bot->ton,43,martingala_int,8,0.421,0.859806320374138,6,192,20.0
bot->ton,43,statico,9,0.474,0.8064831276913411,0,0,20.0
bot->ton,43,ogni_batch_int,9,0.474,0.8770908207620836,9,288,20.0
bot->ton,43,martingala_int,9,0.474,0.8751023122960431,7,224,20.0
bot->ton,43,statico,10,0.526,0.7881111947575447,0,0,20.0
bot->ton,43,ogni_batch_int,10,0.526,0.8821410495580033,10,320,20.0
bot->ton,43,martingala_int,10,0.526,0.8825793992222811,8,256,20.0
bot->ton,43,statico,11,0.579,0.7746223396486942,0,0,20.0
