exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti
ton->bot,42,statico,0,0.0,0.9707549946427494,0,0,False,0.03395
ton->bot,42,ogni_batch,0,0.0,0.9707549946427494,0,0,False,0.03395
ton->bot,42,su_innesco,0,0.0,0.9707549946427494,0,0,False,0.03395
ton->bot,42,oracolo,0,0.0,0.9707549946427494,0,0,False,0.03395
ton->bot,42,stat_13x13,0,0.0,0.9707549946427494,0,0,False,0.03395
ton->bot,42,martingala,0,0.0,0.9707549946427494,0,0,False,0.03395
ton->bot,42,stat_13x13_adaptive,0,0.0,0.9707549946427494,0,0,False,0.03395
ton->bot,42,statico,1,0.053,0.9516441824643045,0,0,False,0.0428
ton->bot,42,ogni_batch,1,0.053,0.9412618301282524,1,32,False,0.0428
ton->bot,42,su_innesco,1,0.053,0.9516441824643045,0,0,False,0.0428
ton->bot,42,oracolo,1,0.053,0.955085197194022,1,32,False,0.0428
ton->bot,42,stat_13x13,1,0.053,0.9575967425108753,1,32,False,0.0428
ton->bot,42,martingala,1,0.053,0.9516441824643045,0,0,False,0.0428
ton->bot,42,stat_13x13_adaptive,1,0.053,0.9408916819398639,1,32,False,0.0428
ton->bot,42,statico,2,0.105,0.9335557776753112,0,0,False,0.0501
ton->bot,42,ogni_batch,2,0.105,0.9407691237473714,2,64,False,0.0501
ton->bot,42,su_innesco,2,0.105,0.9335557776753112,0,0,False,0.0501
ton->bot,42,oracolo,2,0.105,0.9333439175812144,2,64,False,0.0501
ton->bot,42,stat_13x13,2,0.105,0.9024519447024288,2,64,False,0.0501
ton->bot,42,martingala,2,0.105,0.9245896657429269,1,32,False,0.0501
ton->bot,42,stat_13x13_adaptive,2,0.105,0.9073958372801589,2,64,False,0.0501
ton->bot,42,statico,3,0.158,0.9199404206836177,0,0,False,0.06035
ton->bot,42,ogni_batch,3,0.158,0.904803137630254,3,96,False,0.06035
ton->bot,42,su_innesco,3,0.158,0.9199404206836177,0,0,False,0.06035
ton->bot,42,oracolo,3,0.158,0.9146883463748617,3,96,False,0.06035
ton->bot,42,stat_13x13,3,0.158,0.9009990229117231,3,96,False,0.06035
ton->bot,42,martingala,3,0.158,0.9070350746931009,2,64,False,0.06035
ton->bot,42,stat_13x13_adaptive,3,0.158,0.8276913229947307,3,96,False,0.06035
ton->bot,42,statico,4,0.211,0.9030719996709833,0,0,False,0.0645
ton->bot,42,ogni_batch,4,0.211,0.8982596752009843,4,128,False,0.0645
ton->bot,42,su_innesco,4,0.211,0.9030719996709833,0,0,False,0.0645
ton->bot,42,oracolo,4,0.211,0.8951680904933663,4,128,False,0.0645
ton->bot,42,stat_13x13,4,0.211,0.9183169779485468,4,128,False,0.0645
ton->bot,42,martingala,4,0.211,0.8923618787601627,3,96,False,0.0645
ton->bot,42,stat_13x13_adaptive,4,0.211,0.896837827038778,4,128,False,0.0645
ton->bot,42,statico,5,0.263,0.8845130817455551,0,0,False,0.07515
ton->bot,42,ogni_batch,5,0.263,0.9354332435566737,5,160,False,0.07515
ton->bot,42,su_innesco,5,0.263,0.8845130817455551,0,0,False,0.07515
ton->bot,42,oracolo,5,0.263,0.8747572797701568,5,160,False,0.07515
ton->bot,42,stat_13x13,5,0.263,0.9675828387698281,5,160,False,0.07515
ton->bot,42,martingala,5,0.263,0.9419465955800344,4,128,False,0.07515
ton->bot,42,stat_13x13_adaptive,5,0.263,0.9266593082763039,5,160,False,0.07515
ton->bot,42,statico,6,0.316,0.8701366121977443,0,0,False,0.0779
ton->bot,42,ogni_batch,6,0.316,0.9554671997758881,6,192,False,0.0779
ton->bot,42,su_innesco,6,0.316,0.8701366121977443,0,0,False,0.0779
ton->bot,42,oracolo,6,0.316,0.8621706812274268,6,192,False,0.0779
ton->bot,42,stat_13x13,6,0.316,0.9645466607087005,6,192,False,0.0779
ton->bot,42,martingala,6,0.316,0.9627542577962821,5,160,False,0.0779
ton->bot,42,stat_13x13_adaptive,6,0.316,0.9257312548821914,6,192,False,0.0779
ton->bot,42,statico,7,0.368,0.8539006712115176,0,0,False,0.08745
ton->bot,42,ogni_batch,7,0.368,0.9611592201084374,7,224,False,0.08745
ton->bot,42,su_innesco,7,0.368,0.8539006712115176,0,0,False,0.08745
