exp,seed,politica,batch,frazione_target,bal_acc,adattamenti,etichette,innesco,vuoti,ratio
ton->bot,42,statico,0,0.0,0.9685613961896815,0,0,False,0.0326,3.0
ton->bot,42,ogni_batch,0,0.0,0.9685613961896815,0,0,False,0.0326,3.0
ton->bot,42,su_innesco,0,0.0,0.9685613961896815,0,0,False,0.0326,3.0
ton->bot,42,oracolo,0,0.0,0.9685613961896815,0,0,False,0.0326,3.0
ton->bot,42,stat_13x13,0,0.0,0.9685613961896815,0,0,False,0.0326,3.0
ton->bot,42,martingala,0,0.0,0.9685613961896815,0,0,False,0.0326,3.0
ton->bot,42,stat_13x13_adaptive,0,0.0,0.9685613961896815,0,0,False,0.0326,3.0
ton->bot,42,statico,1,0.053,0.9542129405544633,0,0,False,0.03875,3.0
ton->bot,42,ogni_batch,1,0.053,0.9426419709213294,1,32,False,0.03875,3.0
ton->bot,42,su_innesco,1,0.053,0.9542129405544633,0,0,False,0.03875,3.0
ton->bot,42,oracolo,1,0.053,0.9357661346082324,1,32,False,0.03875,3.0
ton->bot,42,stat_13x13,1,0.053,0.957783390708012,1,32,False,0.03875,3.0
ton->bot,42,martingala,1,0.053,0.9542129405544633,0,0,False,0.03875,3.0
ton->bot,42,stat_13x13_adaptive,1,0.053,0.9523803561974953,1,32,False,0.03875,3.0
ton->bot,42,statico,2,0.105,0.9352468999814227,0,0,False,0.0475,3.0
ton->bot,42,ogni_batch,2,0.105,0.9264165035077941,2,64,False,0.0475,3.0
ton->bot,42,su_innesco,2,0.105,0.9352468999814227,0,0,False,0.0475,3.0
ton->bot,42,oracolo,2,0.105,0.9391652660778358,2,64,False,0.0475,3.0
ton->bot,42,stat_13x13,2,0.105,0.9404081062969112,2,64,False,0.0475,3.0
ton->bot,42,martingala,2,0.105,0.9352468999814227,0,0,False,0.0475,3.0
ton->bot,42,stat_13x13_adaptive,2,0.105,0.9397997863129401,2,64,False,0.0475,3.0
ton->bot,42,statico,3,0.158,0.917101347447733,0,0,False,0.0541,3.0
ton->bot,42,ogni_batch,3,0.158,0.95365264755325,3,96,False,0.0541,3.0
ton->bot,42,su_innesco,3,0.158,0.917101347447733,0,0,False,0.0541,3.0
ton->bot,42,oracolo,3,0.158,0.9205197413028738,3,96,False,0.0541,3.0
ton->bot,42,stat_13x13,3,0.158,0.9570403241336977,3,96,False,0.0541,3.0
ton->bot,42,martingala,3,0.158,0.917101347447733,0,0,False,0.0541,3.0
ton->bot,42,stat_13x13_adaptive,3,0.158,0.9584983289802567,3,96,False,0.0541,3.0
ton->bot,42,statico,4,0.211,0.9014395535901711,0,0,False,0.0623,3.0
ton->bot,42,ogni_batch,4,0.211,0.9460688806767735,4,128,False,0.0623,3.0
ton->bot,42,su_innesco,4,0.211,0.9014395535901711,0,0,False,0.0623,3.0
ton->bot,42,oracolo,4,0.211,0.8990516735759537,4,128,False,0.0623,3.0
ton->bot,42,stat_13x13,4,0.211,0.9553036278789753,4,128,False,0.0623,3.0
ton->bot,42,martingala,4,0.211,0.9014395535901711,0,0,False,0.0623,3.0
ton->bot,42,stat_13x13_adaptive,4,0.211,0.9500484950472318,4,128,False,0.0623,3.0
ton->bot,42,statico,5,0.263,0.8895088852248692,0,0,False,0.0722,3.0
ton->bot,42,ogni_batch,5,0.263,0.9553348946003355,5,160,False,0.0722,3.0
ton->bot,42,su_innesco,5,0.263,0.8895088852248692,0,0,False,0.0722,3.0
ton->bot,42,oracolo,5,0.263,0.8886422620049133,5,160,False,0.0722,3.0
ton->bot,42,stat_13x13,5,0.263,0.9480102468839678,5,160,False,0.0722,3.0
ton->bot,42,martingala,5,0.263,0.8895088852248692,0,0,False,0.0722,3.0
ton->bot,42,stat_13x13_adaptive,5,0.263,0.9468816016425037,5,160,False,0.0722,3.0
ton->bot,42,statico,6,0.316,0.8668739202842344,0,0,False,0.0785,3.0
ton->bot,42,ogni_batch,6,0.316,0.9492540440546485,6,192,False,0.0785,3.0
ton->bot,42,su_innesco,6,0.316,0.8668739202842344,0,0,False,0.0785,3.0
ton->bot,42,oracolo,6,0.316,0.9542103830906181,6,192,False,0.0785,3.0
ton->bot,42,stat_13x13,6,0.316,0.9508592903022877,6,192,False,0.0785,3.0
ton->bot,42,martingala,6,0.316,0.8668739202842344,0,0,False,0.0785,3.0
ton->bot,42,stat_13x13_adaptive,6,0.316,0.9446029713308652,6,192,False,0.0785,3.0
ton->bot,42,statico,7,0.368,0.854742718161269,0,0,False,0.08835,3.0
ton->bot,42,ogni_batch,7,0.368,0.9531788359877067,7,224,False,0.08835,3.0
ton->bot,42,su_innesco,7,0.368,0.854742718161269,0,0,False,0.08835,3.0
ton->bot,42,oracolo,7,0.368,0.9678645965822508,7,224,False,0.08835,3.0
ton->bot,42,stat_13x13,7,0.368,0.9524197913917263,7,224,False,0.08835,3.0
ton->bot,42,martingala,7,0.368,0.8563833824391285,1,32,False,0.08835,3.0
ton->bot,42,stat_13x13_adaptive,7,0.368,0.953415199873446,7,224,False,0.08835,3.0
ton->bot,42,statico,8,0.421,0.8403781677759101,0,0,False,0.091,3.0
ton->bot,42,ogni_batch,8,0.421,0.9571172576806988,8,256,False,0.091,3.0
ton->bot,42,su_innesco,8,0.421,0.8403781677759101,0,0,False,0.091,3.0
ton->bot,42,oracolo,8,0.421,0.9679612567687825,8,256,False,0.091,3.0
ton->bot,42,stat_13x13,8,0.421,0.9542995447935607,8,256,False,0.091,3.0
ton->bot,42,martingala,8,0.421,0.956098071716142,2,64,False,0.091,3.0
ton->bot,42,stat_13x13_adaptive,8,0.421,0.9482475690014638,8,256,False,0.091,3.0
ton->bot,42,statico,9,0.474,0.8276843826357795,0,0,False,0.10225,3.0
