exp,seed,metodo,bal_acc,accordo_con_float,budget,normali,guadagni_q15,bias,iters_used
ton->bot,42,float non adattato,0.5559197693920336,,,,,,
ton->bot,42,intero non adattato,0.5076867400419287,0.9995610469031361,,,,,
ton->bot,42,intero + guadagni float  n=8,0.6345390913253843,,8.0,3.0,,,
ton->bot,42,intero + guadagni interi n=8,0.6227007099228113,,8.0,,"[-47, 11, 173, -7, -181, 102, 33, 163, -129, 13, 420, 546]",0.0,3600.0
ton->bot,42,intero + guadagni float  n=32,0.5888225222823702,,32.0,9.0,,,
ton->bot,42,intero + guadagni interi n=32,0.6475089507088188,,32.0,,"[-79, 106, -58, -22, -184, -59, 27, 30, -255, 50, 412, 848]",276.0,5700.0
ton->bot,42,intero + guadagni float  n=128,0.8939123055834872,,128.0,21.0,,,
ton->bot,42,intero + guadagni interi n=128,0.8388635288300293,,128.0,,"[-130, 187, 51, -32, -113, -176, -1, -11, -213, 49, 1021, -1927]",1714.0,5400.0
ton->bot,43,float non adattato,0.5673576677148847,,,,,,
ton->bot,43,intero non adattato,0.4383986320754717,0.9971966859041187,,,,,
ton->bot,43,intero + guadagni interi n=8,,,8.0,,,,
ton->bot,43,intero + guadagni float  n=32,0.4447448177997001,,32.0,1.0,,,
ton->bot,43,intero + guadagni interi n=32,0.5490997060426719,,32.0,,"[203, 137, 53, -512, -89, -186, 56, 41, 160, 36, -130, -1161]",19100.0,19100.0
ton->bot,43,intero + guadagni float  n=128,0.7821546903888263,,128.0,5.0,,,
ton->bot,43,intero + guadagni interi n=128,0.7644887092850239,,128.0,,"[256, 2, 57, -251, 20, -512, -98, 187, 191, 24, 97, -2048]",407.0,12600.0
ton->bot,44,float non adattato,0.5664562316561845,,,,,,
ton->bot,44,intero non adattato,0.4404518501048218,0.9975508412436339,,,,,
ton->bot,44,intero + guadagni interi n=8,,,8.0,,,,
ton->bot,44,intero + guadagni interi n=32,,,32.0,,,,
ton->bot,44,intero + guadagni float  n=128,0.8222964940165651,,128.0,4.0,,,
ton->bot,44,intero + guadagni interi n=128,0.8035423981896259,,128.0,,"[256, 133, -7, 10, 138, -512, -1, 62, 79, 65, -67, -2048]",360.0,10600.0
ton->bot,45,float non adattato,0.5442215251572327,,,,,,
ton->bot,45,intero non adattato,0.5178610482180294,0.985210273497708,,,,,
ton->bot,45,intero + guadagni float  n=8,0.6640262207866237,,8.0,2.0,,,
ton->bot,45,intero + guadagni interi n=8,0.6666353990619718,,8.0,,"[-273, 106, -121, 55, -241, -90, 12, 39, -203, 4, 196, 537]",1599.0,3900.0
ton->bot,45,intero + guadagni float  n=32,0.6566855805194718,,32.0,5.0,,,
ton->bot,45,intero + guadagni interi n=32,0.7446093834955854,,32.0,,"[-317, 60, -75, 145, -174, 6, 35, 154, -247, 10, 131, -600]",384.0,6500.0
ton->bot,45,intero + guadagni float  n=128,0.6478370373627238,,128.0,5.0,,,
ton->bot,45,intero + guadagni interi n=128,0.5998700005588182,,128.0,,"[-255, 25, -37, 181, -85, 53, 38, 169, -176, 8, 190, -266]",0.0,3300.0
ton->bot,46,float non adattato,0.5680726677148846,,,,,,
ton->bot,46,intero non adattato,0.5208985744234801,0.9973612933154427,,,,,
ton->bot,46,intero + guadagni float  n=8,0.836579897396922,,8.0,2.0,,,
ton->bot,46,intero + guadagni interi n=8,0.9403240097202916,,8.0,,"[-270, 46, 49, -54, -47, -115, 116, 24, -109, 31, 359, -711]",5512.0,6300.0
ton->bot,46,intero + guadagni float  n=32,0.8572883167041307,,32.0,10.0,,,
ton->bot,46,intero + guadagni interi n=32,0.9427489004518548,,32.0,,"[-330, 54, 3, -53, -32, -150, 48, 34, -117, 31, 557, -368]",1482.0,7600.0
ton->bot,46,intero + guadagni float  n=128,0.9764816819561797,,128.0,12.0,,,
ton->bot,46,intero + guadagni interi n=128,0.6683142835747959,,128.0,,"[-257, 73, 287, -38, 4, -10, 8, 12, 33, 2, 966, -1058]",712.0,4700.0
ton->bot,47,float non adattato,0.5521068972746331,,,,,,
ton->bot,47,intero non adattato,0.4938866876310272,0.9985434738149513,,,,,
ton->bot,47,intero + guadagni interi n=8,,,8.0,,,,
ton->bot,47,intero + guadagni float  n=32,0.5902189099869607,,32.0,6.0,,,
ton->bot,47,intero + guadagni interi n=32,0.666524211841807,,32.0,,"[-62, 86, -115, -41, -112, -263, 28, 37, -191, 40, 358, 2029]",6560.0,7000.0
ton->bot,47,intero + guadagni float  n=128,0.7300959946970315,,128.0,8.0,,,
ton->bot,47,intero + guadagni interi n=128,0.8759044925889435,,128.0,,"[-188, 51, 62, -72, -90, -328, 41, 29, -300, 37, 47, -715]",0.0,3300.0
ton->bot,48,float non adattato,0.548811179245283,,,,,,
ton->bot,48,intero non adattato,0.4395793501048218,0.9934655845807748,,,,,
ton->bot,48,intero + guadagni interi n=8,,,8.0,,,,
ton->bot,48,intero + guadagni interi n=32,,,32.0,,,,
ton->bot,48,intero + guadagni interi n=128,,,128.0,,,,
ton->bot,49,float non adattato,0.551206179245283,,,,,,
ton->bot,49,intero non adattato,0.4404993501048218,0.996398589364366,,,,,
ton->bot,49,intero + guadagni interi n=8,,,8.0,,,,
ton->bot,49,intero + guadagni float  n=32,0.7786787099059178,,32.0,1.0,,,
ton->bot,49,intero + guadagni interi n=32,0.8366523649400951,,32.0,,"[-1083, 112, 99, 20, -289, -234, 6, -71, 121, 63, 233, -898]",6301.0,6300.0
ton->bot,49,intero + guadagni float  n=128,0.7851230696391358,,128.0,2.0,,,
ton->bot,49,intero + guadagni interi n=128,0.8260940550441516,,128.0,,"[-143, 168, 73, 16, -238, -361, -8, 104, 35, 97, 495, -1562]",12706.0,12700.0
ton->bot,50,float non adattato,0.5490897431865829,,,,,,
ton->bot,50,intero non adattato,0.5176489203354298,0.9975259007267666,,,,,
ton->bot,50,intero + guadagni float  n=8,0.7423849330524888,,8.0,1.0,,,
