exp,seed,metodo,bal_acc,accordo_con_float,budget,normali,guadagni_q15,bias
ton->bot,42,float non adattato,0.5559197693920336,,,,,
ton->bot,42,intero non adattato,0.5076867400419287,0.9995610469031361,,,,
ton->bot,42,intero + guadagni float  n=8,0.6345390913253843,,8.0,3.0,,
ton->bot,42,intero + guadagni interi n=8,0.6300721758550293,,8.0,,"[-44, 9, 165, -7, -165, 97, 31, 154, -120, 12, 382, 517]",0.0
ton->bot,42,intero + guadagni float  n=32,0.5888225222823702,,32.0,9.0,,
ton->bot,42,intero + guadagni interi n=32,0.7457070383606936,,32.0,,"[-69, 75, -6, -20, -141, -42, 24, 28, -233, 42, 322, 567]",276.0
ton->bot,42,intero + guadagni float  n=128,0.8939123055834872,,128.0,21.0,,
ton->bot,42,intero + guadagni interi n=128,0.8377670376019591,,128.0,,"[-109, 159, 56, -28, -120, -121, -4, -12, -154, 45, 828, -1593]",1681.0
ton->bot,43,float non adattato,0.5673576677148847,,,,,
ton->bot,43,intero non adattato,0.4383986320754717,0.9971966859041187,,,,
ton->bot,43,intero + guadagni interi n=8,,,8.0,,,
ton->bot,43,intero + guadagni float  n=32,0.4447448177997001,,32.0,1.0,,
ton->bot,43,intero + guadagni interi n=32,0.3690567993921411,,32.0,,"[102, 69, 23, -313, -4, -75, 5, -37, 77, 16, -175, -554]",2000.0
ton->bot,43,intero + guadagni float  n=128,0.7821546903888263,,128.0,5.0,,
ton->bot,43,intero + guadagni interi n=128,0.5608675394689768,,128.0,,"[141, 20, 20, -165, 50, -212, -64, 44, 92, 11, -112, -1002]",407.0
ton->bot,44,float non adattato,0.5664562316561845,,,,,
ton->bot,44,intero non adattato,0.4404518501048218,0.9975508412436339,,,,
ton->bot,44,intero + guadagni interi n=8,,,8.0,,,
ton->bot,44,intero + guadagni interi n=32,,,32.0,,,
ton->bot,44,intero + guadagni float  n=128,0.8222964940165651,,128.0,4.0,,
ton->bot,44,intero + guadagni interi n=128,0.7976544664880387,,128.0,,"[134, 104, -20, -1, 73, -313, -8, 5, 43, 34, -143, -1486]",360.0
ton->bot,45,float non adattato,0.5442215251572327,,,,,
ton->bot,45,intero non adattato,0.5178610482180294,0.985210273497708,,,,
ton->bot,45,intero + guadagni float  n=8,0.6640262207866237,,8.0,2.0,,
ton->bot,45,intero + guadagni interi n=8,0.6745062351870557,,8.0,,"[-239, 91, -104, 51, -201, -70, 22, 40, -180, 4, 169, 515]",1409.0
ton->bot,45,intero + guadagni float  n=32,0.6566855805194718,,32.0,5.0,,
ton->bot,45,intero + guadagni interi n=32,0.8494722635013354,,32.0,,"[-247, 34, -45, 148, -96, 38, 35, 150, -173, 5, 113, -453]",0.0
ton->bot,45,intero + guadagni float  n=128,0.6478370373627238,,128.0,5.0,,
ton->bot,45,intero + guadagni interi n=128,0.5988106785249199,,128.0,,"[-241, 21, -33, 175, -74, 55, 38, 165, -163, 7, 179, -241]",0.0
ton->bot,46,float non adattato,0.5680726677148846,,,,,
ton->bot,46,intero non adattato,0.5208985744234801,0.9973612933154427,,,,
ton->bot,46,intero + guadagni float  n=8,0.836579897396922,,8.0,2.0,,
ton->bot,46,intero + guadagni interi n=8,0.8953962618878566,,8.0,,"[-204, 25, 102, -42, -26, -75, 131, 23, -107, 23, 168, -472]",1212.0
ton->bot,46,intero + guadagni float  n=32,0.8572883167041307,,32.0,10.0,,
ton->bot,46,intero + guadagni interi n=32,0.6586890617925145,,32.0,,"[-232, 22, 101, -41, -17, -79, 47, 29, -119, 22, 308, -164]",292.0
ton->bot,46,intero + guadagni float  n=128,0.9764816819561797,,128.0,12.0,,
ton->bot,46,intero + guadagni interi n=128,0.6683142835747959,,128.0,,"[-213, 61, 271, -34, -1, 1, 6, 9, 26, 3, 811, -884]",712.0
ton->bot,47,float non adattato,0.5521068972746331,,,,,
ton->bot,47,intero non adattato,0.4938866876310272,0.9985434738149513,,,,
ton->bot,47,intero + guadagni interi n=8,,,8.0,,,
ton->bot,47,intero + guadagni float  n=32,0.5902189099869607,,32.0,6.0,,
ton->bot,47,intero + guadagni interi n=32,0.6032929503765426,,32.0,,"[-88, 48, -4, -34, -68, -159, 27, 27, -166, 26, 289, 1491]",1560.0
ton->bot,47,intero + guadagni float  n=128,0.7300959946970315,,128.0,8.0,,
ton->bot,47,intero + guadagni interi n=128,0.8758119370556235,,128.0,,"[-175, 47, 70, -67, -81, -298, 37, 26, -275, 35, 41, -701]",0.0
ton->bot,48,float non adattato,0.548811179245283,,,,,
ton->bot,48,intero non adattato,0.4395793501048218,0.9934655845807748,,,,
ton->bot,48,intero + guadagni interi n=8,,,8.0,,,
ton->bot,48,intero + guadagni interi n=32,,,32.0,,,
ton->bot,48,intero + guadagni interi n=128,,,128.0,,,
ton->bot,49,float non adattato,0.551206179245283,,,,,
ton->bot,49,intero non adattato,0.4404993501048218,0.996398589364366,,,,
ton->bot,49,intero + guadagni interi n=8,,,8.0,,,
ton->bot,49,intero + guadagni float  n=32,0.7786787099059178,,32.0,1.0,,
ton->bot,49,intero + guadagni interi n=32,0.8009280776755692,,32.0,,"[-1008, 93, 70, 13, -216, -170, 5, -63, 85, 50, 156, -682]",2001.0
ton->bot,49,intero + guadagni float  n=128,0.7851230696391358,,128.0,2.0,,
ton->bot,49,intero + guadagni interi n=128,0.8176217490703354,,128.0,,"[-248, 121, 74, 9, -186, -233, -8, 26, 42, 67, 281, -998]",2006.0
ton->bot,50,float non adattato,0.5490897431865829,,,,,
ton->bot,50,intero non adattato,0.5176489203354298,0.9975259007267666,,,,
ton->bot,50,intero + guadagni float  n=8,0.7423849330524888,,8.0,1.0,,
ton->bot,50,intero + guadagni interi n=8,0.822857271643163,,8.0,,"[399, 103, 40, 24, 107, -690, 29, 102, -286, 70, 606, -803]",2009.0
ton->bot,50,intero + guadagni float  n=32,0.797156390122822,,32.0,1.0,,
