exp,seed,metodo,bal_acc,ratio,accordo_con_float,budget,normali,bal_val,guadagni_q15,bias,iters_used
ton->bot,42,float non adattato,0.459706179245283,1.0,,,,,,,
ton->bot,42,intero non adattato,0.49577775157232706,1.0,0.8084318899424872,,,,,,
ton->bot,42,intero + guadagni float  n=8,0.5739255126895576,1.0,,8.0,4.0,0.5807118929837642,,,
ton->bot,42,intero + guadagni interi n=8,0.5107623734794317,1.0,,8.0,,0.5094574420063178,"[417, -20, 58, 111, -3, 237, 121, -255, 179, 15, 237, -980]",39.0,6000.0
ton->bot,42,intero + guadagni float  n=32,0.8341757771531244,1.0,,32.0,13.0,0.8283703310973314,,,
ton->bot,42,intero + guadagni interi n=32,0.6513761062085863,1.0,,32.0,,0.6665748741473138,"[74, 46, -131, -34, 60, 112, 53, -462, -512, -37, -27, 716]",139.0,6000.0
ton->bot,42,intero + guadagni float  n=128,0.927709658965809,1.0,,128.0,22.0,0.9431832252676844,,,
ton->bot,42,intero + guadagni interi n=128,0.8670190449638735,1.0,,128.0,,0.8952176151007146,"[186, -2, -85, -154, 100, 116, 55, -437, -394, -63, 484, -317]",88.0,6000.0
ton->bot,43,float non adattato,0.4609568972746331,1.0,,,,,,,
ton->bot,43,intero non adattato,0.39842719601677146,1.0,0.892017538171461,,,,,,
ton->bot,43,intero + guadagni interi n=8,,1.0,,8.0,,,,,
ton->bot,43,intero + guadagni float  n=32,0.8025532443324812,1.0,,32.0,3.0,0.8024539543156194,,,
ton->bot,43,intero + guadagni interi n=32,0.7512170028621742,1.0,,32.0,,0.7846277585505029,"[247, -4, -71, 49, -233, -9, -24, -230, 91, 44, -28, -1263]",239.0,6000.0
ton->bot,43,intero + guadagni float  n=128,0.7862231266191371,1.0,,128.0,3.0,0.785750874644881,,,
ton->bot,43,intero + guadagni interi n=128,0.7863179292681601,1.0,,128.0,,0.788633750206683,"[204, -16, -10, 27, -180, -15, -52, -240, 85, 39, -166, -1405]",364.0,6000.0
ton->bot,44,float non adattato,0.4694168972746331,1.0,,,,,,,
ton->bot,44,intero non adattato,0.4990616876310272,1.0,0.823361283339236,,,,,,
ton->bot,44,intero + guadagni float  n=8,0.7983179052585223,1.0,,8.0,3.0,0.7692184727835916,,,
ton->bot,44,intero + guadagni interi n=8,0.757616213053508,1.0,,8.0,,0.7287649681562812,"[-209, -143, 40, -86, -73, 78, -39, -738, -128, 16, -90, 148]",312.0,6000.0
ton->bot,44,intero + guadagni float  n=32,0.8210841861770983,1.0,,32.0,18.0,0.8351551091848844,,,
ton->bot,44,intero + guadagni interi n=32,0.5692435974158594,1.0,,32.0,,0.5869911808699118,"[-64, -459, 90, -4, -202, 91, 65, -425, -63, 22, 461, -186]",970.0,6000.0
ton->bot,44,intero + guadagni float  n=128,0.8901388915152402,1.0,,128.0,20.0,0.8819596536802954,,,
ton->bot,44,intero + guadagni interi n=128,0.864297681569575,1.0,,128.0,,0.8583401581884056,"[69, -326, 14, -178, -46, 98, 74, -512, -152, 34, 833, -568]",142.0,6000.0
ton->bot,45,float non adattato,0.46108439727463313,1.0,,,,,,,
ton->bot,45,intero non adattato,0.5026752777777778,1.0,0.8099881781950049,,,,,,
ton->bot,45,intero + guadagni interi n=8,,1.0,,8.0,,,,,
ton->bot,45,intero + guadagni float  n=32,0.7118489896504184,1.0,,32.0,12.0,0.6972973756495648,,,
ton->bot,45,intero + guadagni interi n=32,0.875275669537776,1.0,,32.0,,0.8778593533704893,"[102, -286, 25, -76, 53, 92, 107, -512, 52, 35, 843, 128]",176.0,6000.0
ton->bot,45,intero + guadagni float  n=128,0.7021706702650532,1.0,,128.0,12.0,0.6937905496921342,,,
ton->bot,45,intero + guadagni interi n=128,0.7130252673873931,1.0,,128.0,,0.6939188875644228,"[103, -114, -29, -93, 109, 48, 62, -459, 28, 27, 872, -438]",193.0,6000.0
ton->bot,46,float non adattato,0.5409926153039832,1.0,,,,,,,
ton->bot,46,intero non adattato,0.3423018238993711,1.0,0.842839827012575,,,,,,
ton->bot,46,intero + guadagni float  n=8,0.7847188839195639,1.0,,8.0,1.0,0.7662069426098826,,,
ton->bot,46,intero + guadagni interi n=8,0.7267231551450875,1.0,,8.0,,0.7272560603282782,"[505, 84, 11, 8, -54, -14, 28, -125, 70, 69, 85, -915]",6000.0,6000.0
ton->bot,46,intero + guadagni float  n=32,0.7649266579547485,1.0,,32.0,2.0,0.7502540160119298,,,
ton->bot,46,intero + guadagni interi n=32,0.7349429035539512,1.0,,32.0,,0.7373071814223676,"[140, 111, 30, 19, -81, -17, 31, -171, 139, 89, 258, -1282]",6000.0,6000.0
ton->bot,46,intero + guadagni float  n=128,0.7432003594511725,1.0,,128.0,2.0,0.7464205019647747,,,
