exp,seed,metodo,bal_acc,ratio,accordo_con_float,budget,normali,bal_val,guadagni_q15,bias,iters_used
ton->bot,42,float non adattato,0.5559197693920336,50.0,,,,,,,
ton->bot,42,intero non adattato,0.5076867400419287,50.0,0.9995610469031361,,,,,,
ton->bot,42,intero + guadagni float  n=8,0.6298782684252783,50.0,,8.0,3.0,0.6453318511019472,,,
ton->bot,42,intero + guadagni interi n=8,0.6100122282302585,50.0,,8.0,,0.6276909976471636,"[-53, 16, 186, -8, -219, 113, 36, 183, -147, 15, 519, 609]",0.0,6000.0
ton->bot,42,intero + guadagni float  n=32,0.5893321023882533,50.0,,32.0,9.0,0.5876645813642664,,,
ton->bot,42,intero + guadagni interi n=32,0.6497239715563762,50.0,,32.0,,0.6460050858020756,"[-81, 114, -76, -22, -195, -63, 27, 31, -254, 51, 437, 940]",276.0,6000.0
ton->bot,42,intero + guadagni float  n=128,0.8933471614257638,50.0,,128.0,21.0,0.8952411874568398,,,
ton->bot,42,intero + guadagni interi n=128,0.8310910979095945,50.0,,128.0,,0.8571591123108795,"[-137, 194, 46, -31, -100, -199, 1, -10, -235, 48, 1024, -2026]",1714.0,6000.0
ton->bot,43,float non adattato,0.5673576677148847,50.0,,,,,,,
ton->bot,43,intero non adattato,0.4383986320754717,50.0,0.9971966859041187,,,,,,
ton->bot,43,intero + guadagni interi n=8,,50.0,,8.0,,,,,
ton->bot,43,intero + guadagni float  n=32,0.44235787493154877,50.0,,32.0,1.0,0.45030464584920027,,,
ton->bot,43,intero + guadagni interi n=32,0.5213934169926312,50.0,,32.0,,0.5253409956380254,"[148, 104, 38, -417, -43, -119, 28, -1, 109, 26, -134, -829]",6000.0,6000.0
ton->bot,43,intero + guadagni float  n=128,0.7851699350975586,50.0,,128.0,5.0,0.775005359733395,,,
ton->bot,43,intero + guadagni interi n=128,0.7473964446696482,50.0,,128.0,,0.7364260583091351,"[222, 7, 38, -201, 37, -398, -85, 124, 156, 18, 20, -1617]",407.0,6000.0
ton->bot,44,float non adattato,0.5664562316561845,50.0,,,,,,,
ton->bot,44,intero non adattato,0.4404518501048218,50.0,0.9975508412436339,,,,,,
ton->bot,44,intero + guadagni interi n=8,,50.0,,8.0,,,,,
ton->bot,44,intero + guadagni interi n=32,,50.0,,32.0,,,,,
ton->bot,44,intero + guadagni float  n=128,0.8266955032980504,50.0,,128.0,4.0,0.8120426469431112,,,
ton->bot,44,intero + guadagni interi n=128,0.8171971689987383,50.0,,128.0,,0.795437596814104,"[211, 120, -8, 6, 111, -487, 2, 45, 76, 53, -112, -2048]",360.0,6000.0
ton->bot,45,float non adattato,0.5442215251572327,50.0,,,,,,,
ton->bot,45,intero non adattato,0.5178610482180294,50.0,0.985210273497708,,,,,,
ton->bot,45,intero + guadagni float  n=8,0.6681896405598851,50.0,,8.0,2.0,0.6542634976525822,,,
ton->bot,45,intero + guadagni interi n=8,0.6674311138431029,50.0,,8.0,,0.6644947183098592,"[-307, 124, -141, 61, -289, -117, -6, 36, -222, 5, 240, 596]",2347.0,6000.0
ton->bot,45,intero + guadagni float  n=32,0.6581474707930294,50.0,,32.0,5.0,0.6532877739811651,,,
ton->bot,45,intero + guadagni interi n=32,0.7426769877690736,50.0,,32.0,,0.7490999249937494,"[-318, 60, -76, 145, -176, 5, 35, 154, -248, 10, 131, -600]",291.0,6000.0
ton->bot,45,intero + guadagni float  n=128,0.650685812945851,50.0,,128.0,5.0,0.6412159811551978,,,
ton->bot,45,intero + guadagni interi n=128,0.5924881110018119,50.0,,128.0,,0.5911883683897612,"[-308, 40, -55, 191, -143, 29, 37, 170, -233, 15, 232, -331]",1744.0,6000.0
ton->bot,46,float non adattato,0.5680726677148846,50.0,,,,,,,
ton->bot,46,intero non adattato,0.5208985744234801,50.0,0.9973612933154427,,,,,,
ton->bot,46,intero + guadagni float  n=8,0.8389386493533071,50.0,,8.0,2.0,0.8310486512803382,,,
ton->bot,46,intero + guadagni interi n=8,0.9496818901833366,50.0,,8.0,,0.9433247009515886,"[-300, 53, 25, -59, -52, -130, 114, 24, -109, 33, 446, -803]",5212.0,6000.0
ton->bot,46,intero + guadagni float  n=32,0.8603960887255837,50.0,,32.0,10.0,0.850029466741276,,,
ton->bot,46,intero + guadagni interi n=32,0.9458408350633927,50.0,,32.0,,0.9319556391604062,"[-325, 52, 9, -52, -32, -146, 47, 33, -118, 30, 544, -359]",1482.0,6000.0
ton->bot,46,intero + guadagni float  n=128,0.9788921906965262,50.0,,128.0,12.0,0.9708843798312041,,,
ton->bot,46,intero + guadagni interi n=128,0.6719548796532351,50.0,,128.0,,0.6598695917312416,"[-290, 84, 282, -41, 10, -24, 12, 17, 39, 1, 1024, -1182]",712.0,6000.0
ton->bot,47,float non adattato,0.5521068972746331,50.0,,,,,,,
ton->bot,47,intero non adattato,0.4938866876310272,50.0,0.9985434738149513,,,,,,
ton->bot,47,intero + guadagni interi n=8,,50.0,,8.0,,,,,
ton->bot,47,intero + guadagni float  n=32,0.58468638912111,50.0,,32.0,6.0,0.6029115070820632,,,
ton->bot,47,intero + guadagni interi n=32,0.6707736552190857,50.0,,32.0,,0.6602982379002514,"[-57, 90, -130, -42, -119, -279, 28, 38, -192, 42, 368, 2113]",5560.0,6000.0
ton->bot,47,intero + guadagni float  n=128,0.7125128513803431,50.0,,128.0,8.0,0.7705931888864876,,,
ton->bot,47,intero + guadagni interi n=128,0.8668843860974291,50.0,,128.0,,0.8933031645510152,"[-215, 59, 26, -79, -109, -388, 50, 36, -351, 43, 68, -689]",0.0,6000.0
ton->bot,48,float non adattato,0.548811179245283,50.0,,,,,,,
ton->bot,48,intero non adattato,0.4395793501048218,50.0,0.9934655845807748,,,,,,
ton->bot,48,intero + guadagni interi n=8,,50.0,,8.0,,,,,
ton->bot,48,intero + guadagni interi n=32,,50.0,,32.0,,,,,
ton->bot,48,intero + guadagni interi n=128,,50.0,,128.0,,,,,
ton->bot,49,float non adattato,0.551206179245283,50.0,,,,,,,
ton->bot,49,intero non adattato,0.4404993501048218,50.0,0.996398589364366,,,,,,
ton->bot,49,intero + guadagni interi n=8,,50.0,,8.0,,,,,
ton->bot,49,intero + guadagni float  n=32,0.7972764448975336,50.0,,32.0,1.0,0.7353701908286916,,,
