exp,regola,8,32,128,512
bot->ton,adattiva,1.5,7.3,28.3,124.4
bot->ton,bilanciato,4.0,16.0,64.0,256.0
bot->ton,casuale,1.2,6.7,27.8,122.9
bot->ton,conformal,0.8,2.8,11.2,42.2
bot->ton,conformal_top,0.4,0.9,1.6,3.2
bot->ton,margine,0.4,0.9,1.6,3.2
bot->ton,misto,1.3,4.0,17.0,62.2
bot->ton,strat_z,1.5,7.9,28.5,122.0
ton->bot,adattiva,3.4,10.6,16.6,28.2
ton->bot,bilanciato,4.0,16.0,64.0,256.0
ton->bot,casuale,0.0,0.0,0.0,0.0
ton->bot,conformal,0.0,0.0,0.0,0.0
ton->bot,conformal_top,5.4,11.4,17.4,28.2
ton->bot,margine,5.4,11.4,17.4,28.2
ton->bot,misto,3.4,9.0,13.1,27.0
ton->bot,strat_z,0.0,0.0,0.0,0.2
