exp,seed,regola,budget,normali_selezionate,q_conformal,bal_partenza,bal_acc,esito
ton->bot,42,casuale,8,0,0.34229146979638536,0.5531270079198045,,fallita: una sola classe
ton->bot,42,margine,8,4,0.34229146979638536,0.5531270079198045,0.9002434192175579,ok
ton->bot,42,strat_z,8,0,0.34229146979638536,0.5531270079198045,,fallita: una sola classe
ton->bot,42,conformal,8,0,0.34229146979638536,0.5531270079198045,,fallita: una sola classe
ton->bot,42,conformal_top,8,4,0.34229146979638536,0.5531270079198045,0.9002434192175579,ok
ton->bot,42,misto,8,4,0.34229146979638536,0.5531270079198045,0.7222527593380832,ok
ton->bot,42,adattiva,8,4,0.34229146979638536,0.5531270079198045,0.7566889578291197,ok
ton->bot,42,bilanciato,8,4,0.34229146979638536,0.5531270079198045,0.9110531829165468,ok
ton->bot,42,casuale,32,0,0.34229146979638536,0.5531270079198045,,fallita: una sola classe
ton->bot,42,margine,32,16,0.34229146979638536,0.5531270079198045,0.8985648128073824,ok
ton->bot,42,strat_z,32,0,0.34229146979638536,0.5531270079198045,,fallita: una sola classe
ton->bot,42,conformal,32,0,0.34229146979638536,0.5531270079198045,,fallita: una sola classe
ton->bot,42,conformal_top,32,16,0.34229146979638536,0.5531270079198045,0.8985648128073824,ok
ton->bot,42,misto,32,4,0.34229146979638536,0.5531270079198045,0.826716801541818,ok
ton->bot,42,adattiva,32,8,0.34229146979638536,0.5531270079198045,0.9021945287695845,ok
ton->bot,42,bilanciato,32,16,0.34229146979638536,0.5531270079198045,0.928831185202552,ok
ton->bot,42,casuale,128,0,0.34229146979638536,0.5531270079198045,,fallita: una sola classe
ton->bot,42,margine,128,21,0.34229146979638536,0.5531270079198045,0.8594998886653971,ok
ton->bot,42,strat_z,128,0,0.34229146979638536,0.5531270079198045,,fallita: una sola classe
ton->bot,42,conformal,128,0,0.34229146979638536,0.5531270079198045,,fallita: una sola classe
ton->bot,42,conformal_top,128,21,0.34229146979638536,0.5531270079198045,0.8594998886653971,ok
ton->bot,42,misto,128,21,0.34229146979638536,0.5531270079198045,0.9227594434888428,ok
ton->bot,42,adattiva,128,21,0.34229146979638536,0.5531270079198045,0.6772674007920296,ok
ton->bot,42,bilanciato,128,64,0.34229146979638536,0.5531270079198045,0.9399370378761254,ok
ton->bot,42,casuale,512,0,0.34229146979638536,0.5531270079198045,,fallita: una sola classe
ton->bot,42,margine,512,21,0.34229146979638536,0.5531270079198045,0.840434520348468,ok
