,,bal_acc,bal_acc,bal_acc,bal_acc,bal_acc,bal_acc,frazione_positivi,frazione_positivi,frazione_positivi,frazione_positivi,frazione_positivi,frazione_positivi
exp,,bot->ton,bot->unsw,ton->bot,ton->unsw,unsw->bot,unsw->ton,bot->ton,bot->unsw,ton->bot,ton->unsw,unsw->bot,unsw->ton
metodo,etichette,,,,,,,,,,,,
32 etichette,32,0.7833,0.7188,0.7813,0.7176,0.5,0.7698,0.5601,0.5856,0.7489,0.5696,0.0,0.6691
8 etichette,8,0.6462,0.5937,0.697,0.6811,0.5,0.6106,0.4307,0.452,0.5911,0.5911,0.0,0.6751
EM sul prior,0,0.5,0.5,0.559,0.3737,0.5,0.4682,0.0,0.0,0.2342,0.3932,0.0,0.0157
IM (SHOT),0,0.7779,0.3694,0.6415,0.2425,0.6973,0.3568,0.7254,0.5668,0.453,0.5332,0.7648,0.5685
IM come prior + 32 etichette,32,0.794,0.3692,0.6821,0.3887,,0.3568,0.6908,0.5667,0.5991,0.638,,0.5685
IM come prior + 8 etichette,8,0.7733,0.3586,0.625,0.233,,0.3568,0.7133,0.541,0.47,0.5518,,0.5685
IM seleziona + 32 etichette,32,0.814,0.7213,0.6997,0.7331,0.8031,0.7669,0.7345,0.5748,0.9208,0.5309,0.9707,0.6807
IM seleziona + 8 etichette,8,0.653,0.6334,0.8064,0.6731,0.7424,0.6145,0.8229,0.671,0.9452,0.5812,0.9486,0.7188
TENT,0,0.5314,0.4966,0.4834,0.242,0.6903,0.4191,0.1005,0.0103,0.2834,0.5335,0.7651,0.048
TENT filtrato,0,0.5126,0.4983,0.5221,0.2378,0.6228,0.4638,0.034,0.0078,0.2534,0.5363,0.5095,0.0257
non adattato,0,0.6112,0.4615,0.5602,0.224,0.7258,0.2938,0.2683,0.1077,0.4402,0.5438,0.6586,0.2127
