exp,seed,metodo,bal_acc,frazione_positivi,etichette,nota
ton->bot,42,non adattato,0.5559197693920336,0.44071389735480876,0,
ton->bot,42,EM sul prior,0.5611769444444444,0.23317388029549524,0,prior stimato 0.2708 vero 0.9976
ton->bot,42,TENT,0.4324175104821803,0.25928660145552856,0,
ton->bot,42,TENT filtrato,0.548780429769392,0.25665787097771814,0,
ton->bot,42,IM (SHOT),0.6277925052410902,0.4520418801159235,0,
ton->bot,42,8 etichette,0.5,0.0,8,una sola classe
ton->bot,42,32 etichette,0.9363208805031447,0.9774837013722273,32,
ton->bot,42,IM seleziona + 32 etichette,0.7125684958071279,0.8664734607960015,32,
ton->bot,42,IM come prior + 32 etichette,0.8000339150943396,0.8061872434244327,32,
ton->bot,43,non adattato,0.5673576677148847,0.44047446839288296,0,
ton->bot,43,EM sul prior,0.5615094444444444,0.23383729804416467,0,prior stimato 0.2669 vero 0.9976
ton->bot,43,TENT,0.4585465775681342,0.23385226235428502,0,
ton->bot,43,TENT filtrato,0.5436518396226415,0.25690727614639086,0,
ton->bot,43,IM (SHOT),0.6737565985324947,0.4515081530549639,0,
ton->bot,43,8 etichette,0.7627063626834382,0.7610598722047915,8,
ton->bot,43,IM seleziona + 8 etichette,0.5421009224318658,0.7674396564194397,8,
ton->bot,43,IM come prior + 8 etichette,0.5827359119496855,0.45438628870144704,8,
ton->bot,43,32 etichette,0.8493683280922432,0.833342478189518,32,
ton->bot,43,IM seleziona + 32 etichette,0.5138015094339623,0.7822543234385989,32,
ton->bot,43,IM come prior + 32 etichette,0.7172789937106918,0.5970460451822404,32,
ton->bot,44,non adattato,0.5664562316561845,0.44286875801214104,0,
ton->bot,44,EM sul prior,0.559037290356394,0.23519406216174424,0,prior stimato 0.2674 vero 0.9976
ton->bot,44,TENT,0.4289157547169811,0.23552826508776567,0,
ton->bot,44,TENT filtrato,0.539167531446541,0.2605386154022656,0,
ton->bot,44,IM (SHOT),0.6218717610062894,0.4570000548691371,0,
ton->bot,44,8 etichette,0.9026496593291404,0.994158930949685,8,
ton->bot,44,IM seleziona + 8 etichette,0.8439419496855345,0.994423300428478,8,
ton->bot,44,IM come prior + 8 etichette,0.6218717610062894,0.4570000548691371,8,
ton->bot,44,32 etichette,0.939803034591195,0.9781421310175232,32,
ton->bot,44,IM seleziona + 32 etichette,0.7596037893081762,0.9959596362675021,32,
ton->bot,44,IM come prior + 32 etichette,0.619775324947589,0.457010031075884,32,
bot->ton,42,non adattato,0.590449634569649,0.31104087792535173,0,
bot->ton,42,EM sul prior,0.5,0.0,0,prior stimato 0.0000 vero 0.7631
bot->ton,42,TENT,0.5869193739560241,0.1662931250977289,0,
bot->ton,42,TENT filtrato,0.5866835643896351,0.16665324128258222,0,
bot->ton,42,IM (SHOT),0.7853731159379793,0.7995858663874187,0,
bot->ton,42,8 etichette,0.6834510702731569,0.8920362201068028,8,
bot->ton,42,IM seleziona + 8 etichette,0.4916938517662985,0.9797434646020006,8,
bot->ton,42,IM come prior + 8 etichette,0.7853731159379793,0.7995858663874187,8,
bot->ton,42,32 etichette,0.9142406716839602,0.6633387508706756,32,
bot->ton,42,IM seleziona + 32 etichette,0.9142406716839602,0.6633387508706756,32,
bot->ton,42,IM come prior + 32 etichette,0.8798875943692057,0.7417303582682202,32,
bot->ton,43,non adattato,0.7105053078991326,0.49306539425614687,0,
bot->ton,43,EM sul prior,0.5,0.0,0,prior stimato 0.0000 vero 0.7631
bot->ton,43,TENT,0.7751393635240278,0.8046274929753652,0,
bot->ton,43,TENT filtrato,0.4986048557217638,0.008950782541946428,0,
bot->ton,43,IM (SHOT),0.7098483939072173,0.49166283648356024,0,
bot->ton,43,8 etichette,0.7695067723527257,0.811351241216245,8,
bot->ton,43,IM seleziona + 8 etichette,0.7695067723527257,0.811351241216245,8,
bot->ton,43,IM come prior + 8 etichette,0.7098483939072173,0.49166283648356024,8,
bot->ton,43,32 etichette,0.8999995837757617,0.6828845306406751,32,
bot->ton,43,IM seleziona + 32 etichette,0.8999995837757617,0.6828845306406751,32,
bot->ton,43,IM come prior + 32 etichette,0.7098483939072173,0.49166283648356024,32,
bot->ton,44,non adattato,0.49563425904882547,0.1576171680652758,0,
bot->ton,44,EM sul prior,0.5,0.0,0,prior stimato 0.0000 vero 0.7631
bot->ton,44,TENT,0.49409849506032555,0.0038333420203465643,0,
bot->ton,44,TENT filtrato,0.4933615998211658,0.004188719834346555,0,
bot->ton,44,IM (SHOT),0.7886461417137038,0.5921210369450776,0,
bot->ton,44,8 etichette,0.7218043180392815,0.8174495245044848,8,
bot->ton,44,IM seleziona + 8 etichette,0.7218043180392815,0.8174495245044848,8,
bot->ton,44,IM come prior + 8 etichette,0.7886461417137038,0.5921210369450776,8,
bot->ton,44,32 etichette,0.8673376586998502,0.5946371118681975,32,
bot->ton,44,IM seleziona + 32 etichette,0.8673376586998502,0.5946371118681975,32,
bot->ton,44,IM come prior + 32 etichette,0.7886461417137038,0.5921210369450776,32,
ton->unsw,42,non adattato,0.22506183172790337,0.5412208496815731,0,
ton->unsw,42,EM sul prior,0.37064251949562604,0.39543529977917746,0,prior stimato 0.4054 vero 0.6391
ton->unsw,42,TENT,0.2427700128289437,0.5332417443814447,0,
ton->unsw,42,TENT filtrato,0.23768207374027472,0.5364590003609225,0,
ton->unsw,42,IM (SHOT),0.2427700128289437,0.5332417443814447,0,
ton->unsw,42,8 etichette,0.7621918504962817,0.46326157571806126,8,
ton->unsw,42,IM seleziona + 8 etichette,0.7621918504962817,0.46326157571806126,8,
ton->unsw,42,IM come prior + 8 etichette,0.22337044500508635,0.5771772750734459,8,
ton->unsw,42,32 etichette,0.7578974410282902,0.46835330050102264,32,
ton->unsw,42,IM seleziona + 32 etichette,0.7578974410282902,0.46835330050102264,32,
ton->unsw,42,IM come prior + 32 etichette,0.44839128337038625,0.661089830909719,32,
ton->unsw,43,non adattato,0.21307170515643614,0.5514547507887905,0,
ton->unsw,43,EM sul prior,0.38491941664252305,0.393382310137267,0,prior stimato 0.4154 vero 0.6391
ton->unsw,43,TENT,0.2427700128289437,0.5332417443814447,0,
ton->unsw,43,TENT filtrato,0.2413696636912685,0.5335056447512933,0,
ton->unsw,43,IM (SHOT),0.2427700128289437,0.5332417443814447,0,
ton->unsw,43,8 etichette,0.6614584347317449,0.6260570568123164,8,
ton->unsw,43,IM seleziona + 8 etichette,0.6614584347317449,0.6260570568123164,8,
ton->unsw,43,IM come prior + 8 etichette,0.24220549669991143,0.5336492375995933,8,
ton->unsw,43,32 etichette,0.6544160164533309,0.6920127448355086,32,
ton->unsw,43,IM seleziona + 32 etichette,0.6544160164533309,0.6920127448355086,32,
ton->unsw,43,IM come prior + 32 etichette,0.3316303126058427,0.6678619801065692,32,
ton->unsw,44,non adattato,0.22293098384814639,0.5460564358702696,0,
ton->unsw,44,EM sul prior,0.36835207164227524,0.3956797957100666,0,prior stimato 0.4058 vero 0.6391
ton->unsw,44,TENT,0.2427700128289437,0.5332417443814447,0,
ton->unsw,44,TENT filtrato,0.2427753891730297,0.5332378634936528,0,
ton->unsw,44,IM (SHOT),0.2427700128289437,0.5332417443814447,0,
ton->unsw,44,8 etichette,0.689645288326053,0.5226003500560789,8,
ton->unsw,44,IM seleziona + 8 etichette,0.6968133184965003,0.49236435326945394,8,
ton->unsw,44,IM come prior + 8 etichette,0.23969299244661416,0.5603303411688458,8,
ton->unsw,44,32 etichette,0.7568959348174475,0.46647106992195536,32,
ton->unsw,44,IM seleziona + 32 etichette,0.7568959348174475,0.46647106992195536,32,
ton->unsw,44,IM come prior + 32 etichette,0.48003671783160484,0.6976128659192077,32,
unsw->ton,42,non adattato,0.32782417844923406,0.262851646346953,0,
unsw->ton,42,EM sul prior,0.4917835047161317,0.004160289609226556,0,prior stimato 0.0401 vero 0.7631
unsw->ton,42,TENT,0.5,0.0,0,
unsw->ton,42,TENT filtrato,0.4997651999776457,0.00024165691351999354,0,
unsw->ton,42,IM (SHOT),0.35560674900492417,0.5881123752031576,0,
unsw->ton,42,8 etichette,0.5755909624758605,0.7941841236146189,8,
unsw->ton,42,IM seleziona + 8 etichette,0.668207441801258,0.7320119596480338,8,
unsw->ton,42,IM come prior + 8 etichette,0.35560674900492417,0.5881123752031576,8,
unsw->ton,42,32 etichette,0.7232596679768757,0.6087906256071037,32,
unsw->ton,42,IM seleziona + 32 etichette,0.7232596679768757,0.6087906256071037,32,
unsw->ton,42,IM come prior + 32 etichette,0.35560674900492417,0.5881123752031576,32,
unsw->ton,43,non adattato,0.2779416812900902,0.18658282909170168,0,
unsw->ton,43,EM sul prior,0.49655624758604844,0.0018242727785332848,0,prior stimato 0.0347 vero 0.7631
