exp,selezione,stima,8,32,128
bot->ton,adattiva,Firth,0.5318,0.8798,0.9175
bot->ton,adattiva,L2,0.7249,0.8938,0.918
bot->ton,kcenter,Firth,0.7111,0.7796,0.7837
bot->ton,kcenter,L2,0.6946,0.778,0.7854
bot->ton,margine+kcenter,Firth,0.6263,0.3923,0.4609
bot->ton,margine+kcenter,L2,0.6879,0.7111,0.6832
bot->unsw,adattiva,Firth,0.6388,0.7747,0.7946
bot->unsw,adattiva,L2,0.6104,0.7448,0.7708
bot->unsw,kcenter,Firth,0.6116,0.5721,0.6199
bot->unsw,kcenter,L2,0.6105,0.5459,0.6069
bot->unsw,margine+kcenter,Firth,0.4773,0.5482,0.5233
bot->unsw,margine+kcenter,L2,0.4885,0.4466,0.4818
ton->bot,adattiva,Firth,0.7929,0.7759,0.6005
ton->bot,adattiva,L2,0.8318,0.9067,0.9163
ton->bot,kcenter,Firth,0.8089,0.8432,0.7934
ton->bot,kcenter,L2,0.7297,0.8513,0.7201
ton->bot,margine+kcenter,Firth,0.6737,0.6738,0.5044
ton->bot,margine+kcenter,L2,0.6833,0.8261,0.7701
ton->unsw,adattiva,Firth,0.7342,0.6776,0.7809
ton->unsw,adattiva,L2,0.7044,0.7231,0.7667
ton->unsw,kcenter,Firth,0.5697,0.6057,0.474
ton->unsw,kcenter,L2,0.5385,0.5692,0.5344
ton->unsw,margine+kcenter,Firth,0.5024,0.232,0.3979
ton->unsw,margine+kcenter,L2,0.5238,0.5345,0.4238
unsw->bot,kcenter,Firth,0.6366,0.6889,0.6227
unsw->bot,kcenter,L2,0.4872,0.6306,0.6159
unsw->bot,margine+kcenter,Firth,,,0.7193
unsw->bot,margine+kcenter,L2,,,0.5754
unsw->ton,adattiva,Firth,0.5667,0.8153,0.9197
unsw->ton,adattiva,L2,0.5923,0.7727,0.8747
unsw->ton,kcenter,Firth,0.6017,0.6399,0.7323
unsw->ton,kcenter,L2,0.6441,0.6173,0.7512
unsw->ton,margine+kcenter,Firth,0.6271,0.3626,0.5965
unsw->ton,margine+kcenter,L2,0.6256,0.6366,0.6551
