exp,selezione,8,32,128
bot->ton,adattiva,1.3,7.3,25.7
bot->ton,kcenter,4.3,13.7,48.7
bot->ton,margine+kcenter,1.3,3.7,14.7
bot->unsw,adattiva,2.7,9.0,52.3
bot->unsw,kcenter,3.0,12.0,51.3
bot->unsw,margine+kcenter,3.7,9.0,35.7
ton->bot,adattiva,3.2,15.7,58.0
ton->bot,kcenter,4.0,15.3,44.3
ton->bot,margine+kcenter,4.3,19.0,58.7
ton->unsw,adattiva,3.0,9.0,52.3
ton->unsw,kcenter,4.3,15.3,59.3
ton->unsw,margine+kcenter,3.0,13.7,46.0
unsw->bot,adattiva,0.0,0.0,0.0
unsw->bot,kcenter,2.3,12.0,48.7
unsw->bot,margine+kcenter,0.0,0.0,0.5
unsw->ton,adattiva,1.7,7.3,25.7
unsw->ton,kcenter,2.7,8.7,40.7
unsw->ton,margine+kcenter,2.3,11.0,31.3
