exp,metodo,coefficienti_aggiornati,etichette_target,mean,std,count
bot->ton,gain_per_edge_128_etichette,13,128,0.9068,0.0321,10
bot->ton,gain_per_edge_32_etichette,13,32,0.8596,0.0542,10
bot->ton,gain_per_edge_512_etichette,13,512,0.9308,0.0108,10
bot->ton,gain_per_edge_8_etichette,13,8,0.7875,0.0621,10
bot->ton,qt_target,10,0,0.5366,0.0349,10
bot->ton,qt_target+soglia_oracolo,11,211043,0.5901,0.0153,10
bot->ton,qt_target+soglia_prior,11,0,0.5236,0.0332,10
bot->ton,rifit_completo_128_etichette,101,128,0.9468,0.0106,10
bot->ton,rifit_completo_32_etichette,101,32,0.864,0.0442,10
bot->ton,rifit_completo_512_etichette,101,512,0.9671,0.0097,10
bot->ton,rifit_completo_8_etichette,101,8,0.7076,0.0799,10
bot->ton,soglia_da_128_etichette,1,128,0.8117,0.0146,10
bot->ton,soglia_da_32_etichette,1,32,0.8007,0.0356,10
bot->ton,soglia_da_512_etichette,1,512,0.8115,0.0146,10
bot->ton,soglia_da_8_etichette,1,8,0.769,0.0767,10
bot->ton,source,0,0,0.6112,0.0695,10
bot->ton,source+soglia_oracolo,1,211043,0.8284,0.0075,10
bot->ton,source+soglia_prior,1,0,0.5479,0.0147,10
ton->bot,gain_per_edge_128_etichette,13,128,0.9501,0.0107,10
ton->bot,gain_per_edge_32_etichette,13,32,0.9213,0.0149,10
ton->bot,gain_per_edge_512_etichette,13,512,0.972,0.0057,10
ton->bot,gain_per_edge_8_etichette,13,8,0.9035,0.0371,10
ton->bot,qt_target,10,0,0.5349,0.0462,10
ton->bot,qt_target+soglia_oracolo,11,3668522,0.598,0.03,10
ton->bot,qt_target+soglia_prior,11,0,0.5479,0.0475,10
ton->bot,rifit_completo_128_etichette,101,128,0.9721,0.0097,10
ton->bot,rifit_completo_32_etichette,101,32,0.9348,0.0226,10
ton->bot,rifit_completo_512_etichette,101,512,0.9822,0.0052,10
ton->bot,rifit_completo_8_etichette,101,8,0.8667,0.043,10
ton->bot,soglia_da_128_etichette,1,128,0.5304,0.0206,10
ton->bot,soglia_da_32_etichette,1,32,0.5323,0.0162,10
ton->bot,soglia_da_512_etichette,1,512,0.5292,0.0304,10
ton->bot,soglia_da_8_etichette,1,8,0.5422,0.0094,10
ton->bot,source,0,0,0.5573,0.0095,10
ton->bot,source+soglia_oracolo,1,3668522,0.6183,0.0077,10
ton->bot,source+soglia_prior,1,0,0.4723,0.0357,10
