exp,seed,metodo,bal_acc,ratio,accordo_con_float,budget,normali,guadagni_q15,bias,iters_used
bot->ton,42,float non adattato,0.6410667455896872,20.0,,,,,,
bot->ton,42,intero non adattato,0.6315582166874686,20.0,0.8031254294148585,,,,,
bot->ton,42,intero + guadagni float  n=8,0.7430847047105625,20.0,,8.0,1.0,,,
bot->ton,42,intero + guadagni interi n=8,0.7493636899862367,20.0,,8.0,,"[13, 53, -203, -46, -84, 673, 278, -313, 184, 90, 1563, -357]",6000.0,6000.0
bot->ton,42,intero + guadagni float  n=32,0.814398086750538,20.0,,32.0,8.0,,,
bot->ton,42,intero + guadagni interi n=32,0.8245245638050062,20.0,,32.0,,"[124, -95, 3, 123, 226, 11, 84, -512, 184, 256, 1270, 89]",5400.0,6000.0
bot->ton,42,intero + guadagni float  n=128,0.8642954049881848,20.0,,128.0,23.0,,,
bot->ton,42,intero + guadagni interi n=128,0.8421605982147381,20.0,,128.0,,"[-3, -5, 45, 111, 211, -33, -371, -459, 101, 177, 2048, 134]",58.0,6000.0
bot->ton,43,float non adattato,0.5806552571673403,20.0,,,,,,
bot->ton,43,intero non adattato,0.643009698403532,20.0,0.7703548565932061,,,,,
bot->ton,43,intero + guadagni interi n=8,,20.0,,8.0,,,,
bot->ton,43,intero + guadagni float  n=32,0.7909959713365882,20.0,,32.0,5.0,,,
bot->ton,43,intero + guadagni interi n=32,0.6801680136339763,20.0,,32.0,,"[83, 174, 211, 113, -19, -136, -62, 130, 256, -192, 1039, -649]",6000.0,6000.0
bot->ton,43,intero + guadagni float  n=128,0.7754567786565085,20.0,,128.0,25.0,,,
bot->ton,43,intero + guadagni interi n=128,0.7836280085488252,20.0,,128.0,,"[63, 52, -70, 46, 41, -24, -10, 51, 44, 13, 1270, -268]",0.0,6000.0
bot->ton,44,float non adattato,0.565889377060785,20.0,,,,,,
bot->ton,44,intero non adattato,0.622281306607552,20.0,0.7686774733111261,,,,,
bot->ton,44,intero + guadagni interi n=8,,20.0,,8.0,,,,
bot->ton,44,intero + guadagni float  n=32,0.7861960938367477,20.0,,32.0,4.0,,,
bot->ton,44,intero + guadagni interi n=32,0.7578745142576347,20.0,,32.0,,"[-79, -32, 94, 169, 37, -30, 11, -91, 116, 121, 1450, -450]",3168.0,6000.0
bot->ton,44,intero + guadagni float  n=128,0.8692054227955708,20.0,,128.0,23.0,,,
bot->ton,44,intero + guadagni interi n=128,0.8683925899952676,20.0,,128.0,,"[-3, 4, 50, 241, 14, -2, -87, -72, 119, 139, 1916, 194]",129.0,6000.0
bot->ton,45,float non adattato,0.6324696628229728,20.0,,,,,,
bot->ton,45,intero non adattato,0.6401298517787175,20.0,0.8094748463583251,,,,,
bot->ton,45,intero + guadagni float  n=8,0.5342750320232821,20.0,,8.0,2.0,,,
