src,dst,exp,seed,spazio,terna,ratio,in_domain,metodo,bal_acc,n_target,unseen_proto_h,unseen_state_h,roc_auc_target,frazione_attacchi,budget,normali
ton,ton,ton->ton,42,ricco,ton+bot+unsw,1.0,True,non adattato,0.9706386677636686,42209,0.0,0.0,0.9924570601384707,0.7630837025278969,,
ton,bot,ton->bot,42,ricco,ton+bot+unsw,1.0,False,non adattato,0.470571179245283,200477,0.00027434568553998714,0.0,0.39566250524109015,0.9976206746908622,,
ton,bot,ton->bot,42,ricco,ton+bot+unsw,1.0,False,8 etichette,,200477,0.00027434568553998714,0.0,,,8.0,0.0
ton,bot,ton->bot,42,ricco,ton+bot+unsw,1.0,False,32 etichette,,200477,0.00027434568553998714,0.0,,,32.0,0.0
ton,bot,ton->bot,42,ricco,ton+bot+unsw,1.0,False,128 etichette,,200477,0.00027434568553998714,0.0,,,128.0,0.0
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,1.0,False,non adattato,0.21770578103663116,257673,0.1626712926849146,0.0,0.26828265374931054,0.6390774353541117,,
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,1.0,False,8 etichette,0.7573648879155015,257673,0.1626712926849146,0.0,,,8.0,3.0
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,1.0,False,rifit completo n=8,0.7571310841406331,257673,0.1626712926849146,0.0,,,8.0,
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,1.0,False,32 etichette,0.760588233557808,257673,0.1626712926849146,0.0,,,32.0,8.0
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,1.0,False,rifit completo n=32,0.765828075234536,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,1.0,False,128 etichette,0.7574336804015169,257673,0.1626712926849146,0.0,,,128.0,48.0
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,1.0,False,rifit completo n=128,0.7902557268777479,257673,0.1626712926849146,0.0,,,128.0,
ton,ton,ton->ton,43,ricco,ton+bot+unsw,1.0,True,non adattato,0.9698693455245428,42209,0.0,0.0,0.992489057406315,0.7630837025278969,,
ton,bot,ton->bot,43,ricco,ton+bot+unsw,1.0,False,non adattato,0.4609568972746331,200477,0.00028432189228689577,0.0,0.3951360220125787,0.9976206746908622,,
ton,bot,ton->bot,43,ricco,ton+bot+unsw,1.0,False,8 etichette,0.6761445059768003,200477,0.00028432189228689577,0.0,,,8.0,4.0
ton,bot,ton->bot,43,ricco,ton+bot+unsw,1.0,False,rifit completo n=8,0.7278474692115406,200477,0.00028432189228689577,0.0,,,8.0,
ton,bot,ton->bot,43,ricco,ton+bot+unsw,1.0,False,32 etichette,0.6704667769885239,200477,0.00028432189228689577,0.0,,,32.0,21.0
ton,bot,ton->bot,43,ricco,ton+bot+unsw,1.0,False,rifit completo n=32,0.6908779324968136,200477,0.00028432189228689577,0.0,,,32.0,
ton,bot,ton->bot,43,ricco,ton+bot+unsw,1.0,False,128 etichette,0.6669677158858938,200477,0.00028432189228689577,0.0,,,128.0,21.0
ton,bot,ton->bot,43,ricco,ton+bot+unsw,1.0,False,rifit completo n=128,0.7244097302583198,200477,0.00028432189228689577,0.0,,,128.0,
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,1.0,False,non adattato,0.2180783010239452,257673,0.1626712926849146,0.0,0.27753206210757597,0.6390774353541117,,
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,1.0,False,8 etichette,0.6970987910585563,257673,0.1626712926849146,0.0,,,8.0,2.0
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,1.0,False,rifit completo n=8,0.7006986019796737,257673,0.1626712926849146,0.0,,,8.0,
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,1.0,False,32 etichette,0.7504807914153651,257673,0.1626712926849146,0.0,,,32.0,8.0
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,1.0,False,rifit completo n=32,0.7026906025597606,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,1.0,False,128 etichette,0.7410924192199395,257673,0.1626712926849146,0.0,,,128.0,54.0
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,1.0,False,rifit completo n=128,0.7884208467198424,257673,0.1626712926849146,0.0,,,128.0,
ton,ton,ton->ton,44,ricco,ton+bot+unsw,1.0,True,non adattato,0.9694272718805304,42209,0.0,0.0,0.9927062637772052,0.7630837025278969,,
ton,bot,ton->bot,44,ricco,ton+bot+unsw,1.0,False,non adattato,0.46065867924528303,200477,0.00027933378891344145,0.0,0.3979371278825996,0.9976206746908622,,
ton,bot,ton->bot,44,ricco,ton+bot+unsw,1.0,False,8 etichette,0.763203530455387,200477,0.00027933378891344145,0.0,,,8.0,4.0
ton,bot,ton->bot,44,ricco,ton+bot+unsw,1.0,False,rifit completo n=8,0.7839550395659076,200477,0.00027933378891344145,0.0,,,8.0,
ton,bot,ton->bot,44,ricco,ton+bot+unsw,1.0,False,32 etichette,0.7747544799083499,200477,0.00027933378891344145,0.0,,,32.0,13.0
ton,bot,ton->bot,44,ricco,ton+bot+unsw,1.0,False,rifit completo n=32,0.7802248056237757,200477,0.00027933378891344145,0.0,,,32.0,
ton,bot,ton->bot,44,ricco,ton+bot+unsw,1.0,False,128 etichette,0.8565426839734934,200477,0.00027933378891344145,0.0,,,128.0,14.0
ton,bot,ton->bot,44,ricco,ton+bot+unsw,1.0,False,rifit completo n=128,0.7948908415593865,200477,0.00027933378891344145,0.0,,,128.0,
ton,unsw,ton->unsw,44,ricco,ton+bot+unsw,1.0,False,non adattato,0.21493911100062824,257673,0.1626712926849146,0.0,0.2704825981944406,0.6390774353541117,,
ton,unsw,ton->unsw,44,ricco,ton+bot+unsw,1.0,False,8 etichette,,257673,0.1626712926849146,0.0,,,8.0,0.0
ton,unsw,ton->unsw,44,ricco,ton+bot+unsw,1.0,False,32 etichette,0.7757154213716799,257673,0.1626712926849146,0.0,,,32.0,11.0
ton,unsw,ton->unsw,44,ricco,ton+bot+unsw,1.0,False,rifit completo n=32,0.7480411952760929,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,44,ricco,ton+bot+unsw,1.0,False,128 etichette,0.7534259580212681,257673,0.1626712926849146,0.0,,,128.0,55.0
ton,unsw,ton->unsw,44,ricco,ton+bot+unsw,1.0,False,rifit completo n=128,0.7913353337041262,257673,0.1626712926849146,0.0,,,128.0,
ton,ton,ton->ton,45,ricco,ton+bot+unsw,1.0,True,non adattato,0.9717626719239965,42209,0.0,0.0,0.9927313173336646,0.7630837025278969,,
ton,bot,ton->bot,45,ricco,ton+bot+unsw,1.0,False,non adattato,0.4631808333333333,200477,0.00027434568553998714,0.0,0.39584965408805034,0.9976206746908622,,
ton,bot,ton->bot,45,ricco,ton+bot+unsw,1.0,False,8 etichette,0.5632929032768248,200477,0.00027434568553998714,0.0,,,8.0,1.0
ton,bot,ton->bot,45,ricco,ton+bot+unsw,1.0,False,rifit completo n=8,0.5578046439608579,200477,0.00027434568553998714,0.0,,,8.0,
ton,bot,ton->bot,45,ricco,ton+bot+unsw,1.0,False,32 etichette,0.6567769474856838,200477,0.00027434568553998714,0.0,,,32.0,1.0
ton,bot,ton->bot,45,ricco,ton+bot+unsw,1.0,False,rifit completo n=32,0.5667158556635102,200477,0.00027434568553998714,0.0,,,32.0,
ton,bot,ton->bot,45,ricco,ton+bot+unsw,1.0,False,128 etichette,0.7765214419559782,200477,0.00027434568553998714,0.0,,,128.0,1.0
ton,bot,ton->bot,45,ricco,ton+bot+unsw,1.0,False,rifit completo n=128,0.65473023899588,200477,0.00027434568553998714,0.0,,,128.0,
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,1.0,False,non adattato,0.21637353264916218,257673,0.1626712926849146,0.0,0.27163534039339876,0.6390774353541117,,
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,1.0,False,8 etichette,0.757547382656248,257673,0.1626712926849146,0.0,,,8.0,4.0
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,1.0,False,rifit completo n=8,0.7570029593861232,257673,0.1626712926849146,0.0,,,8.0,
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,1.0,False,32 etichette,0.7762598705936389,257673,0.1626712926849146,0.0,,,32.0,10.0
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,1.0,False,rifit completo n=32,0.7861426921252734,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,1.0,False,128 etichette,0.7833866546522346,257673,0.1626712926849146,0.0,,,128.0,40.0
ton,unsw,ton->unsw,45,ricco,ton+bot+unsw,1.0,False,rifit completo n=128,0.7832763273854122,257673,0.1626712926849146,0.0,,,128.0,
ton,ton,ton->ton,46,ricco,ton+bot+unsw,1.0,True,non adattato,0.9702518302337856,42209,0.0,0.0,0.9934910521903816,0.7630837025278969,,
ton,bot,ton->bot,46,ricco,ton+bot+unsw,1.0,False,non adattato,0.461206179245283,200477,0.0002693575821665328,0.0,0.39570161949685534,0.9976206746908622,,
ton,bot,ton->bot,46,ricco,ton+bot+unsw,1.0,False,8 etichette,0.7774061598375402,200477,0.0002693575821665328,0.0,,,8.0,3.0
ton,bot,ton->bot,46,ricco,ton+bot+unsw,1.0,False,rifit completo n=8,0.7906778365661673,200477,0.0002693575821665328,0.0,,,8.0,
ton,bot,ton->bot,46,ricco,ton+bot+unsw,1.0,False,32 etichette,0.8471827307364631,200477,0.0002693575821665328,0.0,,,32.0,3.0
ton,bot,ton->bot,46,ricco,ton+bot+unsw,1.0,False,rifit completo n=32,0.7958260118603273,200477,0.0002693575821665328,0.0,,,32.0,
ton,bot,ton->bot,46,ricco,ton+bot+unsw,1.0,False,128 etichette,0.7608578653360716,200477,0.0002693575821665328,0.0,,,128.0,6.0
ton,bot,ton->bot,46,ricco,ton+bot+unsw,1.0,False,rifit completo n=128,0.7808848270056199,200477,0.0002693575821665328,0.0,,,128.0,
ton,unsw,ton->unsw,46,ricco,ton+bot+unsw,1.0,False,non adattato,0.2196085844027548,257673,0.1626712926849146,0.0,0.2750988901497781,0.6390774353541117,,
ton,unsw,ton->unsw,46,ricco,ton+bot+unsw,1.0,False,8 etichette,0.6337198315379537,257673,0.1626712926849146,0.0,,,8.0,2.0
ton,unsw,ton->unsw,46,ricco,ton+bot+unsw,1.0,False,rifit completo n=8,0.5120095442637703,257673,0.1626712926849146,0.0,,,8.0,
ton,unsw,ton->unsw,46,ricco,ton+bot+unsw,1.0,False,32 etichette,0.521660780052678,257673,0.1626712926849146,0.0,,,32.0,14.0
