exp,seed,spazio,metodo,bal_acc,n_feature,bal_in_domain,roc_auc
ton->bot,42,ricco (13+2),non adattato,0.5559197693920336,10,0.9696258324241844,0.5444260062893082
ton->bot,42,ricco (13+2),32 etichette,0.9282353651118622,10,0.9696258324241844,
ton->bot,42,ricco (13+2),128 etichette,0.9340169865436535,10,0.9696258324241844,
ton->bot,42,ridotto (6+2),non adattato,0.6348008018867924,6,0.9608115698920008,0.5992892662473794
ton->bot,42,ridotto (6+2),32 etichette,,6,0.9608115698920008,
ton->bot,42,ridotto (6+2),128 etichette,,6,0.9608115698920008,
ton->bot,43,ricco (13+2),non adattato,0.5673576677148847,10,0.9706556061346845,0.5142356132075472
ton->bot,43,ricco (13+2),32 etichette,0.8556588527951063,10,0.9706556061346845,
ton->bot,43,ricco (13+2),128 etichette,0.8678082038675665,10,0.9706556061346845,
ton->bot,43,ridotto (6+2),non adattato,0.6170425314465409,6,0.9607945194065048,0.550839533542977
ton->bot,43,ridotto (6+2),32 etichette,,6,0.9607945194065048,
ton->bot,43,ridotto (6+2),128 etichette,,6,0.9607945194065048,
ton->bot,44,ricco (13+2),non adattato,0.5664562316561845,10,0.9694592704567386,0.5421834381551363
ton->bot,44,ricco (13+2),32 etichette,0.9318946896361577,10,0.9694592704567386,
ton->bot,44,ricco (13+2),128 etichette,0.9451634260878387,10,0.9694592704567386,
ton->bot,44,ridotto (6+2),non adattato,0.6168018134171908,6,0.9626196053875073,0.583762106918239
ton->bot,44,ridotto (6+2),32 etichette,0.6138212046659984,6,0.9626196053875073,
ton->bot,44,ridotto (6+2),128 etichette,0.6743391785845223,6,0.9626196053875073,
ton->bot,45,ricco (13+2),non adattato,0.5442215251572327,10,0.9714155611461306,0.4036453039832286
ton->bot,45,ricco (13+2),32 etichette,0.6383159224034218,10,0.9714155611461306,
ton->bot,45,ricco (13+2),128 etichette,0.674271809600402,10,0.9714155611461306,
ton->bot,45,ridotto (6+2),non adattato,0.6278068134171908,6,0.9625874584512614,0.5834627253668763
ton->bot,45,ridotto (6+2),32 etichette,0.5403833729856391,6,0.9625874584512614,
ton->bot,45,ridotto (6+2),128 etichette,0.5448806513005844,6,0.9625874584512614,
ton->bot,46,ricco (13+2),non adattato,0.5680726677148846,10,0.9695982631521121,0.5336871226415094
ton->bot,46,ricco (13+2),32 etichette,0.908055459364197,10,0.9695982631521121,
ton->bot,46,ricco (13+2),128 etichette,0.9408338990285505,10,0.9695982631521121,
ton->bot,46,ridotto (6+2),non adattato,0.6247989412997903,6,0.9600899543299302,0.5820006865828093
ton->bot,46,ridotto (6+2),32 etichette,,6,0.9600899543299302,
ton->bot,46,ridotto (6+2),128 etichette,,6,0.9600899543299302,
ton->bot,47,ricco (13+2),non adattato,0.5521068972746331,10,0.9707123000420314,0.5366919182389938
ton->bot,47,ricco (13+2),32 etichette,0.9199220303702407,10,0.9707123000420314,
ton->bot,47,ricco (13+2),128 etichette,0.9687047866066436,10,0.9707123000420314,
ton->bot,47,ridotto (6+2),non adattato,0.6202335691823899,6,0.9621872373040598,0.576774538784067
ton->bot,47,ridotto (6+2),32 etichette,0.5524536582645118,6,0.9621872373040598,
ton->bot,47,ridotto (6+2),128 etichette,0.6342126475882084,6,0.9621872373040598,
ton->bot,48,ricco (13+2),non adattato,0.548811179245283,10,0.9711944224194806,0.5095305660377358
ton->bot,48,ricco (13+2),32 etichette,,10,0.9711944224194806,
ton->bot,48,ricco (13+2),128 etichette,,10,0.9711944224194806,
ton->bot,48,ridotto (6+2),non adattato,0.6160893134171908,6,0.9619789204013033,0.574774392033543
ton->bot,48,ridotto (6+2),32 etichette,0.7237749973322706,6,0.9619789204013033,
ton->bot,48,ridotto (6+2),128 etichette,0.7946331342600239,6,0.9619789204013033,
ton->bot,49,ricco (13+2),non adattato,0.551206179245283,10,0.9706234113562571,0.5014032599580713
ton->bot,49,ricco (13+2),32 etichette,,10,0.9706234113562571,
ton->bot,49,ricco (13+2),128 etichette,,10,0.9706234113562571,
ton->bot,49,ridotto (6+2),non adattato,0.6175750314465409,6,0.9615744212443063,0.5642481132075472
ton->bot,49,ridotto (6+2),32 etichette,0.6969230069195064,6,0.9615744212443063,
ton->bot,49,ridotto (6+2),128 etichette,0.7434439549795302,6,0.9615744212443063,
ton->bot,50,ricco (13+2),non adattato,0.5490897431865829,10,0.9696314299990677,0.5420426991614256
ton->bot,50,ricco (13+2),32 etichette,0.7333499580632646,10,0.9696314299990677,
