kind,param,seed,bal_acc_validation,bal_acc_calibrazione,punteggio_scelta
iters,2000,90,0.5383386060004797,,0.5383386060004797
iters,4000,90,0.5687525990771768,,0.5687525990771768
iters,6000,90,0.6199201790577893,,0.6199201790577893
iters,8000,90,0.6305834919391351,,0.6305834919391351
iters,12000,90,0.6554312019836015,,0.6554312019836015
iters,2000,91,0.6859879190470212,,0.6859879190470212
iters,4000,91,0.6859795812668718,,0.6859795812668718
iters,6000,91,0.6859795812668718,,0.6859795812668718
iters,8000,91,0.6859879190470212,,0.6859879190470212
iters,12000,91,0.6859879190470212,,0.6859879190470212
iters,2000,92,0.7845403027551252,,0.7845403027551252
iters,4000,92,0.7883616196360982,,0.7883616196360982
iters,6000,92,0.7814611225607204,,0.7814611225607204
iters,8000,92,0.7779900274868919,,0.7779900274868919
iters,12000,92,0.7780067047158036,,0.7780067047158036
iters,2000,93,0.5644393728435643,,0.5644393728435643
iters,4000,93,0.5610433636068166,,0.5610433636068166
iters,6000,93,0.5610433636068166,,0.5610433636068166
iters,8000,93,0.5681355621883768,,0.5681355621883768
iters,12000,93,0.5823199593514974,,0.5823199593514974
iters,2000,94,0.6344332448540128,,0.6344332448540128
iters,4000,94,0.6392418506577644,,0.6392418506577644
iters,6000,94,0.6428914856942608,,0.6428914856942608
iters,8000,94,0.6502074316056312,,0.6502074316056312
iters,12000,94,0.6502074316056312,,0.6502074316056312
iters,2000,95,0.6701072758601523,,0.6701072758601523
iters,4000,95,0.662699868452745,,0.662699868452745
iters,6000,95,0.662699868452745,,0.662699868452745
iters,8000,95,0.662699868452745,,0.662699868452745
iters,12000,95,0.662699868452745,,0.662699868452745
iters,2000,96,0.6682854769081672,,0.6682854769081672
iters,4000,96,0.6682854769081672,,0.6682854769081672
iters,6000,96,0.6682854769081672,,0.6682854769081672
iters,8000,96,0.6682854769081672,,0.6682854769081672
iters,12000,96,0.6646090063199319,,0.6646090063199319
iters,2000,97,0.7518416675549526,,0.7518416675549526
iters,4000,97,0.7517165883381153,,0.7517165883381153
iters,6000,97,0.7517165883381153,,0.7517165883381153
iters,8000,97,0.7517165883381153,,0.7517165883381153
iters,12000,97,0.7518333289404968,,0.7518333289404968
iters,2000,98,0.5311850185770335,,0.5311850185770335
iters,4000,98,0.5279386735142048,,0.5279386735142048
iters,6000,98,0.5279386735142048,,0.5279386735142048
iters,8000,98,0.5279553507431164,,0.5279553507431164
iters,12000,98,0.5279553507431164,,0.5279553507431164
iters,2000,99,0.6708918480430576,,0.6708918480430576
iters,4000,99,0.7040301091838627,,0.7040301091838627
iters,6000,99,0.7297654033015097,,0.7297654033015097
iters,8000,99,0.7444712856544509,,0.7444712856544509
iters,12000,99,0.7481477562426861,,0.7481477562426861
ridge,0.001,90,,0.7081791866108383,0.7081791866108383
ridge,0.001,91,,0.7597418784055658,0.7597418784055658
ridge,0.001,92,,0.7488375394875594,0.7488375394875594
ridge,0.001,93,,0.8310762356146919,0.8310762356146919
ridge,0.001,94,,0.8023838710864629,0.8023838710864629
ridge,0.01,90,,0.7279313952771772,0.7279313952771772
ridge,0.01,91,,0.8762795209527701,0.8762795209527701
ridge,0.01,92,,0.9322817543351137,0.9322817543351137
ridge,0.01,93,,0.8019686844283278,0.8019686844283278
ridge,0.01,94,,0.886281760185575,0.886281760185575
ridge,0.1,90,,0.8988817055097019,0.8988817055097019
ridge,0.1,91,,0.9272970048941842,0.9272970048941842
ridge,0.1,92,,0.9286687396356366,0.9286687396356366
ridge,0.1,93,,0.909203356849293,0.909203356849293
ridge,0.1,94,,0.9400424119721492,0.9400424119721492
ridge,1.0,90,,0.8416306270296717,0.8416306270296717
ridge,1.0,91,,0.9232990777323724,0.9232990777323724
ridge,1.0,92,,0.8816824156775718,0.8816824156775718
ridge,1.0,93,,0.8976185352426878,0.8976185352426878
ridge,1.0,94,,0.9249276746655057,0.9249276746655057
ridge,10.0,90,,0.673726358303042,0.673726358303042
ridge,10.0,91,,0.9060453954674887,0.9060453954674887
ridge,10.0,92,,0.7520103664452031,0.7520103664452031
ridge,10.0,93,,0.8480770697653428,0.8480770697653428
ridge,10.0,94,,0.8580495886387876,0.8580495886387876
ridge,0.001+clip5.0,90,,0.6480501192453456,0.6480501192453456
ridge,0.001+clip5.0,91,,0.7183197382820764,0.7183197382820764
ridge,0.001+clip5.0,92,,0.8839841276514129,0.8839841276514129
ridge,0.001+clip5.0,93,,0.7763541928899189,0.7763541928899189
ridge,0.001+clip5.0,94,,0.6887235102947873,0.6887235102947873
ridge,0.1+clip5.0,90,,0.8111049596933047,0.8111049596933047
ridge,0.1+clip5.0,91,,0.9205707686235718,0.9205707686235718
ridge,0.1+clip5.0,92,,0.9286687396356366,0.9286687396356366
ridge,0.1+clip5.0,93,,0.907639780632733,0.907639780632733
ridge,0.1+clip5.0,94,,0.9400424119721492,0.9400424119721492
ridge,0.001,95,,0.686308683412905,0.686308683412905
ridge,0.001,96,,0.7205441078229107,0.7205441078229107
ridge,0.001,97,,0.7856695054393418,0.7856695054393418
ridge,0.001,98,,0.770968880880315,0.770968880880315
ridge,0.001,99,,0.6909731509293875,0.6909731509293875
ridge,0.01,95,,0.8100647109767183,0.8100647109767183
ridge,0.01,96,,0.7590219106688938,0.7590219106688938
ridge,0.01,97,,0.7803955495693776,0.7803955495693776
ridge,0.01,98,,0.8681878962784385,0.8681878962784385
ridge,0.01,99,,0.7920208361941066,0.7920208361941066
ridge,0.1,95,,0.9345565914500229,0.9345565914500229
ridge,0.1,96,,0.8957862693136489,0.8957862693136489
ridge,0.1,97,,0.9484489995461546,0.9484489995461546
ridge,0.1,98,,0.8970548356560716,0.8970548356560716
ridge,0.1,99,,0.9226220359719409,0.9226220359719409
ridge,1.0,95,,0.9058526593895921,0.9058526593895921
ridge,1.0,96,,0.8954598209962095,0.8954598209962095
ridge,1.0,97,,0.9236654092497462,0.9236654092497462
ridge,1.0,98,,0.9312927734673719,0.9312927734673719
ridge,1.0,99,,0.9163705006710787,0.9163705006710787
ridge,10.0,95,,0.8906034740679788,0.8906034740679788
ridge,10.0,96,,0.8559336895674893,0.8559336895674893
ridge,10.0,97,,0.9107174189841686,0.9107174189841686
ridge,10.0,98,,0.835763110725995,0.835763110725995
ridge,10.0,99,,0.8483827215855785,0.8483827215855785
ridge,0.001+clip5.0,95,,0.7902695373683577,0.7902695373683577
ridge,0.001+clip5.0,96,,0.5888097201499015,0.5888097201499015
ridge,0.001+clip5.0,97,,0.6918812202686293,0.6918812202686293
ridge,0.001+clip5.0,98,,0.8560092868440744,0.8560092868440744
ridge,0.001+clip5.0,99,,0.6866422890109779,0.6866422890109779
ridge,0.1+clip5.0,95,,0.9345565914500229,0.9345565914500229
ridge,0.1+clip5.0,96,,0.8973358350504188,0.8973358350504188
ridge,0.1+clip5.0,97,,0.9442111727883983,0.9442111727883983
ridge,0.1+clip5.0,98,,0.8868567637463933,0.8868567637463933
ridge,0.1+clip5.0,99,,0.9282196557818192,0.9282196557818192
