src,dst,exp,seed,spazio,terna,in_domain,metodo,bal_acc,n_target,unseen_proto_h,unseen_state_h,roc_auc_target,frazione_attacchi,budget,normali
ton,ton,ton->ton,42,minimo,ton+bot+cic (prof.),True,non adattato,0.9603028175354714,42209,0.0,0.0,0.9922871231643328,0.7630837025278969,,
ton,bot,ton->bot,42,minimo,ton+bot+cic (prof.),False,non adattato,0.6262903773584906,200477,0.00027434568553998714,0.0,0.5894360796645702,0.9976206746908622,,
ton,bot,ton->bot,42,minimo,ton+bot+cic (prof.),False,8 etichette,0.5430803924117723,200477,0.00027434568553998714,0.0,,,8.0,2.0
ton,bot,ton->bot,42,minimo,ton+bot+cic (prof.),False,rifit completo n=8,0.5535918077542327,200477,0.00027434568553998714,0.0,,,8.0,
ton,bot,ton->bot,42,minimo,ton+bot+cic (prof.),False,32 etichette,0.5705500873576036,200477,0.00027434568553998714,0.0,,,32.0,3.0
ton,bot,ton->bot,42,minimo,ton+bot+cic (prof.),False,rifit completo n=32,0.5463909988467315,200477,0.00027434568553998714,0.0,,,32.0,
ton,bot,ton->bot,42,minimo,ton+bot+cic (prof.),False,128 etichette,0.6261294954916443,200477,0.00027434568553998714,0.0,,,128.0,3.0
ton,bot,ton->bot,42,minimo,ton+bot+cic (prof.),False,rifit completo n=128,0.5410441810941966,200477,0.00027434568553998714,0.0,,,128.0,
ton,cic,ton->cic,42,minimo,ton+bot+cic (prof.),False,non adattato,0.512238233041721,237607,0.013257185183938184,0.0,0.4693379558326908,0.8417260434246466,,
ton,cic,ton->cic,42,minimo,ton+bot+cic (prof.),False,8 etichette,,237607,0.013257185183938184,0.0,,,8.0,0.0
ton,cic,ton->cic,42,minimo,ton+bot+cic (prof.),False,32 etichette,0.8975420880402603,237607,0.013257185183938184,0.0,,,32.0,7.0
ton,cic,ton->cic,42,minimo,ton+bot+cic (prof.),False,rifit completo n=32,0.9567972559069884,237607,0.013257185183938184,0.0,,,32.0,
ton,cic,ton->cic,42,minimo,ton+bot+cic (prof.),False,128 etichette,0.9350412997706614,237607,0.013257185183938184,0.0,,,128.0,18.0
ton,cic,ton->cic,42,minimo,ton+bot+cic (prof.),False,rifit completo n=128,0.9297657372599384,237607,0.013257185183938184,0.0,,,128.0,
ton,ton,ton->ton,43,minimo,ton+bot+cic (prof.),True,non adattato,0.9592939675246048,42209,0.0,0.0,0.9924575506845912,0.7630837025278969,,
ton,bot,ton->bot,43,minimo,ton+bot+cic (prof.),False,non adattato,0.6315089675052411,200477,0.00028432189228689577,0.0,0.6148372746331238,0.9976206746908622,,
ton,bot,ton->bot,43,minimo,ton+bot+cic (prof.),False,8 etichette,0.6095980587687864,200477,0.00028432189228689577,0.0,,,8.0,4.0
ton,bot,ton->bot,43,minimo,ton+bot+cic (prof.),False,rifit completo n=8,0.5391120507399577,200477,0.00028432189228689577,0.0,,,8.0,
