src,dst,exp,seed,in_domain,metodo,bal_acc,n_target,unseen_proto_h,unseen_state_h,roc_auc_target,frazione_attacchi,budget,normali
unsw,ton,unsw->ton,42,False,non adattato,0.27680813850959063,211043,0.0,0.212525409513701,0.2563772986096881,0.7630814573333397,,
unsw,ton,unsw->ton,42,False,8 etichette,,211043,0.0,0.212525409513701,,,8.0,0.0
unsw,ton,unsw->ton,42,False,32 etichette,0.717248392108425,211043,0.0,0.212525409513701,,,32.0,6.0
unsw,ton,unsw->ton,42,False,rifit completo n=32,0.8099346384511048,211043,0.0,0.212525409513701,,,32.0,
unsw,ton,unsw->ton,42,False,128 etichette,0.9030050366831877,211043,0.0,0.212525409513701,,,128.0,32.0
unsw,ton,unsw->ton,42,False,rifit completo n=128,0.9613168554923185,211043,0.0,0.212525409513701,,,128.0,
unsw,bot,unsw->bot,42,False,non adattato,0.7049910429769393,200477,0.0,0.0,0.7684018134171906,0.9976206746908622,,
unsw,bot,unsw->bot,42,False,8 etichette,,200477,0.0,0.0,,,8.0,0.0
unsw,bot,unsw->bot,42,False,32 etichette,,200477,0.0,0.0,,,32.0,0.0
unsw,bot,unsw->bot,42,False,128 etichette,,200477,0.0,0.0,,,128.0,0.0
unsw,unsw,unsw->unsw,42,True,non adattato,0.8182486275508456,51535,0.0,0.0,0.9288199443021525,0.6390802367323178,,
ton,ton,ton->ton,42,True,non adattato,0.9697402899810612,42209,0.0,0.0,0.9925964652736813,0.7630837025278969,,
ton,bot,ton->bot,42,False,non adattato,0.550688679245283,200477,0.00027434568553998714,0.0,0.5318431970649895,0.9976206746908622,,
ton,bot,ton->bot,42,False,8 etichette,,200477,0.00027434568553998714,0.0,,,8.0,0.0
ton,bot,ton->bot,42,False,32 etichette,0.904857059476085,200477,0.00027434568553998714,0.0,,,32.0,20.0
ton,bot,ton->bot,42,False,rifit completo n=32,0.7768984410399415,200477,0.00027434568553998714,0.0,,,32.0,
ton,bot,ton->bot,42,False,128 etichette,0.9158401066432021,200477,0.00027434568553998714,0.0,,,128.0,78.0
ton,bot,ton->bot,42,False,rifit completo n=128,0.7450361274529158,200477,0.00027434568553998714,0.0,,,128.0,
ton,unsw,ton->unsw,42,False,non adattato,0.2406731022948118,257673,0.1626712926849146,0.0,0.2731035511628814,0.6390774353541117,,
ton,unsw,ton->unsw,42,False,8 etichette,0.7624638582132293,257673,0.1626712926849146,0.0,,,8.0,3.0
ton,unsw,ton->unsw,42,False,rifit completo n=8,0.7571310841406331,257673,0.1626712926849146,0.0,,,8.0,
ton,unsw,ton->unsw,42,False,32 etichette,0.7563689567934536,257673,0.1626712926849146,0.0,,,32.0,8.0
ton,unsw,ton->unsw,42,False,rifit completo n=32,0.7684008129449702,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,42,False,128 etichette,0.7589480928542254,257673,0.1626712926849146,0.0,,,128.0,48.0
ton,unsw,ton->unsw,42,False,rifit completo n=128,0.8097972294094902,257673,0.1626712926849146,0.0,,,128.0,
ton,ton,ton->ton,43,True,non adattato,0.9691538219131299,42209,0.0,0.0,0.9926907743177372,0.7630837025278969,,
ton,bot,ton->bot,43,False,non adattato,0.5694541037735849,200477,0.00028432189228689577,0.0,0.5246438836477988,0.9976206746908622,,
ton,bot,ton->bot,43,False,8 etichette,,200477,0.00028432189228689577,0.0,,,8.0,0.0
ton,bot,ton->bot,43,False,32 etichette,,200477,0.00028432189228689577,0.0,,,32.0,0.0
ton,bot,ton->bot,43,False,128 etichette,0.8674761385885887,200477,0.00028432189228689577,0.0,,,128.0,4.0
ton,bot,ton->bot,43,False,rifit completo n=128,0.7446608916555748,200477,0.00028432189228689577,0.0,,,128.0,
ton,unsw,ton->unsw,43,False,non adattato,0.21637512103654888,257673,0.1626712926849146,0.0,0.2735591673730193,0.6390774353541117,,
ton,unsw,ton->unsw,43,False,8 etichette,0.6328848632344775,257673,0.1626712926849146,0.0,,,8.0,2.0
ton,unsw,ton->unsw,43,False,rifit completo n=8,0.6876215470410484,257673,0.1626712926849146,0.0,,,8.0,
ton,unsw,ton->unsw,43,False,32 etichette,0.6426522437005736,257673,0.1626712926849146,0.0,,,32.0,8.0
ton,unsw,ton->unsw,43,False,rifit completo n=32,0.6766026753837566,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,43,False,128 etichette,0.7667342375440905,257673,0.1626712926849146,0.0,,,128.0,54.0
ton,unsw,ton->unsw,43,False,rifit completo n=128,0.7812153597150547,257673,0.1626712926849146,0.0,,,128.0,
ton,ton,ton->ton,44,True,non adattato,0.9717110497066037,42209,0.0,0.0,0.9932813390667207,0.7630837025278969,,
ton,bot,ton->bot,44,False,non adattato,0.5549883333333333,200477,0.00027933378891344145,0.0,0.5398248846960167,0.9976206746908622,,
ton,bot,ton->bot,44,False,8 etichette,0.550685361172515,200477,0.00027933378891344145,0.0,,,8.0,1.0
ton,bot,ton->bot,44,False,rifit completo n=8,0.532563025210084,200477,0.00027933378891344145,0.0,,,8.0,
ton,bot,ton->bot,44,False,32 etichette,0.905605288177247,200477,0.00027933378891344145,0.0,,,32.0,20.0
ton,bot,ton->bot,44,False,rifit completo n=32,0.8066464348911262,200477,0.00027933378891344145,0.0,,,32.0,
ton,bot,ton->bot,44,False,128 etichette,0.9519002156749033,200477,0.00027933378891344145,0.0,,,128.0,23.0
ton,bot,ton->bot,44,False,rifit completo n=128,0.809694930146697,200477,0.00027933378891344145,0.0,,,128.0,
