src,dst,exp,seed,spazio,terna,ratio,in_domain,metodo,bal_acc,n_target,unseen_proto_h,unseen_state_h,roc_auc_target,frazione_attacchi,budget,normali
ton,ton,ton->ton,42,ricco,ton+bot+unsw,3.0,True,non adattato,0.9696850538669316,42209,0.0,0.0,0.9926361218913967,0.7630837025278969,,
ton,bot,ton->bot,42,ricco,ton+bot+unsw,3.0,False,non adattato,0.5517368972746332,200477,0.00027434568553998714,0.0,0.5262688679245283,0.9976206746908622,,
ton,bot,ton->bot,42,ricco,ton+bot+unsw,3.0,False,8 etichette,,200477,0.00027434568553998714,0.0,,,8.0,0.0
ton,bot,ton->bot,42,ricco,ton+bot+unsw,3.0,False,32 etichette,0.9175793217177275,200477,0.00027434568553998714,0.0,,,32.0,20.0
ton,bot,ton->bot,42,ricco,ton+bot+unsw,3.0,False,rifit completo n=32,0.8047297936344452,200477,0.00027434568553998714,0.0,,,32.0,
ton,bot,ton->bot,42,ricco,ton+bot+unsw,3.0,False,128 etichette,0.9417104424656615,200477,0.00027434568553998714,0.0,,,128.0,70.0
ton,bot,ton->bot,42,ricco,ton+bot+unsw,3.0,False,rifit completo n=128,0.7691988293312677,200477,0.00027434568553998714,0.0,,,128.0,
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,3.0,False,non adattato,0.22498415412911177,257673,0.1626712926849146,0.0,0.27553877417147793,0.6390774353541117,,
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,3.0,False,8 etichette,0.7622057631370761,257673,0.1626712926849146,0.0,,,8.0,3.0
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,3.0,False,rifit completo n=8,0.7571310841406331,257673,0.1626712926849146,0.0,,,8.0,
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,3.0,False,32 etichette,0.7581152030207039,257673,0.1626712926849146,0.0,,,32.0,8.0
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,3.0,False,rifit completo n=32,0.7712597194953358,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,3.0,False,128 etichette,0.7633405862725702,257673,0.1626712926849146,0.0,,,128.0,48.0
ton,unsw,ton->unsw,42,ricco,ton+bot+unsw,3.0,False,rifit completo n=128,0.8016505889907324,257673,0.1626712926849146,0.0,,,128.0,
ton,ton,ton->ton,43,ricco,ton+bot+unsw,3.0,True,non adattato,0.9691951566332392,42209,0.0,0.0,0.9927222717252943,0.7630837025278969,,
ton,bot,ton->bot,43,ricco,ton+bot+unsw,3.0,False,non adattato,0.5674176677148847,200477,0.00028432189228689577,0.0,0.53686678721174,0.9976206746908622,,
ton,bot,ton->bot,43,ricco,ton+bot+unsw,3.0,False,8 etichette,0.760637723325291,200477,0.00028432189228689577,0.0,,,8.0,4.0
ton,bot,ton->bot,43,ricco,ton+bot+unsw,3.0,False,rifit completo n=8,0.741749237733169,200477,0.00028432189228689577,0.0,,,8.0,
ton,bot,ton->bot,43,ricco,ton+bot+unsw,3.0,False,32 etichette,0.6676337593304473,200477,0.00028432189228689577,0.0,,,32.0,21.0
ton,bot,ton->bot,43,ricco,ton+bot+unsw,3.0,False,rifit completo n=32,0.7245022818360273,200477,0.00028432189228689577,0.0,,,32.0,
ton,bot,ton->bot,43,ricco,ton+bot+unsw,3.0,False,128 etichette,0.8201623836275682,200477,0.00028432189228689577,0.0,,,128.0,25.0
ton,bot,ton->bot,43,ricco,ton+bot+unsw,3.0,False,rifit completo n=128,0.7306787995817847,200477,0.00028432189228689577,0.0,,,128.0,
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,3.0,False,non adattato,0.2213669245384254,257673,0.1626712926849146,0.0,0.27409072470048,0.6390774353541117,,
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,3.0,False,8 etichette,0.6377926299612424,257673,0.1626712926849146,0.0,,,8.0,2.0
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,3.0,False,rifit completo n=8,0.6958343901042796,257673,0.1626712926849146,0.0,,,8.0,
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,3.0,False,32 etichette,0.6518043242749304,257673,0.1626712926849146,0.0,,,32.0,8.0
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,3.0,False,rifit completo n=32,0.6845037475197452,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,3.0,False,128 etichette,0.7428823597126875,257673,0.1626712926849146,0.0,,,128.0,54.0
ton,unsw,ton->unsw,43,ricco,ton+bot+unsw,3.0,False,rifit completo n=128,0.7941503716251581,257673,0.1626712926849146,0.0,,,128.0,
ton,ton,ton->ton,44,ricco,ton+bot+unsw,3.0,True,non adattato,0.9711300024837779,42209,0.0,0.0,0.9930904390077308,0.7630837025278969,,
ton,bot,ton->bot,44,ricco,ton+bot+unsw,3.0,False,non adattato,0.5664562316561845,200477,0.00027933378891344145,0.0,0.5207740566037736,0.9976206746908622,,
ton,bot,ton->bot,44,ricco,ton+bot+unsw,3.0,False,8 etichette,0.8965600453658122,200477,0.00027933378891344145,0.0,,,8.0,4.0
ton,bot,ton->bot,44,ricco,ton+bot+unsw,3.0,False,rifit completo n=8,0.7884158740257258,200477,0.00027933378891344145,0.0,,,8.0,
