src,dst,exp,seed,spazio,terna,in_domain,metodo,bal_acc,n_target,unseen_proto_h,unseen_state_h,roc_auc_target,frazione_attacchi,budget,normali
ton,ton,ton->ton,42,ridotto,ton+bot+cic,True,non adattato,0.9608634744947064,42209,0.0,0.0,0.9934396799031326,0.7630837025278969,,
ton,bot,ton->bot,42,ridotto,ton+bot+cic,False,non adattato,0.6244646593291405,200477,0.00027434568553998714,0.0,0.5935848427672956,0.9976206746908622,,
ton,bot,ton->bot,42,ridotto,ton+bot+cic,False,8 etichette,,200477,0.00027434568553998714,0.0,,,8.0,0.0
ton,bot,ton->bot,42,ridotto,ton+bot+cic,False,32 etichette,,200477,0.00027434568553998714,0.0,,,32.0,0.0
ton,bot,ton->bot,42,ridotto,ton+bot+cic,False,128 etichette,,200477,0.00027434568553998714,0.0,,,128.0,0.0
ton,cic,ton->cic,42,ridotto,ton+bot+cic,False,non adattato,0.4488375147064131,227709,0.05352445445722391,0.0,0.5368486747988018,0.8783139884677373,,
ton,cic,ton->cic,42,ridotto,ton+bot+cic,False,8 etichette,0.6983190270256254,227709,0.05352445445722391,0.0,,,8.0,1.0
ton,cic,ton->cic,42,ridotto,ton+bot+cic,False,rifit completo n=8,0.7439885774051753,227709,0.05352445445722391,0.0,,,8.0,
ton,cic,ton->cic,42,ridotto,ton+bot+cic,False,32 etichette,0.6672879155787903,227709,0.05352445445722391,0.0,,,32.0,2.0
ton,cic,ton->cic,42,ridotto,ton+bot+cic,False,rifit completo n=32,0.8655386820853821,227709,0.05352445445722391,0.0,,,32.0,
ton,cic,ton->cic,42,ridotto,ton+bot+cic,False,128 etichette,0.682522105255515,227709,0.05352445445722391,0.0,,,128.0,9.0
ton,cic,ton->cic,42,ridotto,ton+bot+cic,False,rifit completo n=128,0.8890157628445965,227709,0.05352445445722391,0.0,,,128.0,
ton,ton,ton->ton,43,ridotto,ton+bot+cic,True,non adattato,0.9601667189294918,42209,0.0,0.0,0.9932874957310068,0.7630837025278969,,
ton,bot,ton->bot,43,ridotto,ton+bot+cic,False,non adattato,0.6201746855345912,200477,0.00028432189228689577,0.0,0.5661715985324948,0.9976206746908622,,
ton,bot,ton->bot,43,ridotto,ton+bot+cic,False,8 etichette,,200477,0.00028432189228689577,0.0,,,8.0,0.0
ton,bot,ton->bot,43,ridotto,ton+bot+cic,False,32 etichette,,200477,0.00028432189228689577,0.0,,,32.0,0.0
ton,bot,ton->bot,43,ridotto,ton+bot+cic,False,128 etichette,,200477,0.00028432189228689577,0.0,,,128.0,0.0
ton,cic,ton->cic,43,ridotto,ton+bot+cic,False,non adattato,0.4471800849904364,227709,0.05278667070691102,0.0,0.4554335913421632,0.8783139884677373,,
ton,cic,ton->cic,43,ridotto,ton+bot+cic,False,8 etichette,0.714964124193338,227709,0.05278667070691102,0.0,,,8.0,3.0
ton,cic,ton->cic,43,ridotto,ton+bot+cic,False,rifit completo n=8,0.7683236957484971,227709,0.05278667070691102,0.0,,,8.0,
ton,cic,ton->cic,43,ridotto,ton+bot+cic,False,32 etichette,0.7228273854058077,227709,0.05278667070691102,0.0,,,32.0,3.0
ton,cic,ton->cic,43,ridotto,ton+bot+cic,False,rifit completo n=32,0.7104350865553914,227709,0.05278667070691102,0.0,,,32.0,
ton,cic,ton->cic,43,ridotto,ton+bot+cic,False,128 etichette,0.9442861500381811,227709,0.05278667070691102,0.0,,,128.0,14.0
ton,cic,ton->cic,43,ridotto,ton+bot+cic,False,rifit completo n=128,0.9307815487324615,227709,0.05278667070691102,0.0,,,128.0,
ton,ton,ton->ton,44,ridotto,ton+bot+cic,True,non adattato,0.9622465133968766,42209,0.0,0.0,0.9939566472104069,0.7630837025278969,,
ton,bot,ton->bot,44,ridotto,ton+bot+cic,False,non adattato,0.641260429769392,200477,0.00027933378891344145,0.0,0.5607308280922432,0.9976206746908622,,
ton,bot,ton->bot,44,ridotto,ton+bot+cic,False,8 etichette,,200477,0.00027933378891344145,0.0,,,8.0,0.0
ton,bot,ton->bot,44,ridotto,ton+bot+cic,False,32 etichette,,200477,0.00027933378891344145,0.0,,,32.0,0.0
ton,bot,ton->bot,44,ridotto,ton+bot+cic,False,128 etichette,,200477,0.00027933378891344145,0.0,,,128.0,0.0
ton,cic,ton->cic,44,ridotto,ton+bot+cic,False,non adattato,0.4479865935255693,227709,0.05311603845258642,0.0,0.532546813760872,0.8783139884677373,,
ton,cic,ton->cic,44,ridotto,ton+bot+cic,False,8 etichette,0.7515172226740773,227709,0.05311603845258642,0.0,,,8.0,2.0
ton,cic,ton->cic,44,ridotto,ton+bot+cic,False,rifit completo n=8,0.8190753707957902,227709,0.05311603845258642,0.0,,,8.0,
ton,cic,ton->cic,44,ridotto,ton+bot+cic,False,32 etichette,0.8436164643631231,227709,0.05311603845258642,0.0,,,32.0,4.0
ton,cic,ton->cic,44,ridotto,ton+bot+cic,False,rifit completo n=32,0.8758782687796829,227709,0.05311603845258642,0.0,,,32.0,
ton,cic,ton->cic,44,ridotto,ton+bot+cic,False,128 etichette,0.9626084423803265,227709,0.05311603845258642,0.0,,,128.0,8.0
ton,cic,ton->cic,44,ridotto,ton+bot+cic,False,rifit completo n=128,0.8935105961775687,227709,0.05311603845258642,0.0,,,128.0,
bot,ton,bot->ton,42,ridotto,ton+bot+cic,False,non adattato,0.49317766944232283,211043,0.0,0.212525409513701,0.7771196497829773,0.7630814573333397,,
bot,ton,bot->ton,42,ridotto,ton+bot+cic,False,8 etichette,,211043,0.0,0.212525409513701,,,8.0,0.0
bot,ton,bot->ton,42,ridotto,ton+bot+cic,False,32 etichette,0.8406229093790093,211043,0.0,0.212525409513701,,,32.0,6.0
bot,ton,bot->ton,42,ridotto,ton+bot+cic,False,rifit completo n=32,0.9319693960883012,211043,0.0,0.212525409513701,,,32.0,
bot,ton,bot->ton,42,ridotto,ton+bot+cic,False,128 etichette,0.841841549379502,211043,0.0,0.212525409513701,,,128.0,32.0
bot,ton,bot->ton,42,ridotto,ton+bot+cic,False,rifit completo n=128,0.9404606690830921,211043,0.0,0.212525409513701,,,128.0,
bot,bot,bot->bot,42,ridotto,ton+bot+cic,True,non adattato,0.9933895394010441,733705,0.0,0.0,0.9986058848133132,0.9998705201681874,,
bot,cic,bot->cic,42,ridotto,ton+bot+cic,False,non adattato,0.4402217817315674,227709,0.0,0.0,0.44160735717636873,0.8783139884677373,,
bot,cic,bot->cic,42,ridotto,ton+bot+cic,False,8 etichette,0.7640137420457835,227709,0.0,0.0,,,8.0,2.0
bot,cic,bot->cic,42,ridotto,ton+bot+cic,False,rifit completo n=8,0.5858369090301063,227709,0.0,0.0,,,8.0,
bot,cic,bot->cic,42,ridotto,ton+bot+cic,False,32 etichette,0.7213602685155186,227709,0.0,0.0,,,32.0,14.0
bot,cic,bot->cic,42,ridotto,ton+bot+cic,False,rifit completo n=32,0.8792027226664156,227709,0.0,0.0,,,32.0,
bot,cic,bot->cic,42,ridotto,ton+bot+cic,False,128 etichette,0.8271083035547642,227709,0.0,0.0,,,128.0,62.0
bot,cic,bot->cic,42,ridotto,ton+bot+cic,False,rifit completo n=128,0.8441778410849248,227709,0.0,0.0,,,128.0,
bot,ton,bot->ton,43,ridotto,ton+bot+cic,False,non adattato,0.4736983806188409,211043,0.0,0.212525409513701,0.7726754728240284,0.7630814573333397,,
bot,ton,bot->ton,43,ridotto,ton+bot+cic,False,8 etichette,0.7775313972748183,211043,0.0,0.212525409513701,,,8.0,2.0
bot,ton,bot->ton,43,ridotto,ton+bot+cic,False,rifit completo n=8,0.6593188852835881,211043,0.0,0.212525409513701,,,8.0,
bot,ton,bot->ton,43,ridotto,ton+bot+cic,False,32 etichette,0.9103578483772261,211043,0.0,0.212525409513701,,,32.0,7.0
bot,ton,bot->ton,43,ridotto,ton+bot+cic,False,rifit completo n=32,0.9157683709698168,211043,0.0,0.212525409513701,,,32.0,
bot,ton,bot->ton,43,ridotto,ton+bot+cic,False,128 etichette,0.9160829463671012,211043,0.0,0.212525409513701,,,128.0,20.0
bot,ton,bot->ton,43,ridotto,ton+bot+cic,False,rifit completo n=128,0.9276142603560205,211043,0.0,0.212525409513701,,,128.0,
bot,bot,bot->bot,43,ridotto,ton+bot+cic,True,non adattato,0.9910538296915254,733705,0.0,0.0,0.9991979389593928,0.9998705201681874,,
bot,cic,bot->cic,43,ridotto,ton+bot+cic,False,non adattato,0.43900396549857446,227709,0.0,0.0,0.542904438178931,0.8783139884677373,,
bot,cic,bot->cic,43,ridotto,ton+bot+cic,False,8 etichette,0.7725546009869477,227709,0.0,0.0,,,8.0,3.0
bot,cic,bot->cic,43,ridotto,ton+bot+cic,False,rifit completo n=8,0.8504649817573672,227709,0.0,0.0,,,8.0,
bot,cic,bot->cic,43,ridotto,ton+bot+cic,False,32 etichette,0.7973551054998982,227709,0.0,0.0,,,32.0,3.0
bot,cic,bot->cic,43,ridotto,ton+bot+cic,False,rifit completo n=32,0.8262675345558832,227709,0.0,0.0,,,32.0,
bot,cic,bot->cic,43,ridotto,ton+bot+cic,False,128 etichette,0.8641171840940851,227709,0.0,0.0,,,128.0,14.0
bot,cic,bot->cic,43,ridotto,ton+bot+cic,False,rifit completo n=128,0.9682477345721292,227709,0.0,0.0,,,128.0,
bot,ton,bot->ton,44,ridotto,ton+bot+cic,False,non adattato,0.5695219858671287,211043,0.0,0.212525409513701,0.7646134000856915,0.7630814573333397,,
bot,ton,bot->ton,44,ridotto,ton+bot+cic,False,8 etichette,0.7835608871942957,211043,0.0,0.212525409513701,,,8.0,1.0
bot,ton,bot->ton,44,ridotto,ton+bot+cic,False,rifit completo n=8,0.5121392553040459,211043,0.0,0.212525409513701,,,8.0,
bot,ton,bot->ton,44,ridotto,ton+bot+cic,False,32 etichette,0.8270776181024222,211043,0.0,0.212525409513701,,,32.0,9.0
bot,ton,bot->ton,44,ridotto,ton+bot+cic,False,rifit completo n=32,0.7364827257528886,211043,0.0,0.212525409513701,,,32.0,
bot,ton,bot->ton,44,ridotto,ton+bot+cic,False,128 etichette,0.8862525692447317,211043,0.0,0.212525409513701,,,128.0,25.0
bot,ton,bot->ton,44,ridotto,ton+bot+cic,False,rifit completo n=128,0.953243808433358,211043,0.0,0.212525409513701,,,128.0,
bot,bot,bot->bot,44,ridotto,ton+bot+cic,True,non adattato,0.994816728234348,733705,0.0,0.0,0.9993585290908191,0.9998705201681874,,
bot,cic,bot->cic,44,ridotto,ton+bot+cic,False,non adattato,0.4280162772925764,227709,0.0,0.0,0.41637782579667254,0.8783139884677373,,
bot,cic,bot->cic,44,ridotto,ton+bot+cic,False,8 etichette,0.7661863576627694,227709,0.0,0.0,,,8.0,2.0
bot,cic,bot->cic,44,ridotto,ton+bot+cic,False,rifit completo n=8,0.8537009372994584,227709,0.0,0.0,,,8.0,
bot,cic,bot->cic,44,ridotto,ton+bot+cic,False,32 etichette,0.8342452800818572,227709,0.0,0.0,,,32.0,4.0
bot,cic,bot->cic,44,ridotto,ton+bot+cic,False,rifit completo n=32,0.8538705607379149,227709,0.0,0.0,,,32.0,
bot,cic,bot->cic,44,ridotto,ton+bot+cic,False,128 etichette,0.887038671526081,227709,0.0,0.0,,,128.0,8.0
bot,cic,bot->cic,44,ridotto,ton+bot+cic,False,rifit completo n=128,0.8341855403845535,227709,0.0,0.0,,,128.0,
cic,ton,cic->ton,42,ridotto,ton+bot+cic,False,non adattato,0.5223725729153084,211043,0.0,0.29760285818529875,0.502020938569202,0.7630814573333397,,
cic,ton,cic->ton,42,ridotto,ton+bot+cic,False,8 etichette,0.5063781455837268,211043,0.0,0.29760285818529875,,,8.0,1.0
cic,ton,cic->ton,42,ridotto,ton+bot+cic,False,rifit completo n=8,0.54228885429692,211043,0.0,0.29760285818529875,,,8.0,
cic,ton,cic->ton,42,ridotto,ton+bot+cic,False,32 etichette,0.6821986996439038,211043,0.0,0.29760285818529875,,,32.0,6.0
cic,ton,cic->ton,42,ridotto,ton+bot+cic,False,rifit completo n=32,0.9372347091707086,211043,0.0,0.29760285818529875,,,32.0,
cic,ton,cic->ton,42,ridotto,ton+bot+cic,False,128 etichette,0.8508247067532156,211043,0.0,0.29760285818529875,,,128.0,32.0
cic,ton,cic->ton,42,ridotto,ton+bot+cic,False,rifit completo n=128,0.957150956637971,211043,0.0,0.29760285818529875,,,128.0,
cic,bot,cic->bot,42,ridotto,ton+bot+cic,False,non adattato,0.19635520440251572,200477,0.0,0.002134908243838445,0.11997968553459121,0.9976206746908622,,
cic,bot,cic->bot,42,ridotto,ton+bot+cic,False,8 etichette,,200477,0.0,0.002134908243838445,,,8.0,0.0
cic,bot,cic->bot,42,ridotto,ton+bot+cic,False,32 etichette,,200477,0.0,0.002134908243838445,,,32.0,0.0
cic,bot,cic->bot,42,ridotto,ton+bot+cic,False,128 etichette,0.35841621299272935,200477,0.0,0.002134908243838445,,,128.0,1.0
cic,bot,cic->bot,42,ridotto,ton+bot+cic,False,rifit completo n=128,0.5386904350228782,200477,0.0,0.002134908243838445,,,128.0,
cic,cic,cic->cic,42,ridotto,ton+bot+cic,True,non adattato,0.9901972798628653,85542,0.0,0.0,0.9951944627390834,0.9352131116878258,,
cic,ton,cic->ton,43,ridotto,ton+bot+cic,False,non adattato,0.6547528781753942,211043,0.0,0.29760285818529875,0.533018679110548,0.7630814573333397,,
cic,ton,cic->ton,43,ridotto,ton+bot+cic,False,8 etichette,0.6592598533204168,211043,0.0,0.29760285818529875,,,8.0,2.0
cic,ton,cic->ton,43,ridotto,ton+bot+cic,False,rifit completo n=8,0.680462535664563,211043,0.0,0.29760285818529875,,,8.0,
