src,dst,exp,seed,spazio,terna,in_domain,metodo,bal_acc,n_target,unseen_proto_h,unseen_state_h,roc_auc_target,frazione_attacchi,budget,normali
ton,ton,ton->ton,42,ridotto,ton+bot+unsw,True,non adattato,0.9608634744947064,42209,0.0,0.0,0.9934396799031326,0.7630837025278969,,
ton,bot,ton->bot,42,ridotto,ton+bot+unsw,False,non adattato,0.6244646593291405,200477,0.00027434568553998714,0.0,0.5935848427672956,0.9976206746908622,,
ton,bot,ton->bot,42,ridotto,ton+bot+unsw,False,8 etichette,,200477,0.00027434568553998714,0.0,,,8.0,0.0
ton,bot,ton->bot,42,ridotto,ton+bot+unsw,False,32 etichette,,200477,0.00027434568553998714,0.0,,,32.0,0.0
ton,bot,ton->bot,42,ridotto,ton+bot+unsw,False,128 etichette,,200477,0.00027434568553998714,0.0,,,128.0,0.0
ton,unsw,ton->unsw,42,ridotto,ton+bot+unsw,False,non adattato,0.26359743669908475,257673,0.1626712926849146,0.0,0.25496264264747814,0.6390774353541117,,
ton,unsw,ton->unsw,42,ridotto,ton+bot+unsw,False,8 etichette,0.7597216881000055,257673,0.1626712926849146,0.0,,,8.0,3.0
ton,unsw,ton->unsw,42,ridotto,ton+bot+unsw,False,rifit completo n=8,0.7473996965768142,257673,0.1626712926849146,0.0,,,8.0,
ton,unsw,ton->unsw,42,ridotto,ton+bot+unsw,False,32 etichette,0.7565157521468839,257673,0.1626712926849146,0.0,,,32.0,8.0
ton,unsw,ton->unsw,42,ridotto,ton+bot+unsw,False,rifit completo n=32,0.7568538028648564,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,42,ridotto,ton+bot+unsw,False,128 etichette,0.7530284752477205,257673,0.1626712926849146,0.0,,,128.0,48.0
ton,unsw,ton->unsw,42,ridotto,ton+bot+unsw,False,rifit completo n=128,0.8013854629297723,257673,0.1626712926849146,0.0,,,128.0,
ton,ton,ton->ton,43,ridotto,ton+bot+unsw,True,non adattato,0.9601667189294918,42209,0.0,0.0,0.9932874957310068,0.7630837025278969,,
ton,bot,ton->bot,43,ridotto,ton+bot+unsw,False,non adattato,0.6201746855345912,200477,0.00028432189228689577,0.0,0.5661715985324948,0.9976206746908622,,
ton,bot,ton->bot,43,ridotto,ton+bot+unsw,False,8 etichette,,200477,0.00028432189228689577,0.0,,,8.0,0.0
ton,bot,ton->bot,43,ridotto,ton+bot+unsw,False,32 etichette,,200477,0.00028432189228689577,0.0,,,32.0,0.0
ton,bot,ton->bot,43,ridotto,ton+bot+unsw,False,128 etichette,,200477,0.00028432189228689577,0.0,,,128.0,0.0
ton,unsw,ton->unsw,43,ridotto,ton+bot+unsw,False,non adattato,0.29595669325503937,257673,0.1626712926849146,0.0,0.25048601346728927,0.6390774353541117,,
ton,unsw,ton->unsw,43,ridotto,ton+bot+unsw,False,8 etichette,0.6093338846816738,257673,0.1626712926849146,0.0,,,8.0,2.0
ton,unsw,ton->unsw,43,ridotto,ton+bot+unsw,False,rifit completo n=8,0.703218792449734,257673,0.1626712926849146,0.0,,,8.0,
ton,unsw,ton->unsw,43,ridotto,ton+bot+unsw,False,32 etichette,0.6780682728076675,257673,0.1626712926849146,0.0,,,32.0,8.0
ton,unsw,ton->unsw,43,ridotto,ton+bot+unsw,False,rifit completo n=32,0.6927181466446358,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,43,ridotto,ton+bot+unsw,False,128 etichette,0.7604183725622714,257673,0.1626712926849146,0.0,,,128.0,54.0
ton,unsw,ton->unsw,43,ridotto,ton+bot+unsw,False,rifit completo n=128,0.779594916459881,257673,0.1626712926849146,0.0,,,128.0,
ton,ton,ton->ton,44,ridotto,ton+bot+unsw,True,non adattato,0.9622465133968766,42209,0.0,0.0,0.9939566472104069,0.7630837025278969,,
ton,bot,ton->bot,44,ridotto,ton+bot+unsw,False,non adattato,0.641260429769392,200477,0.00027933378891344145,0.0,0.5607308280922432,0.9976206746908622,,
ton,bot,ton->bot,44,ridotto,ton+bot+unsw,False,8 etichette,,200477,0.00027933378891344145,0.0,,,8.0,0.0
ton,bot,ton->bot,44,ridotto,ton+bot+unsw,False,32 etichette,,200477,0.00027933378891344145,0.0,,,32.0,0.0
ton,bot,ton->bot,44,ridotto,ton+bot+unsw,False,128 etichette,,200477,0.00027933378891344145,0.0,,,128.0,0.0
ton,unsw,ton->unsw,44,ridotto,ton+bot+unsw,False,non adattato,0.26318943877631973,257673,0.1626712926849146,0.0,0.2502804132059959,0.6390774353541117,,
ton,unsw,ton->unsw,44,ridotto,ton+bot+unsw,False,8 etichette,0.6759295254838094,257673,0.1626712926849146,0.0,,,8.0,2.0
ton,unsw,ton->unsw,44,ridotto,ton+bot+unsw,False,rifit completo n=8,0.6711010575462257,257673,0.1626712926849146,0.0,,,8.0,
ton,unsw,ton->unsw,44,ridotto,ton+bot+unsw,False,32 etichette,0.7760720839330604,257673,0.1626712926849146,0.0,,,32.0,11.0
ton,unsw,ton->unsw,44,ridotto,ton+bot+unsw,False,rifit completo n=32,0.7736963891936443,257673,0.1626712926849146,0.0,,,32.0,
ton,unsw,ton->unsw,44,ridotto,ton+bot+unsw,False,128 etichette,0.7490148985730661,257673,0.1626712926849146,0.0,,,128.0,55.0
ton,unsw,ton->unsw,44,ridotto,ton+bot+unsw,False,rifit completo n=128,0.7690688101777223,257673,0.1626712926849146,0.0,,,128.0,
bot,ton,bot->ton,42,ridotto,ton+bot+unsw,False,non adattato,0.49317766944232283,211043,0.0,0.212525409513701,0.7771196497829773,0.7630814573333397,,
bot,ton,bot->ton,42,ridotto,ton+bot+unsw,False,8 etichette,,211043,0.0,0.212525409513701,,,8.0,0.0
bot,ton,bot->ton,42,ridotto,ton+bot+unsw,False,32 etichette,0.8406229093790093,211043,0.0,0.212525409513701,,,32.0,6.0
bot,ton,bot->ton,42,ridotto,ton+bot+unsw,False,rifit completo n=32,0.9319693960883012,211043,0.0,0.212525409513701,,,32.0,
bot,ton,bot->ton,42,ridotto,ton+bot+unsw,False,128 etichette,0.841841549379502,211043,0.0,0.212525409513701,,,128.0,32.0
bot,ton,bot->ton,42,ridotto,ton+bot+unsw,False,rifit completo n=128,0.9404606690830921,211043,0.0,0.212525409513701,,,128.0,
bot,bot,bot->bot,42,ridotto,ton+bot+unsw,True,non adattato,0.9933895394010441,733705,0.0,0.0,0.9986058848133132,0.9998705201681874,,
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,non adattato,0.4877885184186138,257673,0.0,0.0,0.41391437958276256,0.6390774353541117,,
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,8 etichette,0.7644452756177197,257673,0.0,0.0,,,8.0,3.0
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,rifit completo n=8,0.7486049839910212,257673,0.0,0.0,,,8.0,
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,32 etichette,0.7142216507912302,257673,0.0,0.0,,,32.0,8.0
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,rifit completo n=32,0.7139804867653832,257673,0.0,0.0,,,32.0,
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,128 etichette,0.7647767078211742,257673,0.0,0.0,,,128.0,48.0
bot,unsw,bot->unsw,42,ridotto,ton+bot+unsw,False,rifit completo n=128,0.7953288638568202,257673,0.0,0.0,,,128.0,
