subgroup,representation,n,normal,attack,TN,FP,FN,TP,F1,BA,TNR,TPR,accuracy
all,coefficient,42209,10000,32209,9786,214,896,31313,0.9825844106941132,0.9753908441739887,0.9786,0.9721816883479772,0.9737022909805966
exact_duplicate,coefficient,5201,1634,3567,1609,25,0,3567,0.99650789216371,0.9923500611995104,0.9847001223990208,1.0,0.9951932320707556
non_overlapping,coefficient,37008,8366,28642,8177,189,896,27746,0.9808225957544585,0.9730629133990275,0.9774085584508726,0.9687172683471824,0.9706820146995244
all,lut1025,42209,10000,32209,9786,214,896,31313,0.9825844106941132,0.9753908441739887,0.9786,0.9721816883479772,0.9737022909805966
exact_duplicate,lut1025,5201,1634,3567,1609,25,0,3567,0.99650789216371,0.9923500611995104,0.9847001223990208,1.0,0.9951932320707556
non_overlapping,lut1025,37008,8366,28642,8177,189,896,27746,0.9808225957544585,0.9730629133990275,0.9774085584508726,0.9687172683471824,0.9706820146995244
all,lut513,42209,10000,32209,9786,214,896,31313,0.9825844106941132,0.9753908441739887,0.9786,0.9721816883479772,0.9737022909805966
exact_duplicate,lut513,5201,1634,3567,1609,25,0,3567,0.99650789216371,0.9923500611995104,0.9847001223990208,1.0,0.9951932320707556
non_overlapping,lut513,37008,8366,28642,8177,189,896,27746,0.9808225957544585,0.9730629133990275,0.9774085584508726,0.9687172683471824,0.9706820146995244
all,floating,42209,10000,32209,9785,215,857,31352,0.9831911690918214,0.975946265019094,0.9785,0.973392530038188,0.9746025729109905
exact_duplicate,floating,5201,1634,3567,1609,25,0,3567,0.99650789216371,0.9923500611995104,0.9847001223990208,1.0,0.9951932320707556
non_overlapping,floating,37008,8366,28642,8176,190,857,27785,0.9815073211226311,0.9736839660592485,0.9772890270141047,0.9700789051043921,0.9717088197146563
