space,model,n,roc_auc_mean,roc_auc_sample_sd,below_0_5,equal_0_5,min_roc_auc,max_roc_auc
rich,DecisionTree(d=5),10,0.37135933722413317,0.06976884742553773,10,0,0.23464769557315576,0.4568825388980403
rich,"KAN(cat,1L)",10,0.32416377545293573,0.05672857157153231,10,0,0.2763325328547831,0.4342539469390918
rich,"KAN(cat,ML)",10,0.33005483165431343,0.05549898958255682,10,0,0.2572757923833281,0.45451099797715755
rich,LightGBM,10,0.3701559737711538,0.07227200333844479,9,0,0.2837328258695026,0.5066791522776093
rich,MLP(16),10,0.2777359483039342,0.03875295558525635,10,0,0.2040377669619472,0.3223990929498663
rich,XGBoost,10,0.4139526669635078,0.07486166462751652,8,0,0.30474140964540414,0.5300763680631586
reduced,DecisionTree(d=5),10,0.39541846183400675,0.13282090843038255,8,0,0.23774252129782916,0.6031325879525725
reduced,"KAN(cat,1L)",10,0.500837830770385,0.017885701909703105,4,0,0.4589805635985399,0.5247770694662456
reduced,"KAN(cat,ML)",10,0.4209658171890868,0.07896051566740571,8,0,0.2914850847450101,0.5239810121577537
reduced,LightGBM,10,0.44930570456053376,0.08672590423442003,6,0,0.2745396472931791,0.5477466068792313
reduced,MLP(16),10,0.3562336939012859,0.04436652719404948,10,0,0.27013490786465116,0.40031135889445024
reduced,XGBoost,10,0.4528238666411485,0.08878793893327594,5,0,0.26748165435585636,0.562050999115941
