board,model,repeat,count,active_seconds_MCU,mean_call_us,central_mean_power_W,energy_uJ_per_call
Mega 2560,coeff,1,86000,119.986132,1395.1875813953488,0.35365041393745456,493.40866568086125
Mega 2560,coeff,2,86000,119.986136,1395.1876279069768,0.35252371084021594,491.8367199081259
Mega 2560,lut,1,533600,119.975432,224.84151424287856,0.35451665194782606,79.71006084826475
Mega 2560,lut,2,533600,119.975432,224.84151424287856,0.353862753252257,79.56303727539157
Mega 2560,mlp,1,89500,119.990836,1340.6797318435754,0.3563986175935119,477.8164030646905
Mega 2560,mlp,2,89500,119.990832,1340.679687150838,0.35562622979163594,476.7808624996824
Mega 2560,kanml,1,9800,119.793784,12223.855510204081,0.35519281719657164,4341.825675673224
Mega 2560,kanml,2,9800,119.793784,12223.855510204081,0.35521708963826265,4342.1223784933345
Mega 2560,dt5,1,7614200,119.79178,15.732681043313809,0.35796129291148243,5.631690847228582
Mega 2560,dt5,2,7614200,119.791776,15.732680517979565,0.35814832557182347,5.634633184270829
ESP32-C3,coeff,1,23018300,120.001606,5.213313146496483,0.16782623598562987,0.8749307223909054
ESP32-C3,coeff,2,23018300,120.001607,5.213313189940178,0.1677252457425963,0.8744042359158352
ESP32-C3,lut,1,36070720,120.000874,3.326822253617338,0.16577530856345637,0.5515049856291876
ESP32-C3,lut,2,36070720,120.000874,3.326822253617338,0.1658128393948849,0.5516298440343808
ESP32-C3,mlp,1,6054380,120.004227,19.821059629557443,0.1698737625472935,3.3670779769471864
ESP32-C3,mlp,2,6054380,120.004231,19.821060290236158,0.16978243100494986,3.365267801171972
ESP32-C3,kanml,1,2214580,120.000372,54.18651482448139,0.17395077845657322,9.425786435567183
ESP32-C3,kanml,2,2214580,120.000367,54.18651256671694,0.1737946292111491,9.417324859777843
ESP32-C3,dt5,1,162479500,120.00097,0.738560679962703,0.16873766493297523,0.1246230045482169
ESP32-C3,dt5,2,162479500,120.00097,0.738560679962703,0.16887277979615575,0.12472279507344061
