board,model,environment,pio_flash_used_B,pio_static_data_bss_B,model_representation_B,image_format,image_file_bytes,image_sha256,peak_ram_status,build_log
Mega 2560,coeff,mega_fnb58_coeff_pilot,22300,841,254,Intel HEX text,62748,76ecc8699d3324dc80d873a96899eb4796aadcffc77bbd04ab13409ae566affe,not_measured,provenance/builds/mega_coeff.txt
Mega 2560,lut,mega_fnb58_lut_pilot,42060,841,20554,Intel HEX text,118323,ebfdd1a18a399aa20f3c0c89cc0cee5af6e5a1f708bcee222859fb3945d6312a,not_measured,provenance/builds/mega_lut.txt
Mega 2560,mlp,mega_fnb58_mlp_pilot,22310,841,760,Intel HEX text,62768,702d90fcf32b5a2ae0057a94deffda1fda83150d9c1d60a6533dfb21f7f24c56,not_measured,provenance/builds/mega_mlp.txt
Mega 2560,kanml,mega_fnb58_kanml_pilot,28266,841,5244,Intel HEX text,79516,e2f50a693dde256cfb3698f16e73c4712d8fd8c1f8e9b479540fdaa1b78f9657,not_measured,provenance/builds/mega_kanml.txt
Mega 2560,dt5,mega_fnb58_dt5_pilot,23232,917,285,Intel HEX text,65366,6917f5848e80460778442c68c9f4aa9edb0ac04c5383343fe423ea35c053b2a7,not_measured,provenance/builds/mega_dt5.txt
ESP32-C3,coeff,esp32c3_fnb58_coeff_pilot,267790,15888,254,ESP32 BIN,283856,3e998887314ac3016da77f98e8a6e806a9e6eed4c3f07b34da63f7ef80234cef,not_measured,provenance/builds/c3_coeff.txt
ESP32-C3,lut,esp32c3_fnb58_lut_pilot,287962,15888,20554,ESP32 BIN,300016,0c206bf92b76460f699d15bd2d2067c676728a1946c3c908f91a278cde3e1a1d,not_measured,provenance/builds/c3_lut.txt
ESP32-C3,mlp,esp32c3_fnb58_mlp_pilot,268144,15888,760,ESP32 BIN,283728,7d3cee6204ccc4cd79f8316ddb753385066981f6afb26881b53c8252de067fdd,not_measured,provenance/builds/c3_mlp.txt
ESP32-C3,kanml,esp32c3_fnb58_kanml_pilot,273118,15904,5244,ESP32 BIN,285248,4abe54ffe4a6304b1a8e7f6e89141cca8d4abed744a3087b7bb7c89065fcec5c,not_measured,provenance/builds/c3_kanml.txt
ESP32-C3,dt5,esp32c3_fnb58_dt5_pilot,269486,15968,285,ESP32 BIN,283520,28a80299c45b6793774d0a34f14a114737f309086419653eaca10c63e4033c8a,not_measured,provenance/builds/c3_dt5.txt
