model,hidden,degree,balanced_accuracy_mean,balanced_accuracy_std,n_runs,n_parametri
"KAN(cat,1L)",0,4,0.9704416792796989,0.000985542235826758,5,90
"KAN(cat,1L)",0,6,0.9736023135211707,0.0010087534156103168,5,110
"KAN(cat,1L)",0,8,0.9772693246206389,0.0006716202204782192,5,130
"KAN(cat,ML)",4,4,0.9913566242674738,0.00043723917169699925,5,236
"KAN(cat,ML)",4,6,0.992678713082625,0.0006830517751368201,5,324
"KAN(cat,ML)",4,8,0.9934658264446773,0.0007657874322039529,5,412
"KAN(cat,ML)",8,4,0.9921465260798696,0.0004534912868936064,5,472
"KAN(cat,ML)",8,6,0.9945525633562309,0.000879346728583361,5,648
"KAN(cat,ML)",8,8,0.9950972503589863,0.00044738505901803624,5,824
"KAN(cat,ML)",16,4,0.9933223076027478,0.0005528582579358516,5,944
"KAN(cat,ML)",16,6,0.9957382732758955,0.00047953882167243035,5,1296
"KAN(cat,ML)",16,8,0.9960233428416192,0.0005481131586593867,5,1648
"KAN(cat,ML)",32,4,0.9940892818333527,0.0005530180671773658,5,1888
"KAN(cat,ML)",32,6,0.9963082712384057,0.00027980545007547374,5,2592
"KAN(cat,ML)",32,8,0.996308318294718,0.0003115356261785195,5,3296
