seed,model,hidden,degree,split,balanced_accuracy,n_parametri,n_fit,n_val,secondi
42,"KAN(cat,1L)",0,4,validation,0.9691179415531493,90,135067,33767,9.9
42,"KAN(cat,1L)",0,6,validation,0.9721531707222417,110,135067,33767,20.7
42,"KAN(cat,1L)",0,8,validation,0.9763224424651686,130,135067,33767,20.8
42,"KAN(cat,ML)",4,4,validation,0.9909308611790275,236,135067,33767,62.1
42,"KAN(cat,ML)",4,6,validation,0.9919202638064191,324,135067,33767,43.0
42,"KAN(cat,ML)",4,8,validation,0.9934965629487329,412,135067,33767,58.5
42,"KAN(cat,ML)",8,4,validation,0.9914953865409244,472,135067,33767,113.4
42,"KAN(cat,ML)",8,6,validation,0.9934358530290681,648,135067,33767,161.3
42,"KAN(cat,ML)",8,8,validation,0.9946066795707689,824,135067,33767,124.3
42,"KAN(cat,ML)",16,4,validation,0.9934164483641867,944,135067,33767,119.1
42,"KAN(cat,ML)",16,6,validation,0.9952296542088719,1296,135067,33767,149.1
42,"KAN(cat,ML)",16,8,validation,0.9951434635386347,1648,135067,33767,181.8
42,"KAN(cat,ML)",32,4,validation,0.993381689758218,1888,135067,33767,222.7
42,"KAN(cat,ML)",32,6,validation,0.995889177533279,2592,135067,33767,295.0
42,"KAN(cat,ML)",32,8,validation,0.9957901288469748,3296,135067,33767,360.1
43,"KAN(cat,1L)",0,4,validation,0.9711262782822991,90,135067,33767,7.0
43,"KAN(cat,1L)",0,6,validation,0.97421543544068,110,135067,33767,8.6
43,"KAN(cat,1L)",0,8,validation,0.9781541118484884,130,135067,33767,8.3
43,"KAN(cat,ML)",4,4,validation,0.9917345538867544,236,135067,33767,31.8
43,"KAN(cat,ML)",4,6,validation,0.9935845436993054,324,135067,33767,42.5
43,"KAN(cat,ML)",4,8,validation,0.9944879909380215,412,135067,33767,56.1
43,"KAN(cat,ML)",8,4,validation,0.9927327638064191,472,135067,33767,56.3
43,"KAN(cat,ML)",8,6,validation,0.9949254909380215,648,135067,33767,81.8
43,"KAN(cat,ML)",8,8,validation,0.9948435862731401,824,135067,33767,104.5
43,"KAN(cat,ML)",16,4,validation,0.9939121623588311,944,135067,33767,111.9
43,"KAN(cat,ML)",16,6,validation,0.9962404868630419,1296,135067,33767,151.7
43,"KAN(cat,ML)",16,8,validation,0.9959710821981604,1648,135067,33767,186.6
43,"KAN(cat,ML)",32,4,validation,0.9947140649862227,1888,135067,33767,222.8
43,"KAN(cat,ML)",32,6,validation,0.996251319517212,2592,135067,33767,287.8
43,"KAN(cat,ML)",32,8,validation,0.9963634615011449,3296,135067,33767,351.2
44,"KAN(cat,1L)",0,4,validation,0.9697731788722008,90,135067,33767,7.1
44,"KAN(cat,1L)",0,6,validation,0.9729288867543757,110,135067,33767,9.8
44,"KAN(cat,1L)",0,8,validation,0.9770530378002872,130,135067,33767,7.9
44,"KAN(cat,ML)",4,4,validation,0.9913832445569914,236,135067,33767,33.1
44,"KAN(cat,ML)",4,6,validation,0.9931835923856095,324,135067,33767,57.2
44,"KAN(cat,ML)",4,8,validation,0.992327997050491,412,135067,33767,63.5
44,"KAN(cat,ML)",8,4,validation,0.9923103824659448,472,135067,33767,54.6
44,"KAN(cat,ML)",8,6,validation,0.9954300122249389,648,135067,33767,71.2
44,"KAN(cat,ML)",8,8,validation,0.9955227495439904,824,135067,33767,109.3
44,"KAN(cat,ML)",16,4,validation,0.9933343084177436,944,135067,33767,182.0
44,"KAN(cat,ML)",16,6,validation,0.9960809635386347,1296,135067,33767,155.5
44,"KAN(cat,ML)",16,8,validation,0.996533817479722,1648,135067,33767,182.8
44,"KAN(cat,ML)",32,4,validation,0.9941470436993053,1888,135067,33767,221.4
44,"KAN(cat,ML)",32,6,validation,0.9966394128148407,2592,135067,33767,288.4
44,"KAN(cat,ML)",32,8,validation,0.9965186988201964,3296,135067,33767,343.5
45,"KAN(cat,1L)",0,4,validation,0.9715211535103039,90,135067,33767,6.8
45,"KAN(cat,1L)",0,6,validation,0.9743860267008189,110,135067,33767,9.3
45,"KAN(cat,1L)",0,8,validation,0.9772682791943184,130,135067,33767,8.2
45,"KAN(cat,ML)",4,4,validation,0.991836098498079,236,135067,33767,32.7
45,"KAN(cat,ML)",4,6,validation,0.9923149037528622,324,135067,33767,40.2
45,"KAN(cat,ML)",4,8,validation,0.9934791836457484,412,135067,33767,57.4
45,"KAN(cat,ML)",8,4,validation,0.9922047871308263,472,135067,33767,52.7
45,"KAN(cat,ML)",8,6,validation,0.9951669189273101,648,135067,33767,73.7
45,"KAN(cat,ML)",8,8,validation,0.9956197728683975,824,135067,33767,109.7
45,"KAN(cat,ML)",16,4,validation,0.9935326410719136,944,135067,33767,111.6
45,"KAN(cat,ML)",16,6,validation,0.9959128682035161,1296,135067,33767,152.8
45,"KAN(cat,ML)",16,8,validation,0.9964282221446036,1648,135067,33767,192.0
45,"KAN(cat,ML)",32,4,validation,0.9936964504016765,1888,135067,33767,222.4
45,"KAN(cat,ML)",32,6,validation,0.9964647708309078,2592,135067,33767,292.5
45,"KAN(cat,ML)",32,8,validation,0.9965769128148407,3296,135067,33767,329.6
46,"KAN(cat,1L)",0,4,validation,0.970669844180541,90,135067,33767,7.2
46,"KAN(cat,1L)",0,6,validation,0.9743280479877363,110,135067,33767,7.7
46,"KAN(cat,1L)",0,8,validation,0.9775487517949315,130,135067,33767,7.2
46,"KAN(cat,ML)",4,4,validation,0.9908983632165173,236,135067,33767,32.3
46,"KAN(cat,ML)",4,6,validation,0.9923902617689293,324,135067,33767,54.9
46,"KAN(cat,ML)",4,8,validation,0.9935373976403927,412,135067,33767,80.6
46,"KAN(cat,ML)",8,4,validation,0.9919893104552334,472,135067,33767,72.3
46,"KAN(cat,ML)",8,6,validation,0.9938045416618155,648,135067,33767,85.0
46,"KAN(cat,ML)",8,8,validation,0.9948934635386346,824,135067,33767,116.1
46,"KAN(cat,ML)",16,4,validation,0.9924159778010634,944,135067,33767,120.4
46,"KAN(cat,ML)",16,6,validation,0.9952273935654132,1296,135067,33767,176.9
46,"KAN(cat,ML)",16,8,validation,0.9960401288469748,1648,135067,33767,182.1
46,"KAN(cat,ML)",32,4,validation,0.9945071603213412,1888,135067,33767,226.2
46,"KAN(cat,ML)",32,6,validation,0.9962966754957892,2592,135067,33767,292.7
46,"KAN(cat,ML)",32,8,validation,0.9962923894904334,3296,135067,33767,344.2
