feature,mediana_TON,mediana_BoT,sovrapposizione
byte_rate,544217.6870748299,32.4310823705268,0.08463750566592826
duration,0.00017,15.508524,0.10630437456947181
bytes_total,172.0,600.0,0.1525931663442477
pkt_asymmetry,0.0,0.8571428571428571,0.16190203364929098
payload_mean_src,37.333333333333336,56.25,0.17542857461065023
flow_rate,7978.723404255318,0.4039185919850272,0.177730323702337
bytes_src,82.0,600.0,0.25432414299094236
pkts_src,1.0,6.0,0.3266333171947532
pkts_total,2.0,7.0,0.3596844858246834
byte_asymmetry,0.0898876404494382,0.997920997920998,0.3805347154891783
payload_mean_dst,20.0,0.0,0.49610645107264506
bytes_dst,40.0,0.0,0.5046926921149764
pkts_dst,1.0,0.0,0.6259921457266806
