exp,modello_a,modello_b,n_seed,media_a,media_b,differenza,t,p_value,significativa_5pct,vince_in
bot->ton,DecisionTree(d=5),LightGBM,10,0.4597,0.6964,-0.2366,-13.623,0.0,True,0/10
bot->ton,DecisionTree(d=5),MLP(16),10,0.4597,0.7343,-0.2746,-58.144,0.0,True,0/10
bot->ton,DecisionTree(d=5),XGBoost,10,0.4597,0.6487,-0.189,-13.493,0.0,True,0/10
bot->ton,DecisionTree(d=5),"KAN(cat,1L)",10,0.4597,0.6112,-0.1515,-7.124,0.0001,True,0/10
bot->ton,DecisionTree(d=5),"KAN(cat,ML)",10,0.4597,0.6855,-0.2258,-6.924,0.0001,True,0/10
bot->ton,MLP(16),XGBoost,10,0.7343,0.6487,0.0856,5.779,0.0003,True,10/10
bot->ton,"KAN(cat,1L)",MLP(16),10,0.6112,0.7343,-0.1231,-5.183,0.0006,True,0/10
bot->ton,"KAN(cat,1L)",LightGBM,10,0.6112,0.6964,-0.0852,-3.588,0.0059,True,1/10
bot->ton,LightGBM,MLP(16),10,0.6964,0.7343,-0.0379,-2.339,0.0441,True,2/10
bot->ton,"KAN(cat,1L)","KAN(cat,ML)",10,0.6112,0.6855,-0.0743,-1.695,0.1244,False,4/10
bot->ton,LightGBM,XGBoost,10,0.6964,0.6487,0.0476,1.656,0.1321,False,7/10
bot->ton,"KAN(cat,ML)",MLP(16),10,0.6855,0.7343,-0.0488,-1.538,0.1585,False,3/10
bot->ton,"KAN(cat,ML)",XGBoost,10,0.6855,0.6487,0.0368,1.415,0.1907,False,5/10
bot->ton,"KAN(cat,1L)",XGBoost,10,0.6112,0.6487,-0.0375,-1.283,0.2314,False,4/10
bot->ton,"KAN(cat,ML)",LightGBM,10,0.6855,0.6964,-0.0108,-0.274,0.79,False,4/10
ton->bot,DecisionTree(d=5),LightGBM,10,0.5494,0.4779,0.0715,17.166,0.0,True,10/10
ton->bot,"KAN(cat,1L)",LightGBM,10,0.5573,0.4779,0.0795,19.841,0.0,True,10/10
ton->bot,LightGBM,XGBoost,10,0.4779,0.5528,-0.0749,-7.589,0.0,True,0/10
ton->bot,"KAN(cat,1L)",MLP(16),10,0.5573,0.4369,0.1204,6.597,0.0001,True,10/10
ton->bot,MLP(16),XGBoost,10,0.4369,0.5528,-0.1159,-5.787,0.0003,True,0/10
ton->bot,"KAN(cat,1L)","KAN(cat,ML)",10,0.5573,0.4588,0.0985,5.386,0.0004,True,10/10
ton->bot,DecisionTree(d=5),MLP(16),10,0.5494,0.4369,0.1125,5.235,0.0005,True,10/10
ton->bot,DecisionTree(d=5),"KAN(cat,ML)",10,0.5494,0.4588,0.0906,5.197,0.0006,True,10/10
ton->bot,"KAN(cat,ML)",XGBoost,10,0.4588,0.5528,-0.0939,-4.099,0.0027,True,1/10
ton->bot,LightGBM,MLP(16),10,0.4779,0.4369,0.041,2.05,0.0707,False,7/10
ton->bot,DecisionTree(d=5),"KAN(cat,1L)",10,0.5494,0.5573,-0.0079,-1.599,0.1443,False,1/10
ton->bot,"KAN(cat,ML)",LightGBM,10,0.4588,0.4779,-0.019,-1.082,0.3073,False,3/10
ton->bot,"KAN(cat,ML)",MLP(16),10,0.4588,0.4369,0.022,0.712,0.4946,False,7/10
ton->bot,"KAN(cat,1L)",XGBoost,10,0.5573,0.5528,0.0046,0.512,0.6211,False,4/10
ton->bot,DecisionTree(d=5),XGBoost,10,0.5494,0.5528,-0.0034,-0.373,0.7175,False,3/10
