exp,model,variant,f1_mean,f1_std,balanced_acc_mean,balanced_acc_std,recall_attack_mean,recall_attack_std,recall_normal_mean,recall_normal_std,precision_mean,precision_std,pr_auc_mean,pr_auc_std,mcc_mean,mcc_std,n_runs
bot->bot,DecisionTree(d=5),cat,0.9974,0.0001,0.9952,0.0034,0.9948,0.0003,0.9956,0.0067,1.0,0.0,1.0,0.0,0.155,0.0049,50
bot->bot,DecisionTree(d=5),nocat,0.9922,0.0002,0.986,0.0085,0.9846,0.0003,0.9874,0.0173,1.0,0.0,1.0,0.0,0.0897,0.001,5
bot->bot,"KAN(cat,1L)",cat,0.9934,0.001,0.9934,0.001,0.9868,0.0019,1.0,0.0,1.0,0.0,1.0,0.0,0.0991,0.0078,50
bot->bot,"KAN(cat,1L)",nocat,0.9877,0.0005,0.9858,0.0028,0.9757,0.0009,0.9958,0.0057,1.0,0.0,1.0,0.0,0.0719,0.0014,5
bot->bot,"KAN(cat,ML)",cat,0.9983,0.0,0.9971,0.0027,0.9966,0.0001,0.9977,0.0053,1.0,0.0,1.0,0.0,0.1908,0.0026,50
bot->bot,"KAN(cat,ML)",nocat,0.9944,0.0003,0.9892,0.0062,0.989,0.0007,0.9895,0.0129,1.0,0.0,1.0,0.0,0.1062,0.0026,5
bot->bot,LightGBM,cat,0.9984,0.0,0.9971,0.0031,0.9967,0.0001,0.9975,0.0062,1.0,0.0,1.0,0.0,0.1945,0.0028,50
bot->bot,LightGBM,nocat,0.9949,0.0003,0.9865,0.0068,0.9898,0.0005,0.9832,0.014,1.0,0.0,1.0,0.0,0.1101,0.0022,5
bot->bot,MLP(16),cat,0.9998,0.0002,0.9426,0.0361,0.9997,0.0003,0.8855,0.0724,1.0,0.0,1.0,0.0,0.5183,0.0921,50
bot->bot,MLP(16),nocat,0.9997,0.0005,0.8343,0.0845,0.9995,0.001,0.669,0.1696,1.0,0.0,1.0,0.0,0.4556,0.1414,5
bot->bot,XGBoost,cat,0.9999,0.0,0.9779,0.0087,0.9999,0.0,0.956,0.0173,1.0,0.0,1.0,0.0,0.6685,0.0296,50
bot->bot,XGBoost,nocat,0.9999,0.0,0.96,0.0128,0.9998,0.0,0.9202,0.0256,1.0,0.0,1.0,0.0,0.5744,0.0204,5
bot->ton,DecisionTree(d=5),cat,0.1624,0.0331,0.4597,0.0107,0.0935,0.0208,0.826,0.003,0.6274,0.0511,0.8228,0.0224,-0.1105,0.0348,10
bot->ton,DecisionTree(d=5),nocat,0.4471,0.0175,0.4923,0.0378,0.3179,0.0179,0.6667,0.0827,0.7563,0.04,0.7838,0.0162,-0.0132,0.0678,3
