accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,fold,task
0.9786301499680163,0.9767580303641838,0.991583707565242,0.9803160607283679,0.9859176918753513,0.9418983640489889,0.993150513831538,0.9973163681343966,9732,268,634,31575,0.0268,0.019683939271632152,"KAN(cat,1L)",42,1,binary
0.9873486697149897,0.9862631221087274,0.9950611109374512,0.9883262442174547,0.9916822429906542,0.9653684328696653,0.994856712409575,0.9969604012912505,9842,158,376,31833,0.0158,0.011673755782545252,DecisionTree(d=5),42,1,binary
0.9974886872467957,0.997251252755441,0.9990051916560451,0.997702505510882,0.9983534236361377,0.9930682894151762,0.9999617389549504,0.9999877111122357,9968,32,74,32135,0.0032,0.0022974944891179486,LightGBM,42,1,binary
0.9783458504110498,0.9775715622962526,0.9924778900324175,0.9790431245925052,0.9857147322684505,0.9413712443065992,0.9936060169517836,0.9976058381280752,9761,239,675,31534,0.0239,0.020956875407494798,"KAN(cat,1L)",42,2,binary
0.9873249780852424,0.9865578859945978,0.9953396722131865,0.9880157719891955,0.9916641996852651,0.9653435039366738,0.9949539631779939,0.9970513051371439,9851,149,386,31823,0.0149,0.011984228010804433,DecisionTree(d=5),42,2,binary
0.9976071453955317,0.9977770638641373,0.999408946680769,0.9974541277282747,0.9984305803744853,0.9934048855592105,0.9999025303486604,0.99996904843612,9981,19,82,32127,0.0019,0.002545872271725294,LightGBM,42,2,binary
0.9791987490819494,0.9775098373125524,0.9919296592871722,0.9807196746251048,0.986292815436975,0.9434450509318617,0.9931276754944272,0.997287905426264,9743,257,621,31588,0.0257,0.019280325374895217,"KAN(cat,1L)",42,3,binary
0.988509559572603,0.9872995901766587,0.9953160129902573,0.9895991803533174,0.9924493640340635,0.9684927127112238,0.9948846129963673,0.996978290121447,9850,150,335,31874,0.015,0.010400819646682604,DecisionTree(d=5),42,3,binary
0.9977019119145206,0.9972530597038094,0.9988814317673378,0.998106119407619,0.9984936250834718,0.9936510139501709,0.9999453196311588,0.9999824150140173,9964,36,61,32148,0.0036,0.0018938805923810116,LightGBM,42,3,binary
0.9796957922668689,0.9776631644311973,0.9917803921568628,0.9815263288623944,0.9866267184744784,0.9447030433965586,0.9934343066939891,0.9974680141405681,9738,262,595,31613,0.0262,0.018473671137605563,"KAN(cat,1L)",42,4,binary
0.9880591357088704,0.986866567312469,0.9951893040109959,0.9891331346249379,0.9921519775770787,0.9672762175359917,0.9948258926353702,0.99693937868887,9846,154,350,31858,0.0154,0.010866865375062096,DecisionTree(d=5),42,4,binary
0.9971806292645944,0.9968770243417784,0.9988496098000809,0.9974540486835569,0.9981513414425751,0.9922190110133872,0.9998868060730255,0.9999520075675651,9963,37,82,32126,0.0037,0.00254595131644312,LightGBM,42,4,binary
0.9779662623199393,0.9764609538002981,0.9916996793057914,0.9793219076005961,0.9854719280157466,0.9402129707164484,0.9932958224664679,0.9973557758033362,9736,264,666,31542,0.0264,0.020678092399403873,"KAN(cat,1L)",42,5,binary
0.9864717589082639,0.9853782662692498,0.9947765162178224,0.9874565325384997,0.9911030087723398,0.9630032185315732,0.9943055374441132,0.9966040273591121,9833,167,404,31804,0.0167,0.012543467461500249,DecisionTree(d=5),42,5,binary
0.9971569370735406,0.9965512170889219,0.9985705407085146,0.997702434177844,0.9981362986891967,0.9921463583012714,0.9999277120591158,0.9999760260023645,9954,46,74,32134,0.0046,0.002297565822155986,LightGBM,42,5,binary
