model,fold,seed,f1,roc_auc,pr_auc,precision,recall
Logistic Regression,1,0,0.9637194302606826,0.9927839154600974,0.9969663334378647,0.9846238330587589,0.9436842105263158
Decision Tree (d=5),1,0,0.9707225355895783,0.9952034584505594,0.9972515030234309,0.9912232583653319,0.9510526315789474
Random Forest,1,0,0.9850118327636077,0.997652164962602,0.9990179321581122,0.9842354177614293,0.9857894736842105
XGBoost,1,0,0.9841855561412757,0.9978714060248404,0.9991203469906237,0.9857444561774024,0.9826315789473684
LightGBM,1,0,0.9850197109067017,0.9977293625197283,0.9990551739324967,0.9837270341207349,0.9863157894736843
KAN Chebyshev,1,0,0.9754928076718167,0.9963741165168463,0.9984973478309611,0.9875943905070119,0.9636842105263158
Logistic Regression,2,0,0.9735029146793853,0.9923602883096367,0.9967895127511446,0.9797333333333333,0.9673512374934176
Decision Tree (d=5),2,0,0.9776238678742675,0.9938550443215728,0.9958093504546001,0.9892183288409704,0.9662980516061085
Random Forest,2,0,0.9872029250457038,0.9975535369492716,0.9989488390309046,0.9792746113989638,0.995260663507109
XGBoost,2,0,0.9858712715855573,0.9977311249341758,0.9990630866758927,0.9797191887675507,0.9921011058451816
LightGBM,2,0,0.986136541982736,0.9978113480779357,0.999101346510785,0.9797297297297297,0.9926276987888363
KAN Chebyshev,2,0,0.9809825673534073,0.995825653852905,0.9982573355579671,0.9841017488076311,0.9778830963665087
Logistic Regression,3,0,0.969423025791013,0.9888474892089639,0.9951314268777791,0.9790547798066596,0.9599789362822538
Decision Tree (d=5),3,0,0.9732334047109208,0.991594423195355,0.9940249025715835,0.9896570495372891,0.957345971563981
Random Forest,3,0,0.9812597605413846,0.9964971614100058,0.9981356599863421,0.9701492537313433,0.9926276987888363
XGBoost,3,0,0.9845912770958475,0.9973828262044183,0.9989151931609579,0.9766839378238342,0.9926276987888363
LightGBM,3,0,0.9830242883259337,0.9971672457815923,0.9988262800001928,0.9751295336787564,0.9910479199578726
KAN Chebyshev,3,0,0.9759195554379465,0.995352662795831,0.99812230605296,0.9808510638297873,0.9710373880989994
Logistic Regression,1,1,0.96657824933687,0.9906704178961092,0.996094708650469,0.9743315508021391,0.9589473684210527
Decision Tree (d=5),1,1,0.977896138482024,0.9898267343717835,0.9924219567767438,0.9897574123989218,0.9663157894736842
Random Forest,1,1,0.9835637881554918,0.9975413435805942,0.998979085620482,0.975168132436627,0.9921052631578947
XGBoost,1,1,0.985090243264452,0.9977870033623825,0.9990923610054747,0.9791991679667187,0.9910526315789474
LightGBM,1,1,0.9848405645582854,0.9978261167913264,0.9991171263775882,0.9781931464174455,0.991578947368421
KAN Chebyshev,1,1,0.9780481354139117,0.9950854319632196,0.9979628431151737,0.9829877724614566,0.9731578947368421
Logistic Regression,2,1,0.9719326383319968,0.9920407670703879,0.9966026344662549,0.9869706840390879,0.957345971563981
Decision Tree (d=5),2,1,0.9713059801555377,0.9924813086931719,0.9947142861267988,0.9896174863387979,0.9536598209583992
Random Forest,2,1,0.9850668063924548,0.997345093909075,0.998853741511655,0.9801876955161627,0.9899947340705635
XGBoost,2,1,0.9860855867681806,0.9979032275759172,0.9991363007019329,0.9832460732984293,0.9889415481832543
LightGBM,2,1,0.9860709592641261,0.9979731657012463,0.9991656375169589,0.9842602308499475,0.9878883622959452
KAN Chebyshev,2,1,0.9774356251659145,0.9955589290416008,0.998172450972923,0.9855460385438972,0.9694576092680358
Logistic Regression,3,1,0.9701492537313433,0.991439946777725,0.9963213298737539,0.9821910415542364,0.9583991574512901
Decision Tree (d=5),3,1,0.9763612217795484,0.9907142508957916,0.993424799532013,0.984994640943194,0.9678778304370721
Random Forest,3,1,0.9858712715855573,0.9972379616527741,0.9984558245129254,0.9797191887675507,0.9921011058451816
XGBoost,3,1,0.9842849659507595,0.9977446443026008,0.999071662584146,0.9791558103178739,0.989468141126909
LightGBM,3,1,0.9827134625458355,0.9974253930394986,0.9989311791391153,0.9775924960917144,0.9878883622959452
KAN Chebyshev,3,1,0.9762982689747004,0.9968692779360303,0.9987184335796823,0.9876077586206896,0.9652448657187994
