seed,fold,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
42,1,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype
42,2,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype
42,3,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype
42,4,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype
42,5,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype
43,1,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype
43,2,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype
43,3,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype
43,4,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype
43,5,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype
44,1,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype
44,2,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,dst_bytes,src_pkts,dns_qtype
44,3,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,src_pkts,dst_bytes,dns_qtype
44,4,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_pkts,src_pkts,dst_bytes,dns_qtype
44,5,src_ip_bytes,dst_port,dst_ip_bytes,src_port,duration,src_bytes,dst_bytes,dst_pkts,src_pkts,dns_qtype
