dataset,feature,valore,frazione
TON_IoT,proto_h,tcp,0.799586
TON_IoT,proto_h,udp,0.199083
TON_IoT,proto_h,icmp,0.001331
TON_IoT,state_h,incomplete,0.329696
TON_IoT,state_h,closed,0.237914
TON_IoT,state_h,rejected,0.212525
TON_IoT,state_h,other,0.110556
TON_IoT,state_h,established,0.085077
TON_IoT,state_h,reset,0.024232
BoT-IoT,proto_h,udp,0.544207
BoT-IoT,proto_h,tcp,0.453265
BoT-IoT,proto_h,icmp,0.00247
BoT-IoT,proto_h,other,5.8e-05
BoT-IoT,state_h,incomplete,0.783668
BoT-IoT,state_h,reset,0.211303
BoT-IoT,state_h,other,0.00247
BoT-IoT,state_h,closed,0.001741
BoT-IoT,state_h,established,0.000818
