n_int,compilazione,L,f1_quant,delta_f1,agreement_pct,max_err_logit
-,diretta,8,0.943,-0.0243,94.582,5.405
8,ibrida,8,0.9431,-0.0241,94.537,5.556
-,diretta,16,0.9685,0.0013,99.751,2.14
8,ibrida,16,0.9686,0.0014,99.775,2.18
-,diretta,32,0.9678,0.0006,99.91,0.699
8,ibrida,32,0.9663,-0.0009,99.794,0.878
8,coeff-int16,-,0.9661,-0.0012,99.784,0.424
-,diretta,8,0.943,-0.0243,94.582,5.405
16,ibrida,8,0.943,-0.0242,94.57,5.408
-,diretta,16,0.9685,0.0013,99.751,2.14
16,ibrida,16,0.9685,0.0013,99.751,2.144
-,diretta,32,0.9678,0.0006,99.91,0.699
16,ibrida,32,0.9678,0.0006,99.908,0.67
16,coeff-int16,-,0.9672,0.0,100.0,0.058
