exp,modello_a,modello_b,unita,n_unita,media_a,dev_a,media_b,dev_b,differenza,dev_differenza,vince_a,pareggi,t,p_value,p_formattato,t_corretto,p_corretto,p_holm,valutazione_fissa,correzione
bot->bot,LightGBM,XGBoost,seed+fold,50,0.9971,0.0031,0.97791,0.00867,0.01919,0.00868,50/50,0,15.638,1.1073648366653075e-20,<1e-12,,,1.6610472549979612e-19,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,DecisionTree(d=5),XGBoost,seed+fold,50,0.99519,0.00338,0.97791,0.00867,0.01728,0.00793,50/50,0,15.413,2.0026894207630107e-20,<1e-12,,,2.803765189068215e-19,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,"KAN(cat,ML)",XGBoost,seed+fold,50,0.99714,0.00265,0.97791,0.00867,0.01922,0.00895,50/50,0,15.181,3.707269411112863e-20,<1e-12,,,4.819450234446721e-19,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,"KAN(cat,1L)",XGBoost,seed+fold,50,0.99341,0.00097,0.97791,0.00867,0.0155,0.00888,49/50,0,12.34,1.2002082587201348e-16,<1e-12,,,1.4402499104641617e-15,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,"KAN(cat,ML)",MLP(16),seed+fold,50,0.99714,0.00265,0.94257,0.03613,0.05457,0.03632,50/50,0,10.622,2.6121655774865865e-14,<1e-12,,,2.8733821352352453e-13,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,LightGBM,MLP(16),seed+fold,50,0.9971,0.0031,0.94257,0.03613,0.05453,0.03666,50/50,0,10.518,3.6639327937317804e-14,<1e-12,,,3.66393279373178e-13,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,DecisionTree(d=5),MLP(16),seed+fold,50,0.99519,0.00338,0.94257,0.03613,0.05262,0.03637,50/50,0,10.229,9.441347667141691e-14,<1e-12,,,8.497212900427523e-13,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,"KAN(cat,1L)",MLP(16),seed+fold,50,0.99341,0.00097,0.94257,0.03613,0.05084,0.03606,50/50,0,9.97,2.2237611409117002e-13,<1e-12,,,1.7790089127293601e-12,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,"KAN(cat,1L)","KAN(cat,ML)",seed+fold,50,0.99341,0.00097,0.99714,0.00265,-0.00372,0.00308,7/50,0,-8.544,2.849217663694871e-11,2.85e-11,,,1.9944523645864098e-10,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,"KAN(cat,1L)",LightGBM,seed+fold,50,0.99341,0.00097,0.9971,0.0031,-0.00369,0.00343,7/50,0,-7.599,7.88061342268225e-10,7.88e-10,,,4.72836805360935e-09,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,MLP(16),XGBoost,seed+fold,50,0.94257,0.03613,0.97791,0.00867,-0.03534,0.03679,1/50,0,-6.794,1.3850095702260948e-08,1.39e-08,,,6.925047851130474e-08,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,DecisionTree(d=5),LightGBM,seed+fold,50,0.99519,0.00338,0.9971,0.0031,-0.00191,0.00347,3/50,0,-3.895,0.00029764735129950235,0.0003,,,0.0011905894051980094,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,DecisionTree(d=5),"KAN(cat,1L)",seed+fold,50,0.99519,0.00338,0.99341,0.00097,0.00178,0.00361,34/50,0,3.481,0.0010592106894546695,0.0011,,,0.0031776320683640086,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,DecisionTree(d=5),"KAN(cat,ML)",seed+fold,50,0.99519,0.00338,0.99714,0.00265,-0.00195,0.00411,7/50,0,-3.349,0.0015642195759961056,0.0016,,,0.0031776320683640086,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
bot->bot,"KAN(cat,ML)",LightGBM,seed+fold,50,0.99714,0.00265,0.9971,0.0031,3e-05,0.00403,11/50,0,0.061,0.9517899361882132,0.9518,,,0.9517899361882132,False,"rho = n_test/n_train = 37.66 > 1: il training e' un sottocampione piccolo di un pool grande, i training set delle ripetizioni quasi non si sovrappongono e la correzione non modella questo regime"
ton->ton,"KAN(cat,1L)",LightGBM,seed+fold,50,0.97014,0.00116,0.9963,0.00037,-0.02615,0.00107,0/50,0,-172.133,7.760011326942265e-70,<1e-12,-46.848,2.3445516744895642e-42,3.5168275117343466e-41,False,"Nadeau-Bengio, rho = n_test/n_train = 0.25"
ton->ton,"KAN(cat,1L)",XGBoost,seed+fold,50,0.97014,0.00116,0.99474,0.00044,-0.0246,0.00113,0/50,0,-153.493,2.1104134868430942e-67,<1e-12,-41.775,5.629594695114552e-40,7.881432573160373e-39,False,"Nadeau-Bengio, rho = n_test/n_train = 0.25"
ton->ton,"KAN(cat,1L)","KAN(cat,ML)",seed+fold,50,0.97014,0.00116,0.99323,0.00067,-0.02309,0.00126,0/50,0,-129.709,7.918176785711796e-64,<1e-12,-35.302,1.6594126401365385e-36,2.1572364321775002e-35,False,"Nadeau-Bengio, rho = n_test/n_train = 0.25"
ton->ton,DecisionTree(d=5),"KAN(cat,1L)",seed+fold,50,0.98284,0.00147,0.97014,0.00116,0.01269,0.00116,50/50,0,77.5,6.364588731758941e-53,<1e-12,21.093,3.103606088908588e-26,3.724327306690306e-25,False,"Nadeau-Bengio, rho = n_test/n_train = 0.25"
ton->ton,"KAN(cat,1L)",MLP(16),seed+fold,50,0.97014,0.00116,0.98787,0.00157,-0.01773,0.00178,0/50,0,-70.496,6.338497351613471e-51,<1e-12,-19.187,1.967848714741901e-24,2.164633586216091e-23,False,"Nadeau-Bengio, rho = n_test/n_train = 0.25"
ton->ton,DecisionTree(d=5),LightGBM,seed+fold,50,0.98284,0.00147,0.9963,0.00037,-0.01346,0.00136,0/50,0,-69.747,1.0641749137991938e-50,<1e-12,-18.983,3.1246181855083277e-24,3.124618185508328e-23,False,"Nadeau-Bengio, rho = n_test/n_train = 0.25"
ton->ton,DecisionTree(d=5),XGBoost,seed+fold,50,0.98284,0.00147,0.99474,0.00044,-0.0119,0.00133,0/50,0,-63.422,1.0673887097539927e-48,<1e-12,-17.261,1.8179030736071144e-22,1.636112766246403e-21,False,"Nadeau-Bengio, rho = n_test/n_train = 0.25"
ton->ton,DecisionTree(d=5),"KAN(cat,ML)",seed+fold,50,0.98284,0.00147,0.99323,0.00067,-0.01039,0.00134,0/50,0,-54.839,1.2039759542112295e-45,<1e-12,-14.925,7.383852050044492e-20,5.907081640035594e-19,False,"Nadeau-Bengio, rho = n_test/n_train = 0.25"
ton->ton,"KAN(cat,ML)",LightGBM,seed+fold,50,0.99323,0.00067,0.9963,0.00037,-0.00307,0.00055,0/50,0,-39.694,6.419932933866514e-39,<1e-12,-10.803,1.4555002808702884e-14,1.0188501966092019e-13,False,"Nadeau-Bengio, rho = n_test/n_train = 0.25"
