edge,tipo,min,max,escursione,media,source_split,n_rows
src_ip_bytes,numerica,-3735438,2120674,5856112,196628.96826468603,train,168834
src_pkts,numerica,-3151200,2424878,5576078,955267.9153014204,train,168834
dst_port,numerica,-2861060,2037931,4898991,444447.92827274126,train,168834
dst_pkts,numerica,-2931752,1709294,4641046,-723444.7830117156,train,168834
dst_ip_bytes,numerica,-2136592,2252454,4389046,-226535.42907826623,train,168834
duration,numerica,-1502359,2689641,4192000,59762.27407986543,train,168834
dns_qtype,numerica,-1398704,1497442,2896146,1142568.136453558,train,168834
proto (cat),categorica,-1184064,1342644,2526708,838104.6707416753,train,168834
src_bytes,numerica,-1114576,1076593,2191169,677722.8051458829,train,168834
dst_bytes,numerica,-1100171,975173,2075344,497632.34028098604,train,168834
dns_rejected (cat),categorica,-1152144,743904,1896048,15925.40772593198,train,168834
src_port,numerica,-1152113,727281,1879394,-296103.84580712416,train,168834
conn_state (cat),categorica,-788670,310500,1099170,-83358.41963111695,train,168834
service (cat),categorica,-635508,365292,1000800,141331.21262304985,train,168834
