model,dst,ratio,mean,std
DecisionTree(d=5),bot,5.0,0.9914,0.0056
DecisionTree(d=5),bot,10.0,0.9901,0.0086
DecisionTree(d=5),bot,20.0,0.9855,0.0089
DecisionTree(d=5),bot,50.0,0.9857,0.0079
DecisionTree(d=5),bot,100.0,0.9889,0.0068
DecisionTree(d=5),ton,5.0,0.9629,0.0052
DecisionTree(d=5),ton,10.0,0.9651,0.0061
DecisionTree(d=5),ton,20.0,0.9633,0.0049
DecisionTree(d=5),ton,50.0,0.9622,0.0052
DecisionTree(d=5),ton,100.0,0.963,0.0048
"KAN(cat,1L)",bot,5.0,0.9857,0.0136
"KAN(cat,1L)",bot,10.0,0.9827,0.0127
"KAN(cat,1L)",bot,20.0,0.9852,0.0127
"KAN(cat,1L)",bot,50.0,0.9901,0.0107
"KAN(cat,1L)",bot,100.0,0.9875,0.011
"KAN(cat,1L)",ton,5.0,0.9438,0.0018
"KAN(cat,1L)",ton,10.0,0.943,0.0018
"KAN(cat,1L)",ton,20.0,0.9423,0.0017
"KAN(cat,1L)",ton,50.0,0.9422,0.0016
"KAN(cat,1L)",ton,100.0,0.9431,0.0017
"KAN(cat,ML)",bot,5.0,0.989,0.0055
"KAN(cat,ML)",bot,10.0,0.9871,0.0097
"KAN(cat,ML)",bot,20.0,0.9878,0.0103
"KAN(cat,ML)",bot,50.0,0.9891,0.0056
"KAN(cat,ML)",bot,100.0,0.9845,0.0078
"KAN(cat,ML)",ton,5.0,0.9781,0.0034
"KAN(cat,ML)",ton,10.0,0.9779,0.0028
"KAN(cat,ML)",ton,20.0,0.9784,0.0025
"KAN(cat,ML)",ton,50.0,0.9777,0.0021
"KAN(cat,ML)",ton,100.0,0.978,0.0024
LightGBM,bot,5.0,0.993,0.0041
LightGBM,bot,10.0,0.9904,0.0052
LightGBM,bot,20.0,0.9891,0.0078
LightGBM,bot,50.0,0.9872,0.007
LightGBM,bot,100.0,0.9859,0.0079
LightGBM,ton,5.0,0.9807,0.0032
LightGBM,ton,10.0,0.9795,0.0042
LightGBM,ton,20.0,0.978,0.0044
LightGBM,ton,50.0,0.9741,0.0047
LightGBM,ton,100.0,0.9727,0.005
MLP(16),bot,5.0,0.9631,0.0201
MLP(16),bot,10.0,0.9611,0.0208
MLP(16),bot,20.0,0.9355,0.0589
MLP(16),bot,50.0,0.9364,0.0275
MLP(16),bot,100.0,0.9256,0.0322
MLP(16),ton,5.0,0.9211,0.0114
MLP(16),ton,10.0,0.9098,0.0086
MLP(16),ton,20.0,0.8997,0.0214
MLP(16),ton,50.0,0.842,0.0524
MLP(16),ton,100.0,0.7836,0.0357
XGBoost,bot,5.0,0.9928,0.0053
XGBoost,bot,10.0,0.9807,0.0133
XGBoost,bot,20.0,0.9725,0.0129
XGBoost,bot,50.0,0.9637,0.0107
XGBoost,bot,100.0,0.9598,0.0105
XGBoost,ton,5.0,0.9768,0.0035
XGBoost,ton,10.0,0.9749,0.004
XGBoost,ton,20.0,0.9706,0.0042
XGBoost,ton,50.0,0.9599,0.0055
XGBoost,ton,100.0,0.9549,0.006
