modello,dominio,contro,n_seed,differenza_media,dev,vince_in
DecisionTree(d=5),bot,1:10,10,0.0013,0.00579,3/10
DecisionTree(d=5),bot,1:20,10,0.00597,0.00815,5/10
DecisionTree(d=5),bot,1:50,10,0.00574,0.00776,5/10
DecisionTree(d=5),bot,1:100,10,0.00251,0.00586,3/10
DecisionTree(d=5),ton,1:10,10,-0.00219,0.0055,4/10
DecisionTree(d=5),ton,1:20,10,-0.00042,0.00232,5/10
DecisionTree(d=5),ton,1:50,10,0.00074,0.00312,6/10
DecisionTree(d=5),ton,1:100,10,-8e-05,0.00225,6/10
"KAN(cat,1L)",bot,1:10,10,0.00297,0.0066,9/10
"KAN(cat,1L)",bot,1:20,10,0.00045,0.00611,8/10
"KAN(cat,1L)",bot,1:50,10,-0.00447,0.00906,5/10
"KAN(cat,1L)",bot,1:100,10,-0.00178,0.00759,6/10
"KAN(cat,1L)",ton,1:10,10,0.00079,0.00099,9/10
"KAN(cat,1L)",ton,1:20,10,0.00152,0.00155,8/10
"KAN(cat,1L)",ton,1:50,10,0.00159,0.0018,8/10
"KAN(cat,1L)",ton,1:100,10,0.00069,0.0021,7/10
"KAN(cat,ML)",bot,1:10,10,0.00189,0.00884,6/10
"KAN(cat,ML)",bot,1:20,10,0.00124,0.00748,4/10
"KAN(cat,ML)",bot,1:50,10,-0.00012,0.0082,4/10
"KAN(cat,ML)",bot,1:100,10,0.00446,0.00619,6/10
"KAN(cat,ML)",ton,1:10,10,0.00025,0.00261,5/10
"KAN(cat,ML)",ton,1:20,10,-0.00029,0.00339,5/10
"KAN(cat,ML)",ton,1:50,10,0.0004,0.0027,7/10
"KAN(cat,ML)",ton,1:100,10,0.00012,0.00292,6/10
LightGBM,bot,1:10,10,0.00258,0.00462,3/10
LightGBM,bot,1:20,10,0.00388,0.00776,4/10
LightGBM,bot,1:50,10,0.0058,0.00656,6/10
LightGBM,bot,1:100,10,0.0071,0.00791,6/10
LightGBM,ton,1:10,10,0.00126,0.00199,6/10
LightGBM,ton,1:20,10,0.00274,0.00255,9/10
LightGBM,ton,1:50,10,0.00665,0.00363,10/10
LightGBM,ton,1:100,10,0.00802,0.00359,10/10
MLP(16),bot,1:10,10,0.00195,0.01075,7/10
MLP(16),bot,1:20,10,0.02756,0.06548,7/10
MLP(16),bot,1:50,10,0.02663,0.02989,8/10
MLP(16),bot,1:100,10,0.03746,0.03523,9/10
MLP(16),ton,1:10,10,0.01129,0.00965,8/10
MLP(16),ton,1:20,10,0.02135,0.02388,8/10
MLP(16),ton,1:50,10,0.07912,0.0524,10/10
MLP(16),ton,1:100,10,0.13746,0.03569,10/10
XGBoost,bot,1:10,10,0.01201,0.00933,8/10
XGBoost,bot,1:20,10,0.02024,0.00939,10/10
XGBoost,bot,1:50,10,0.0291,0.00943,10/10
XGBoost,bot,1:100,10,0.03294,0.0081,10/10
XGBoost,ton,1:10,10,0.00191,0.00193,10/10
XGBoost,ton,1:20,10,0.00618,0.00281,10/10
XGBoost,ton,1:50,10,0.01683,0.00637,10/10
XGBoost,ton,1:100,10,0.02189,0.00525,10/10
