seed,n_normal,n_attack,n_per_domain,n_joint,train_pool_ton_normal,train_pool_bot_normal,train_pool_ton_attack,train_pool_bot_attack
42,382,1910,2292,4584,40000,382,128834,2934435
43,382,1910,2292,4584,40000,382,128834,2934435
44,382,1910,2292,4584,40000,382,128834,2934435
45,382,1910,2292,4584,40000,382,128834,2934435
46,382,1910,2292,4584,40000,382,128834,2934435
47,382,1910,2292,4584,40000,382,128834,2934435
48,382,1910,2292,4584,40000,382,128834,2934435
49,382,1910,2292,4584,40000,382,128834,2934435
50,382,1910,2292,4584,40000,382,128834,2934435
51,382,1910,2292,4584,40000,382,128834,2934435
