accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,fpr,fnr,model,seed,dst,fit_seconds,n_train,n_test,features,unseen_proto_h,unseen_state_h,ratio,variant,n_normal,n_attack,n_per_domain,n_joint,train_pool_ton_normal,train_pool_bot_normal,train_pool_ton_attack,train_pool_bot_attack
0.9387097538439669,0.9448087118507249,0.9857021053321965,0.9332174237014499,0.9587420059646269,0.844721516396241,0.9827188472166165,0.99159187273024,9564,436,2151,30058,0.0436,0.0667825762985501,"KAN(cat,1L)",42,ton,0.3,4584,42209,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9953986956610626,0.9819116209028316,0.9999958917616126,0.9954021891740843,0.997693752775216,0.15995852472712777,0.9976997386392742,0.9999996981834443,92,3,3373,730237,0.031578947368421054,0.004597810825915677,"KAN(cat,1L)",42,bot,4.9,4584,733705,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9862351631168708,0.9795346207581732,0.9897188158057724,0.9922692415163463,0.9909923877149192,0.9618358384445843,0.9957902077059207,0.9982674752704472,9668,332,249,31960,0.0332,0.007730758483653637,"KAN(cat,ML)",42,ton,2.1,4584,42209,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.995721713767795,0.9978605798721392,1.0,0.9957211597442783,0.9978559929402813,0.17102541896420548,0.9998478325282543,0.9999999781973612,95,0,3139,730471,0.0,0.004278840255721705,"KAN(cat,ML)",42,bot,7.0,4584,733705,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9621644672937051,0.9617974774131454,0.9876075183179357,0.9624949548262908,0.9748895422884007,0.8994581356212163,0.9846886305070012,0.9916366237213947,9611,389,1208,31001,0.0389,0.037505045173709214,DecisionTree(d=5),42,ton,0.1,4584,42209,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.995314193033985,0.9923943167852702,0.9999986304634237,0.9953149493600142,0.9976512928136938,0.16191064774670483,0.9900267458903663,0.9999974456099139,94,1,3437,730173,0.010526315789473684,0.0046850506399858235,DecisionTree(d=5),42,bot,1.7,4584,733705,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9905470397308631,0.9856696513396876,0.9926894244470603,0.9949393026793754,0.9938130901986324,0.9738013108875035,0.9969302415473935,0.9984138265206951,9764,236,163,32046,0.0236,0.00506069732062467,LightGBM,42,ton,0.9,4584,42209,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.996444074934749,0.9929593308935839,0.999998632016558,0.9964449775766415,0.998218642057663,0.18519670655940917,0.9997894048106731,0.9999999692277619,94,1,2608,731002,0.010526315789473684,0.0035550224233584604,LightGBM,42,bot,9.2,4584,733705,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9854533393352128,0.9746093638424043,0.985852683376903,0.9952187276848086,0.9905135652926271,0.9595365713796433,0.9971621782731535,0.9988510602217129,9540,460,154,32055,0.046,0.0047812723151914064,XGBoost,42,ton,0.5,4584,42209,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9984557826374361,0.9834403623322014,0.9999959043418073,0.9984596720328239,0.9992271977289299,0.2697944109280102,0.9997728034184232,0.9999999670972033,92,3,1130,732480,0.031578947368421054,0.00154032796717602,XGBoost,42,bot,3.2,4584,733705,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
0.9625435333696605,0.9330167360054643,0.9627984285282563,0.9891334720109286,0.9757882969111319,0.8947491757636609,0.98947759787637,0.996275586436701,8769,1231,350,31859,0.1231,0.010866527989071378,MLP(16),42,ton,0.4,4584,42209,"bytes_src,payload_mean_src,bytes_total,byte_asymmetry,byte_rate,flow_rate,duration,pkt_asymmetry,pkts_total,bytes_dst",0.0,0.0,5.0,cat,382,1910,2292,4584,40000,382,128834,2934435
