dst,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,fpr_mean,fpr_std,fnr_mean,fnr_std,fit_seconds_mean,fit_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,unseen_proto_h_mean,unseen_proto_h_std,unseen_state_h_mean,unseen_state_h_std,ratio_mean,ratio_std,n_normal_mean,n_normal_std,n_attack_mean,n_attack_std,n_per_domain_mean,n_per_domain_std,n_joint_mean,n_joint_std,train_pool_ton_normal_mean,train_pool_ton_normal_std,train_pool_bot_normal_mean,train_pool_bot_normal_std,train_pool_ton_attack_mean,train_pool_ton_attack_std,train_pool_bot_attack_mean,train_pool_bot_attack_std,n_runs
bot,DecisionTree(d=5),0.9962384064440067,0.0006940545955737518,0.9865415117311006,0.009421784875510706,0.9999969889585838,2.399084574723985e-06,0.996240918199043,0.0006927581602424449,0.9981153117045516,0.0003485463059598904,0.17973460893325505,0.01572021881347757,0.992182990532041,0.005833147486762205,0.9999979745493255,1.5521038463571132e-06,92.8,1.751190071541826,2.2,1.7511900715418263,2757.7,508.2143139354586,730852.3,508.2143139354663,0.023157894736842106,0.018433579700440277,0.0037590818009569115,0.0006927581602424428,1.7100000000000002,0.03162277660168381,4584.0,0.0,733705.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
bot,"KAN(cat,1L)",0.9943993839485896,0.001099692965222982,0.982464395609599,0.010997829235877745,0.9999961635338759,2.9431770037661343e-06,0.9944024754297243,0.0011015704433337532,0.9971911989727384,0.0005530176155136187,0.14724944386153818,0.012658890386696351,0.9973021797757162,0.0005268565089980429,0.9999996466129499,7.021677108030317e-08,92.2,2.1499353995462767,2.8,2.1499353995462798,4106.4,808.1230929340736,729503.6,808.1230929340799,0.02947368421052631,0.022630898942592417,0.005597524570275759,0.001101570443333752,4.96,0.22211108331943566,4584.0,0.0,733705.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
bot,"KAN(cat,ML)",0.996357119005595,0.0003920952318726205,0.9923895996653893,0.005679401954706282,0.9999984954018087,1.5050540625939586e-06,0.9963581466991999,0.0003930217444570379,0.998174966861629,0.00019682481269557526,0.18342648323573368,0.00791119886891797,0.999754168821954,0.00013468278850043333,0.999999966523861,1.7997565008176813e-08,93.9,1.1005049346146136,1.1,1.1005049346146119,2671.7,288.32468195113336,730938.3,288.3246819511297,0.011578947368421053,0.011584262469627493,0.0036418533008001526,0.0003930217444570458,6.74,0.11737877907772688,4584.0,0.0,733705.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
bot,LightGBM,0.9964428482837107,0.00020575558701414715,0.9950637080221171,0.0027050199031062538,0.9999991792272903,7.06408726222816e-07,0.9964432055179182,0.00020588213340567733,0.9982180159046941,0.00010325462800949354,0.1861252994577662,0.0052251181367932555,0.9998654569795079,6.089356830637562e-05,0.999999979415163,9.66903316716391e-09,94.4,0.5163977794943252,0.6,0.5163977794943222,2609.3,151.03719188773786,731000.7,151.03719188774016,0.00631578947368421,0.005435766099940234,0.0035567944820817598,0.00020588213340567578,8.440000000000001,0.5581716183715861,4584.0,0.0,733705.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
bot,MLP(16),0.995610497406996,0.0006165016075296536,0.9493901822207269,0.01656678616247115,0.9999874046414797,4.317478568577967e-06,0.9956224697046114,0.0006171601081740062,0.9978000770364661,0.00030986848525156303,0.1536287139969707,0.009553066069852996,0.9825346387260117,0.014593406294750491,0.9999934397978294,1.0984671014290626e-05,85.8,3.1552425509864626,9.2,3.155242550986462,3211.4,452.75482695751936,730398.6,452.7548269575525,0.0968421052631579,0.03321307948406802,0.0043775302953885575,0.0006171601081739883,2.35,0.08498365855987969,4584.0,0.0,733705.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
bot,XGBoost,0.9966440190539794,0.0006581451682967933,0.992533068265872,0.004374477605724298,0.9999984960389708,1.1958631996063336e-06,0.9966450839001648,0.0006590982497363148,0.9983188754788959,0.00032997895047472424,0.19395060911815068,0.027030870574336993,0.9998378300818089,6.222460163017156e-05,0.9999999758325592,9.813670709558383e-09,93.9,0.8755950357709134,1.1,0.8755950357709131,2461.2,483.5210669890425,731148.8,483.5210669890176,0.011578947368421053,0.009216789850220139,0.003354916099835062,0.0006590982497362939,3.4,0.21081851067789187,4584.0,0.0,733705.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
ton,DecisionTree(d=5),0.9752351394252411,0.007415610888865484,0.9669383484429819,0.005568085933918516,0.984830706871438,0.003238937849297864,0.9827066968859637,0.010828979755532687,0.9837311355803777,0.004991003447063896,0.932169098088567,0.01890760703190988,0.9767254380763142,0.009816435256800612,0.9874102116067075,0.0056525737449292955,9511.7,107.89815156484875,488.3,107.89815156484893,557.0,348.79060894595324,31652.0,348.7906089459533,0.04883,0.010789815156484892,0.01729330311403645,0.010828979755532717,0.1,0.0,4584.0,0.0,42209.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
ton,"KAN(cat,1L)",0.9366011987964653,0.0022121211305660415,0.9432340426588842,0.0016178543727253458,0.9854832907426407,0.0009155129948384188,0.9306280853177682,0.0031743902291940553,0.9572672520696253,0.0015635521624350291,0.8400506784929662,0.0046992964343120815,0.9811175010090348,0.0024194454651024926,0.991051770938126,0.0013211820375705903,9558.4,28.95667261425085,441.6,28.956672614250564,2234.4,102.24393489211093,29974.6,102.24393489211077,0.04416,0.002895667261425054,0.06937191468223167,0.0031743902291940422,0.3,0.0,4584.0,0.0,42209.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
ton,"KAN(cat,ML)",0.9866165983558008,0.0009428124334347566,0.9810946536682295,0.0014487370711575363,0.9908804485569809,0.0010553313979194353,0.9915893073364588,0.0014647834198092107,0.9912336218436225,0.0006214148389778561,0.9629690139609235,0.0025737087781170687,0.9963004477009532,0.0008183693107001425,0.9983242164971401,0.0006326266192171826,9706.0,34.57680661303968,294.0,34.576806613039835,270.9,47.17920916863463,31938.1,47.17920916863483,0.0294,0.003457680661303983,0.008410692663541245,0.0014647834198092033,2.1100000000000003,0.03162277660168379,4584.0,0.0,42209.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
ton,LightGBM,0.9895756829112274,0.0009427165127747939,0.9845849902201248,0.0016958403464728516,0.9922852364979932,0.0012017909917674153,0.9940699804402497,0.0013503063475260675,0.9931756715710174,0.0006180921217661313,0.9711294290442378,0.0026008074415725417,0.997123382750163,0.0006640250736797491,0.9986908250075299,0.0003457602178094913,9751.0,39.27679552441481,249.0,39.2767955244145,191.0,43.49201714746691,32018.0,43.492017147467465,0.0249,0.003927679552441449,0.0059300195597503805,0.0013503063475260616,0.9400000000000001,0.05163977794943224,4584.0,0.0,42209.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
ton,MLP(16),0.9598758558601246,0.0022812741786756904,0.9295863295973176,0.008295879496515246,0.9613918425439956,0.006721686715454646,0.9871526591946351,0.007840539539773051,0.9740548893180309,0.0015275721533615412,0.8875663025883481,0.006147766553190799,0.9865276379272874,0.0034253442953710946,0.994665777419949,0.0021657835842647604,8720.2,235.6889664131285,1279.8,235.68896641312872,413.8,252.53593803654954,31795.2,252.5359380365498,0.12798,0.023568896641312866,0.01284734080536496,0.007840539539773032,0.37,0.04830458915396481,4584.0,0.0,42209.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
ton,XGBoost,0.9872870714776469,0.0011146094210429866,0.9803893557701263,0.0030290643172348835,0.9898850271210909,0.0021776551840364602,0.9934987115402528,0.0015766093739087025,0.9916857608717097,0.0007215456478017404,0.9647449637192222,0.003126376017127492,0.9973201404886833,0.00040548014452823546,0.9989289030286905,0.00017397243741579143,9672.8,71.60043451140653,327.2,71.60043451140659,209.4,50.78101132422543,31999.6,50.781011324225645,0.03272,0.007160043451140659,0.006501288459747276,0.0015766093739087033,0.6900000000000001,0.14491376746189438,4584.0,0.0,42209.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
unsw,DecisionTree(d=5),0.3907402017285474,0.06730088790891833,0.4081494187601117,0.06191028680512344,0.5294140442858369,0.0746651594788637,0.3455612031116212,0.10310662539201208,0.414647277193066,0.09548047878113036,-0.1821890603761723,0.12169310401593227,0.37135933722413317,0.06976884742553774,0.610720691860486,0.03513624159126517,43778.6,8789.398642051052,49221.4,8789.398642051052,107768.4,16978.877323178807,56904.6,16978.877323178807,0.5292623655913978,0.09450966281775326,0.6544387968883788,0.10310662539201211,6.01,1.7349031353043576,4584.0,0.0,257673.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
unsw,"KAN(cat,1L)",0.3675383140647254,0.01704819985149397,0.39908355658124417,0.02281794038641673,0.5101005713292605,0.025732982073742618,0.28567464004420884,0.008889969977849816,0.366054422635617,0.011090615493418728,-0.20187684639051545,0.04437298758772398,0.32416377545293573,0.05672857157153232,0.5492503600681048,0.01626147189976656,47661.8,4190.021766053251,45338.2,4190.021766053251,117630.1,1463.9380261624626,47042.9,1463.9380261624617,0.4875075268817204,0.045053997484443525,0.7143253599557912,0.008889969977849799,15.180000000000001,5.2384900284125555,4584.0,0.0,257673.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
unsw,"KAN(cat,ML)",0.3694787579606711,0.06985129706449876,0.3629313145622125,0.061436643232030824,0.5036697798743959,0.06081614475175397,0.38647015600614554,0.11966582596118479,0.433403320582096,0.0869426794714461,-0.26629891193583555,0.11543726213704966,0.3300548316543134,0.05549898958255683,0.5609925227204855,0.023087004344746396,31563.5,9948.305564824148,61436.5,9948.305564824148,101031.8,19705.730558506184,63641.2,19705.730558506184,0.6606075268817204,0.10697102757875429,0.6135298439938545,0.11966582596118477,20.79,7.391504131997311,4584.0,0.0,257673.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
unsw,LightGBM,0.39283122407081844,0.10215894817710405,0.38836293998487326,0.07930007114077882,0.5194038476223215,0.07036768764055033,0.40442695523856376,0.1814305693756801,0.4463283457120342,0.12662978576142092,-0.21352143854870825,0.16612594271165373,0.3701559737711538,0.0722720033384448,0.5873444791921869,0.018180597912355892,34623.8,10239.167585523954,58376.2,10239.167585523952,98074.8,29876.71615080137,66598.2,29876.71615080137,0.6277010752688172,0.11009857618842962,0.5955730447614364,0.18143056937568008,22.45,7.806727867679263,4584.0,0.0,257673.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
unsw,MLP(16),0.3212063351612315,0.007305298393926704,0.31187809034248326,0.009428291006653055,0.458787730674202,0.0071720849861103995,0.3454142452010955,0.005067558275532826,0.39408916496688223,0.00515941868043748,-0.3616793908222168,0.01796947255362617,0.2777359483039342,0.03875295558525635,0.5212199729517447,0.019685993365230324,25885.8,1691.547273290869,67114.2,1691.5472732908706,107792.6,834.4900239068163,56880.4,834.4900239068172,0.721658064516129,0.01818868035796632,0.6545857547989045,0.005067558275532816,8.440000000000001,3.2806503420307793,4584.0,0.0,257673.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
unsw,XGBoost,0.41726995067391615,0.053121760345072475,0.4192526400218772,0.04281890554686158,0.5549038257227157,0.05332276669549262,0.41212463488246404,0.10304968292657303,0.4693193665194942,0.08371792873237285,-0.15787805434656008,0.08406037884677646,0.4139526669635078,0.07486166462751652,0.5962611941714523,0.022904423282387416,39653.4,8077.75718597406,53346.6,8077.75718597406,96807.2,16969.500436567563,67865.8,16969.500436567567,0.5736193548387096,0.08685760415025873,0.5878753651175359,0.10304968292657302,9.83,3.2451844665938823,4584.0,0.0,257673.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
