dst,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,tn_mean,tn_std,fp_mean,fp_std,fn_mean,fn_std,tp_mean,tp_std,fpr_mean,fpr_std,fnr_mean,fnr_std,fit_seconds_mean,fit_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,unseen_proto_h_mean,unseen_proto_h_std,unseen_state_h_mean,unseen_state_h_std,ratio_mean,ratio_std,n_normal_mean,n_normal_std,n_attack_mean,n_attack_std,n_per_domain_mean,n_per_domain_std,n_joint_mean,n_joint_std,train_pool_ton_normal_mean,train_pool_ton_normal_std,train_pool_bot_normal_mean,train_pool_bot_normal_std,train_pool_ton_attack_mean,train_pool_ton_attack_std,train_pool_bot_attack_mean,train_pool_bot_attack_std,n_runs
bot,DecisionTree(d=5),0.994891543604037,0.004375710348328852,0.9927092123378334,0.007760602869954736,0.9999987689868192,2.08411436364869e-06,0.994892108886193,0.004376802562022352,0.9974345344395218,0.0022114534873132535,0.17189379081923817,0.0315285615105361,0.9972498896947253,0.003128067680635706,0.9999993226119385,8.315404826778125e-07,94.1,1.5238839267549946,0.9,1.5238839267549948,3747.2,3210.866127525234,729862.8,3210.8661275252375,0.009473684210526316,0.01604088343952626,0.005107891113807063,0.004376802562022374,1.34,0.05163977794943219,4584.0,0.0,733705.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
bot,"KAN(cat,1L)",0.9954098718149664,8.702193883753688e-05,0.9803384668033137,0.010234298477126647,0.9999954810495074,2.6652159204851623e-06,0.9954137757118906,8.763472263272611e-05,0.9976993665340238,4.371833562288605e-05,0.1596495205945134,0.0033615457766609054,0.9983263077542276,0.0005787340963401347,0.9999997793861443,7.660441516059657e-08,91.7,1.9465068427541905,3.3,1.946506842754191,3364.5,64.28970887060125,730245.5,64.28970887059803,0.034736842105263156,0.02048954571320201,0.004586224288109486,8.763472263273575e-05,3.22,0.09189365834726804,4584.0,0.0,733705.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
bot,"KAN(cat,ML)",0.9963473057972891,0.0005273450833602048,0.9950159305926926,0.0036684089328634885,0.9999991791663458,9.564282639347955e-07,0.9963476506590695,0.0005274886040050853,0.9981700124114561,0.00026475160602669955,0.1846368323172512,0.011687875970968974,0.9997129637933249,0.0002679465100375182,0.9999999604924948,3.609148404395265e-08,94.4,0.6992058987801008,0.6,0.6992058987801011,2679.4,386.97091478415905,730930.6,386.97091478415757,0.00631578947368421,0.0073600620924221165,0.003652349340930467,0.0005274886040050697,5.7,0.08164965809277261,4584.0,0.0,733705.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
bot,LightGBM,0.9964094561165592,0.00019024494403916713,0.9960995050431931,0.0036592183496568643,0.9999994528254895,9.564514215712017e-07,0.9964095364021756,0.00019048733750466764,0.9982012587161915,9.547615185941731e-05,0.18562805870112822,0.00465697735365785,0.9998461774110581,7.562181808475756e-05,0.9999999769167773,1.1679243500339215e-08,94.6,0.6992058987801012,0.4,0.6992058987801011,2634.0,139.74341566679348,730976.0,139.74341566679502,0.004210526315789474,0.007360062092422116,0.0035904635978244574,0.00019048733750465986,8.73,0.6165315167216604,4584.0,0.0,733705.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
bot,MLP(16),0.9956040915626853,0.0006755873392986629,0.9457032454502212,0.01509288231139629,0.9999864465464888,3.946333875154075e-06,0.995617017216232,0.0006767556712871719,0.9977968442408655,0.0003395933241356334,0.15240033539017456,0.009403898826295035,0.9802912052079874,0.014800186279161584,0.9999964758577604,3.1124840359767667e-06,85.1,2.8848262031225067,9.9,2.884826203122507,3215.4,496.4747280129732,730394.6,496.47472801297477,0.10421052631578946,0.030366591611815867,0.004382982783767942,0.0006767556712871593,1.8699999999999999,0.06749485577105525,4584.0,0.0,733705.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
bot,XGBoost,0.9966166238474591,0.0006618535800525129,0.9925193688888188,0.006119949160802761,0.9999984960341161,1.6363235512167988e-06,0.9966176851460584,0.0006628602510294227,0.9983051287122466,0.0003318380906771951,0.19321607196448756,0.02716468060586653,0.9998107563247072,8.79209883457221e-05,0.9999999723212449,1.3100783541411492e-08,93.9,1.1972189997378666,1.1,1.1972189997378648,2481.3,486.28090875770795,731128.7,486.2809087577156,0.011578947368421053,0.012602305260398575,0.003382314853941468,0.0006628602510294406,2.85,0.17159383568311662,4584.0,0.0,733705.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
cic,DecisionTree(d=5),0.7253151091045547,0.12076492570027995,0.41441611029809805,0.07170793629352333,0.9200689150389323,0.014526690397338289,0.7715945,0.1284550626018903,0.8348887098254947,0.08362467921520082,-0.09296209916753904,0.07738884661566219,0.48527010710419,0.2534145280958481,0.943584140677155,0.02781513401282813,1586.0,1132.7452395740968,26123.0,1132.7452395740963,91362.2,51382.02504075612,308637.8,51382.02504075612,0.9427622794038039,0.040880047622580996,0.22840549999999998,0.1284550626018903,2.7800000000000002,0.07888106377466143,4584.0,0.0,427709.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
cic,"KAN(cat,1L)",0.8680474341199274,0.01974222410729385,0.49739515217979713,0.01073375377397146,0.9348475302273176,0.0014071431694707866,0.9232215,0.021136778314113994,0.9289024095621455,0.01133230651832564,-0.002635675186550395,0.020562333014636624,0.553573744045256,0.0660491054046574,0.9431413768667956,0.015232419588483034,1983.1,158.7061925557902,25725.9,158.70619255579115,30711.4,8454.711325645601,369288.6,8454.711325645603,0.9284311956404057,0.005727604480702677,0.0767785,0.021136778314114,6.36,0.14298407059684803,4584.0,0.0,427709.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
cic,"KAN(cat,ML)",0.8114989396996556,0.11593338832813525,0.500242755666029,0.05304507559103264,0.934199541536754,0.008764276154360259,0.8578315,0.12572586418584594,0.8902346361797495,0.07756369649793825,0.021592319230143663,0.07639705248084376,0.4502002547953733,0.10808011389921235,0.9144687934965476,0.024918844361975532,3952.8,1217.6493565700905,23756.2,1217.6493565700905,56867.4,50290.34567433837,343132.6,50290.34567433838,0.8573459886679418,0.04394418263272188,0.1421685,0.12572586418584594,9.459999999999999,0.1577621275493231,4584.0,0.0,427709.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
cic,LightGBM,0.8282633753322937,0.08538192043410153,0.49275356348569055,0.04054354292281,0.9336771775380885,0.006200104378266581,0.8782062500000001,0.09221713809634606,0.9030212709835036,0.05381051563136285,0.0021661815076200806,0.05576102292161262,0.44377107173661984,0.07653418184619576,0.9258161215551418,0.017904231057600726,2973.2,648.5784112623203,24735.8,648.5784112623201,48717.5,36886.85523853842,351282.5,36886.85523853841,0.892699123028619,0.02340677798774119,0.12179375,0.09221713809634605,17.61,1.0397114984456013,4584.0,0.0,427709.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,382.0,0.0,1910.0,0.0,2292.0,0.0,4584.0,0.0,40000.0,0.0,382.0,0.0,128834.0,0.0,2934435.0,0.0,10
