model,accuracy,precision,recall,f1,roc_auc,pr_auc,inference_ms_per_1k,model_size_mb,_train_s,space
Logistic Regression,0.9844074025462659,0.9902928983113688,0.9896924579782397,0.9899925871015567,0.9944630005406551,0.998091461025885,7.524100000591716,0.015893936157226562,6.7,95feat
Decision Tree,0.9910486940543378,0.9913273506563086,0.997237848216391,0.9942738157209786,0.9860317963951005,0.9922489905243291,7.696330000908347,0.019458770751953125,2.5,95feat
Random Forest,0.9986349914686967,0.9987545861523444,0.9994947283322666,0.9991245201697084,0.9999791913967475,0.999993708636057,67.34356000088155,21.894389152526855,11.9,95feat
XGBoost,0.9983199894999344,0.9986533346799986,0.9991915653316267,0.9989223775046304,0.9999750469030885,0.9999929344366544,24.782629999390338,0.7649040222167969,6.2,95feat
LightGBM,0.9988187426171413,0.9989563695125235,0.9995284131101155,0.9992423094408244,0.9999877427952154,0.9999965238151409,23.204240000632126,1.375227928161621,5.7,95feat
Logistic Regression,0.941593384958656,0.9439379243452958,0.9834607740761949,0.9632941254103634,0.9402877659162417,0.9615618313754998,3.780620000179624,0.0061130523681640625,1.1,10feat
Decision Tree,0.9397296233101456,0.9287480825219923,0.9993263044430222,0.9627454161934123,0.908181679586483,0.9510535383322503,3.8460600007965695,0.009555816650390625,0.7,10feat
Random Forest,0.9748260926630792,0.9695959199686152,0.9990231414423821,0.9840895893819992,0.9874002725454285,0.9934140032761003,62.55789000206278,24.67255687713623,8.8,10feat
XGBoost,0.974169838561491,0.9691105808518289,0.9986862936638933,0.9836761778367618,0.9869962895784521,0.993361291244919,10.998280000058003,0.8528594970703125,2.4,10feat
LightGBM,0.9748523428271426,0.9696583292463626,0.9989894566645333,0.9841053889036369,0.9873702074389387,0.9934806300373281,14.4656100004795,1.331831932067871,2.5,10feat
KAN Chebyshev,,0.9600925008259003,0.9789470138444437,0.9694280901312607,0.9692796688936974,,,,,10feat
