model,seed,fold,k_scelto,score_esterno,inner_k5,inner_k8,inner_k10,inner_k12,inner_k14,inner_k16
"KAN(cat,1L)",42,1,16,0.9840712404364731,0.9789688229792332,0.9806369128744202,0.9832015981995036,0.9832963232429089,0.983378441196435,0.9840267195878082
LightGBM,42,1,16,0.9991461085839375,0.9984896293433542,0.9989248130401119,0.9990257234431762,0.9990722952709143,0.9991072375346709,0.9991887318422403
"KAN(cat,1L)",42,2,16,0.9837603753157704,0.9798327699831307,0.9809774940593181,0.9831768194767697,0.9836132350209811,0.9836600219258017,0.9838655260584641
LightGBM,42,2,16,0.9993168974725206,0.9984313720861345,0.9989249440089226,0.999056870154889,0.9990374791828686,0.9990956737904718,0.9991034240912672
"KAN(cat,1L)",42,3,16,0.9844340288119386,0.9788877459319703,0.9807433384072022,0.9832981454363953,0.9835476003552696,0.9836179057694979,0.9841105239697212
LightGBM,42,3,16,0.9993323914359794,0.9983964228638803,0.9988433742473272,0.9988900121867385,0.998959850170085,0.9990180908813834,0.9991073365809043
"KAN(cat,1L)",42,4,16,0.9845382627085455,0.9795921511773195,0.9806785054772158,0.9833044578234379,0.9835654092788045,0.9835646448385701,0.9840567542798239
LightGBM,42,4,14,0.9991151953555517,0.9983692003537182,0.9989171962399993,0.9990025634790415,0.9990336556840257,0.9991112456954477,0.9991073463705703
"KAN(cat,1L)",42,5,16,0.9835479368265868,0.9780361927049565,0.9809569082169753,0.9834279930656896,0.9834159057524762,0.9835294225635461,0.9838905152488399
LightGBM,42,5,16,0.9991305157904543,0.9983263944490265,0.9988548975627419,0.998990784315453,0.9990645909763199,0.9990606580257421,0.9991343929883034
"KAN(cat,1L)",43,1,16,0.9839488369176751,0.9799077712687377,0.9809989755342726,0.9836529076402117,0.9836831237903212,0.9838865220219541,0.9846245297235359
LightGBM,43,1,16,0.9992237471278643,0.9984624148278377,0.998932647223925,0.999072345259989,0.9991150411725563,0.9991073029902952,0.999208185010629
"KAN(cat,1L)",43,2,16,0.9837932819780668,0.9796792641439572,0.9806688645397185,0.9831926557030058,0.9833308867690492,0.9835109610777496,0.9839653928653926
LightGBM,43,2,16,0.9991769802941131,0.9984313500859886,0.998932551040888,0.9990257987353689,0.9990840163068859,0.9990801016097857,0.9991732655157324
"KAN(cat,1L)",43,3,16,0.983836325154817,0.9799284508280602,0.980931247489106,0.9835732540419708,0.9837146063736296,0.9838751095120616,0.9844028906671157
LightGBM,43,3,16,0.9992859582130328,0.9984276167312816,0.9990219504773036,0.9991344944154599,0.9991694197874169,0.9991655512797504,0.9992431806919733
"KAN(cat,1L)",43,4,16,0.9844614829797576,0.9794875089462697,0.9806532120737951,0.9831612339464247,0.98332003436159,0.9835231210596533,0.984213058202091
LightGBM,43,4,16,0.9992857808278732,0.9984663949557143,0.9989288516475973,0.9990103333006964,0.9991073072352394,0.9991073212459822,0.999169422862432
"KAN(cat,1L)",43,5,16,0.984402893920887,0.9799363105200126,0.9814197037085185,0.9835629771868263,0.9835981081733003,0.9837586487037798,0.9843217963828579
LightGBM,43,5,12,0.999270288313745,0.9984120198510705,0.9988005213410864,0.999049048341354,0.9991189232280125,0.9990917256349571,0.9991189077718893
"KAN(cat,1L)",44,1,16,0.9854014598540146,0.9798015155003306,0.9809375682389376,0.9838846864770644,0.9845357987491267,0.9849175496758168,0.9852052226334211
LightGBM,44,1,16,0.9993014049522627,0.9983690890913038,0.9989403856745508,0.9990529706497305,0.999099538953752,0.999126698932754,0.999192671218299
"KAN(cat,1L)",44,2,16,0.985301714017375,0.9797584856920526,0.9808605618876921,0.9840549469555309,0.9844040085526297,0.9848364325381668,0.9851286054643618
LightGBM,44,2,14,0.9991306507699951,0.9984081685941387,0.9988744591002545,0.9990219647438489,0.9990064392074623,0.9991461271211716,0.9991306287015073
"KAN(cat,1L)",44,3,16,0.9854296758846268,0.9796353806600809,0.9809038267852116,0.9840700595426819,0.9846464921241558,0.9849573841426035,0.9851694583925877
LightGBM,44,3,14,0.999379074821484,0.9984002759553409,0.9988822282820866,0.9989908632157635,0.9990025067935419,0.9991538747120456,0.9991421987816281
"KAN(cat,1L)",44,4,16,0.9849595788682083,0.979827866106087,0.9811117590710983,0.9841108079283171,0.9846186761556407,0.985086857582778,0.9852594554364935
LightGBM,44,4,16,0.9992546120877073,0.9984041089523409,0.9988317228020112,0.9989869960983415,0.9990568501828493,0.9990607496899072,0.9991073440202598
"KAN(cat,1L)",44,5,16,0.9849666447430235,0.979895227369833,0.9810677271594028,0.9839430548368816,0.9845700306417129,0.9849885184894115,0.985311197282857
LightGBM,44,5,16,0.9992235060255933,0.9983341407106825,0.9989249261955059,0.999018098056586,0.9990685404659431,0.9991112293394044,0.9991228708249554
