model,fold,seed,f1,roc_auc,pr_auc,precision,recall
Logistic Regression,0,0,0.936621642130824,0.8405772765376138,0.9158037789705232,0.9161545084765892,0.9580241547393584
Decision Tree (d=5),0,0,0.9629297056226522,0.9153658045887796,0.9508589784194392,0.9295290378503324,0.9988202055326152
Random Forest,0,0,0.9816662090845308,0.9837907696606538,0.9906463439169227,0.964830749857584,0.9990996305380484
XGBoost,0,0,0.980851907186633,0.9836160358905895,0.9906681969610476,0.9635764564924368,0.9987581110869632
LightGBM,0,0,0.98141173241434,0.9840777810549846,0.99082121487319,0.9643392268504644,0.9990996305380484
KAN Chebyshev,0,0,0.9695650841327734,0.9693421745474868,0.9844369468918192,0.9573006506279316,0.982147846875097
Logistic Regression,1,0,0.9365455263077996,0.8408511130429384,0.9154691028608374,0.9162928857864252,0.9577136825110992
Decision Tree (d=5),1,0,0.9622353785432364,0.914171972119594,0.95021858583664,0.9279679344848468,0.9991306777608744
Random Forest,1,0,0.9811660287008372,0.9836395898661864,0.990559979416342,0.9641829516844505,0.9987581110869632
XGBoost,1,0,0.980835201024562,0.9835759710018938,0.9905874546429432,0.9636309167165968,0.9986649694184856
LightGBM,1,0,0.9811384047695288,0.983829983855444,0.9906801745405892,0.9640139030382932,0.9988822999782668
KAN Chebyshev,1,0,0.9696245942801152,0.9693409978577416,0.9849948341833674,0.9564744615942248,0.9831413580055264
Logistic Regression,2,0,0.9365668237798388,0.8425526622993573,0.918614670861026,0.9177020946932452,0.9562234158154552
Decision Tree (d=5),2,0,0.9629363618679954,0.9164244062218634,0.9517379773075972,0.9293801629022008,0.9990064888695708
Random Forest,2,0,0.9822842755779354,0.98449171660095,0.9910161623723732,0.965822480945808,0.9993169610978296
XGBoost,2,0,0.9817660252986864,0.9842887857431152,0.9909841846498092,0.9652844455112818,0.9988202055326152
LightGBM,2,0,0.982191090967358,0.9845537582663232,0.9910771049016464,0.9658163265306122,0.9991306777608744
KAN Chebyshev,2,0,0.9704537784186787,0.970301406439194,0.9846466664620752,0.9591533493040604,0.9820236579837932
Logistic Regression,3,0,0.9369037656903766,0.8425418545081966,0.91507161328902,0.9186084673449294,0.9559426229508196
Decision Tree (d=5),3,0,0.9635753654445244,0.9168856402136116,0.9516952916203582,0.930787037037037,0.9987580725285644
Random Forest,3,0,0.9827288692066886,0.9848340691753602,0.9912506396664286,0.9669441355891456,0.9990375062096374
XGBoost,3,0,0.9821973860999144,0.9847926897044212,0.9913332313208538,0.9662641192021147,0.9986649279682066
LightGBM,3,0,0.9825466872299164,0.9853443321535024,0.9915173019412458,0.9667077311378864,0.9989133134624938
KAN Chebyshev,3,0,0.9707200294641212,0.9709486478514656,0.9856266405641392,0.9597038475543148,0.9819920516641828
Logistic Regression,4,0,0.936069455406472,0.8391891393442623,0.9145296308688812,0.9156669438175556,0.9574018877297564
Decision Tree (d=5),4,0,0.9624667284744444,0.9135641828117238,0.9500126643843751,0.9283447758610742,0.9991927471435668
Random Forest,4,0,0.9814543679843828,0.9837782724788872,0.990615463200608,0.9645083932853716,0.9990064580228516
XGBoost,4,0,0.9810474956163756,0.9838016269249876,0.990708995900029,0.9638673337927316,0.998851217088922
LightGBM,4,0,0.9814732925694942,0.983944252980626,0.9907683863151846,0.9643424325053188,0.9992237953303528
KAN Chebyshev,4,0,0.969537316404515,0.969140263288624,0.9845779612270662,0.9566873205380082,0.9827372081470442
Logistic Regression,0,1,0.9368689940396544,0.8433036309727094,0.916807309434021,0.9180249709466908,0.9565028408208884
Decision Tree (d=5),0,1,0.9632824198861936,0.9170117824210624,0.9517730295118229,0.9303751699401231,0.9986028749728336
Random Forest,0,1,0.9819913314205482,0.9846113446552204,0.9911602754988484,0.9656911301215668,0.9988512527554412
XGBoost,0,1,0.9816123174583796,0.984430949424074,0.9911133900315564,0.965190253270916,0.9986028749728336
LightGBM,0,1,0.9819147474932468,0.9847267207923251,0.9912149521348768,0.965630065437954,0.9987581110869632
KAN Chebyshev,0,1,0.970068882990964,0.9711666630444908,0.9857849911650164,0.95881603687754,0.9815889968642304
Logistic Regression,1,1,0.937871305933298,0.8434484119345524,0.9175853304503768,0.9183776706540498,0.958210438076314
Decision Tree (d=5),1,1,0.9631979885358516,0.9159417445434508,0.9512408965104362,0.9298139158576052,0.9990685833152224
Random Forest,1,1,0.9825980766295224,0.9844142149709708,0.9910028275816584,0.966487492868082,0.999254866652178
XGBoost,1,1,0.9822044504136016,0.98436738334006,0.9910641854808826,0.9659292168222616,0.9990375360923964
LightGBM,1,1,0.9826275455683448,0.98471399608805,0.991177952208926,0.9665735651860528,0.999223819429352
KAN Chebyshev,1,1,0.9706103300780352,0.9699168710608836,0.9851419575142044,0.958719486340784,0.9827998385544412
Logistic Regression,2,1,0.9367061715655776,0.8403483513924679,0.9143387468596624,0.9161175422974176,0.95824148529914
Decision Tree (d=5),2,1,0.962843295638126,0.9145700906578909,0.95051161957346,0.9290188494068066,0.999223819429352
Random Forest,2,1,0.9815286527051144,0.9837163556769846,0.9905730060559566,0.9647097625329816,0.9989443944239188
XGBoost,2,1,0.981264387090873,0.9837925129622156,0.9907095306625922,0.9639391398107104,0.999223819429352
LightGBM,2,1,0.9816678867740362,0.9841175137383962,0.9908288403459582,0.964747144698582,0.999192772206526
KAN Chebyshev,2,1,0.9700644647587549,0.96909823186066,0.9839056227229718,0.957036678953411,0.9834518302337856
Logistic Regression,3,1,0.9358227079538556,0.8371557392573273,0.9142421679393478,0.9154787360418152,0.9570914058618976
Decision Tree (d=5),3,1,0.962403541305258,0.914609323770492,0.9505473594245474,0.9283612233121754,0.9990375062096374
Random Forest,3,1,0.9817377374322984,0.9838266129533034,0.9906307563252372,0.9651138374778774,0.9989443616492796
XGBoost,3,1,0.9811792697434646,0.9836222149776452,0.9906401526049284,0.964266442832304,0.9986959761549924
LightGBM,3,1,0.9816473172741004,0.9839486649279682,0.9907620341952872,0.9649680573468102,0.9989133134624938
KAN Chebyshev,3,1,0.969988510149368,0.9696778114133132,0.9849289897788917,0.9573895424441284,0.9829234972677596
Logistic Regression,4,1,0.9354735738063752,0.8412667924118232,0.916321761699416,0.9163763066202092,0.9553837555886736
Decision Tree (d=5),4,1,0.962471019370279,0.9146333426477892,0.950579619966746,0.9285941062718271,0.9989133134624938
Random Forest,4,1,0.9813634283971328,0.9837909028812716,0.9906427788021184,0.9643906240633056,0.9989443616492796
XGBoost,4,1,0.9809278429100666,0.9837719619349232,0.9907336991784552,0.9636363636363636,0.998851217088922
LightGBM,4,1,0.9813524433940688,0.9841438074391456,0.9908626299319406,0.964166941306888,0.999161698956781
KAN Chebyshev,4,1,0.968558282208589,0.9692477878166916,0.9846294019358068,0.957050193986421,0.9803464977645304
Logistic Regression,0,2,0.9363828268561968,0.8418049178800956,0.9162573545657592,0.916493251679648,0.9571548325002328
Decision Tree (d=5),0,2,0.9637883008356546,0.9180996196715204,0.9523644611648008,0.9309417040358744,0.9990375360923964
Random Forest,0,2,0.9815153733528552,0.9838811869353286,0.9906734580443088,0.9645972601097156,0.9990375360923964
XGBoost,0,2,0.9809433789675884,0.9837179918656276,0.9907073117476954,0.9636663172083272,0.9988512527554412
LightGBM,0,2,0.9814538022755696,0.984126202303704,0.9908476319420896,0.9645651587372964,0.9989443944239188
KAN Chebyshev,0,2,0.9703364523193312,0.9704275233630352,0.9851318311015784,0.9574191598670292,0.9836070663479152
Logistic Regression,1,2,0.9365267639902676,0.8422080614114068,0.9157957080298732,0.917796786981014,0.9560371324784998
Decision Tree (d=5),1,2,0.962534212769776,0.914265391660716,0.9503196932598724,0.92860440955789,0.9990375360923964
Random Forest,1,2,0.9826538402809588,0.984869392095377,0.9912373885436168,0.9668279198341396,0.9990064888695708
XGBoost,1,2,0.9820169144811164,0.9846718386165356,0.9912172157729148,0.965972910472415,0.9986028749728336
LightGBM,1,2,0.9824743527112848,0.9850523704554628,0.9913448383226656,0.9664514191320018,0.9990375360923964
KAN Chebyshev,1,2,0.9708100815600662,0.9703637616815176,0.985257093895474,0.9589024501044852,0.9830171691142228
Logistic Regression,2,2,0.9358499726892032,0.8391605219038156,0.9151806522248436,0.9151606872607496,0.957496351951318
Decision Tree (d=5),2,2,0.9615482328326982,0.9123086124996118,0.9492703411601516,0.9269578747190688,0.9988202055326152
Random Forest,2,2,0.9808668607930724,0.9832997609363844,0.9904600490028802,0.9636053199137312,0.9987581110869632
XGBoost,2,2,0.9806270672336792,0.9833510726815484,0.9905038069894946,0.9631714473920594,0.9987270638641372
LightGBM,2,2,0.9809140522576908,0.983754110652302,0.9906430113759432,0.963580820030549,0.9988822999782668
KAN Chebyshev,2,2,0.9690582684884504,0.9689857632959732,0.9844741815366344,0.9563718820861676,0.9820857524294452
Logistic Regression,3,2,0.937165612840467,0.8416225766890214,0.9170192332164472,0.9179668889947594,0.9571845504222554
Decision Tree (d=5),3,2,0.9640358892167584,0.9188638319672132,0.9528781488946648,0.9313228952623506,0.9991306507699952
Random Forest,3,2,0.982642546370506,0.9847109320665672,0.9911057104740366,0.9665735651860528,0.9992548435171386
XGBoost,3,2,0.982279949327676,0.9846124782662692,0.991163369172244,0.9660172315451352,0.9990996025832092
LightGBM,3,2,0.9825370172492748,0.9847991228887234,0.9912383900876928,0.966398414509639,0.9992237953303528
KAN Chebyshev,3,2,0.9710385028378584,0.9708224121336314,0.9849082129777678,0.9596446546601176,0.9827061599602585
Logistic Regression,4,2,0.9366323399860264,0.8416138568057626,0.9154974886519543,0.9168302111210228,0.957308743169399
Decision Tree (d=5),4,2,0.9623259500770232,0.9131080647665176,0.9497010292829956,0.9283508873178472,0.998882265275708
Random Forest,4,2,0.9816368239636396,0.9836796184177844,0.9906063344422154,0.964716110078542,0.999161698956781
