variante,seed,fold,f1,roc_auc
num10,0,0,0.9735,0.9932
num10+cat4,0,0,0.9847,0.996
num10,0,1,0.9718,0.9918
num10+cat4,0,1,0.9834,0.9953
num10,0,2,0.971,0.9935
num10+cat4,0,2,0.9842,0.9964
num10,0,3,0.9722,0.9928
num10+cat4,0,3,0.9835,0.9956
num10,0,4,0.9719,0.9926
num10+cat4,0,4,0.9831,0.9956
num10,1,0,0.9721,0.9928
num10+cat4,1,0,0.9835,0.9958
num10,1,1,0.9727,0.9929
num10+cat4,1,1,0.9835,0.9957
num10,1,2,0.9734,0.9925
num10+cat4,1,2,0.9839,0.9956
num10,1,3,0.9713,0.9926
num10+cat4,1,3,0.9832,0.9958
num10,1,4,0.9713,0.9923
num10+cat4,1,4,0.9836,0.9956
num10,2,0,0.9721,0.9932
num10+cat4,2,0,0.9845,0.9962
num10,2,1,0.9727,0.9929
num10+cat4,2,1,0.9844,0.9958
num10,2,2,0.9705,0.9925
num10+cat4,2,2,0.9823,0.9956
num10,2,3,0.9716,0.9933
num10+cat4,2,3,0.9847,0.9959
num10,2,4,0.9716,0.9921
num10+cat4,2,4,0.9834,0.9953
